"h_age"	"frequency"
"38-60 years"	6
"38-61 years"	6
"38-68 years"	9
"38-69 years"	1
"38-71 years"	1
"38-72 years"	5
"38-73"	93
"38-79 years"	2
"38.15 ± 6.5"	4
"38.2 to 68 years"	6
"39 +/- 2.4 years"	7
"39 to 51 years"	3
"39 to 54 years"	1
"39 to 82 years"	54
"39 years"	46
"39 ± 15"	4
"39-44 years"	14
"39-55 years"	10
"39-59 years old"	2
"39-65 years"	25
"39-67 years"	3
"39-77 years"	3
"39.0 +/- 13.8 years"	25
"39.18 ± 6.77"	4
"39.6 to 63 years"	3
"39.88 ± 10.13"	5
"4 - 6 weeks"	157
"4 days"	2
"4 month old"	13
"4 months"	92
"4 months old"	1
"4 months- 4 years"	19
"4 months-15 years"	4
"4 months-30 years"	20
"4 to 18 years"	56
"4 to 21 years"	7
"4 to 25 years"	8
"4 to 28 years"	5
"4 to 45 years"	124
"4 to 45 years-old"	12
"4 to 5 weeks"	27
"4 to 54 years"	19
"4 to 6 months"	8
"4 to 6 week"	3
"4 to 6 week old"	1
"4 to 6 week-old"	7
"4 to 6 weeks"	974
"4 to 6 weeks old"	14
"4 to 6 years"	10
"4 to 60 months"	13
"4 to 7 week-old"	301
"4 to 70 years old"	39
"4 to 8 months"	9
"4 to 8 weeks"	61
"4 to 80 years"	4
"4 to 9 years"	2
"4 week"	4
"4 weeks"	2013
"4 weeks old"	192
"4 wk"	6
"4 years"	80
"4 years old"	2
"4- to 6-week-old"	29
"4-10 weeks"	101
"4-10 weeks old"	13
"4-10 years"	41
"4-11 months"	255
"4-115 months"	67
"4-15 months"	2
"4-15 years"	99
"4-16 years"	40
"4-18 years"	629
"4-26 weeks"	1
"4-35 years"	1
"4-36 month-old"	2
"4-43 years"	39
"4-49 years"	12
"4-5 months"	5
"4-5 weeks"	285
"4-5 weeks old"	6
"4-5 years"	2
"4-54 years"	26
"4-6 months"	99
"4-6 week"	10
"4-6 weeks"	1408
"4-6 weeks old"	30
"4-6 weeks-old"	19
"4-6 wks"	107
"4-60 years old"	6
"4-7 weeks"	2
"4-7 years"	23
"4-70 years"	1
"4-78 years"	2
"4-8 months"	18
"4-8 weeks"	78
"4-8 years"	106
"4-8-week-old"	5
"4-86 years"	129
"4-9 years"	60
"4-week old"	47
"4.5 - 6 months"	12
"4.5 months"	13
"4.5-12.1 years"	1
"4.5-26 years"	1
40	3
"40 days"	2
"40 to 41 years"	35
"40 to 44 years"	2
"40 to 50 days"	18
"40 to 60 years"	16
"40 to 66 years"	1
"40 to 78 years"	3
"40 years"	147
"40-42"	7
"40-48 years"	2
"40-49 years"	13
"40-60 years"	13
"40-63 years"	9
"40-67 years"	10
"40-70 years"	2
"40-75 years"	15
"40-84 years"	2
"40-day-old"	5
"40.0±13.7 years"	11
"40.15 +/- 8.8 years"	1
"40.6 +/- 11.4 years"	8
"40.7 to 73.3 years"	4
"40.7-59.3 years"	1
"40.8-69.4 years"	6
"41 +/- 11 years"	10
"41 to 60 years"	15
"41 to 73 years"	11
"41 to 77 years"	16
"41-45 years"	16
"41.5 +/- 9.8 years"	3
"42 +/- 8.1 years"	1
"42 days"	120
"42 years"	24
"42 years old"	2
"42-53 years"	18
"42-61 years"	4
"42-71 years"	1
"42.18+/-13.23"	4
"42.3 ± 16.4 years"	9
"43 +/- 12 years"	3056
"43 days"	46
"43 t0 53 months"	6
"43 to 71 years"	1
"43 to 83 years"	7
"43 to 88 years"	1
"43 years"	48
"43-46 years"	1
"43-65 years"	16
"43-70 years"	2
"43.62 +/- 1.07 years"	2
"43.9 to 71.5 years"	48
44	4
"44 to 52 weeks"	9
"44 to 66 years"	2
"44 to 74 years"	3
"44 years"	23
"44-47"	1
"44-52 weeks"	158
"44-74 years"	6
"44-83 years"	4
"44-86 years"	2
"44.1 +/- 13.2 years"	6
"44.5-71.5 years"	1
"44.6 to 69.4 years"	3
"44.94+/-15.65"	4
"45 day"	6
"45 days"	9
"45 to 51 years"	24
"45 to 55 years"	118
"45 to 74 years"	1
"45 to 82 years"	5
"45 years"	45
"45-60 years"	17
"45-62 years"	1
"45-65 years"	90
"45-72 years"	33
"45-77 years"	9
"45-85 years"	2
"46 years"	22
"46-49 years"	2
"46-63 years"	16
"46-66 years"	5
"46-70 years"	1
"46-73 years"	1
"46-79 years"	34
"46-91 years"	6
"46-96 years"	42
"46.7 yeas (mean)"	18
"47 +/- 4.5 years"	1
"47 years"	112
"47-62 years"	1
"47-71 years"	1
"47-82 years"	2
"47-88 years"	4
48	8
"48 +/- 12 years"	6
"48 hours"	2
"48 months"	15
"48 years"	35
"48 ± 8 years"	14
"48-51"	7
"48-60 years"	5
"48-80 years"	56
"48-93 years"	4
"48.5 to 61.2 years"	1
"48.6 +/- 13.5 years"	6
49	5
"49 to 62 years"	1
"49 to 63 years"	10
"49 to 73 years"	2
"49 years"	40
"49- 55.6 years"	4
"49-56 years"	1
"49-57 years"	8
"49-66 years"	10
"49-71 years"	1
"49-72 years"	3235
"49-76 years"	18
"49-80.3 years"	2
"49-81 years"	8
"49.3-69.9 years"	6
"49.5 +/- 7.5"	1
"5 months"	63
"5 to 10 weeks"	4
"5 to 11 months"	480
"5 to 14 years"	1
"5 to 26"	2
"5 to 38 years"	34
"5 to 6 months"	15
"5 to 6 weeks"	132
"5 to 6 years"	10
"5 to 64 years"	2
"5 to 7 weeks"	32
"5 to 7 years"	1
"5 to 8 week"	2
"5 to 8 weeks"	10
"5 to 8 years"	7
"5 to 80 years"	3
"5 to 9 months"	1
"5 week"	31
"5 week old"	12
"5 weeks"	706
"5 weeks old"	1
"5 weeks-old"	3
"5 weeks."	1
"5 wk"	4
"5 years"	139
"5- 55 years"	12
"5-10 weeks"	20
"5-10 weeks old"	14
"5-11 years"	40
"5-12 months"	3
"5-13 weeks"	6
"5-13 years"	6
"5-14 years"	2
"5-16 years"	4
"5-17 years"	7
"5-18 years"	27
"5-32 years"	2
"5-37 years"	13
"5-39 years"	25
"5-49 years"	2
"5-59 years"	5
"5-59 years old"	6
"5-6 months"	2
"5-6 weeks"	719
"5-6 weeks old"	33
"5-6 weeks-old"	31
"5-6 years"	19
"5-62 years"	2
"5-64 years"	2
"5-7 months old"	8
"5-7 months-old"	2
"5-7 weeks"	398
"5-70 years"	10
"5-8 weeks"	322
"5-8 years"	2
"5-80 years"	8
"5-81 years"	13
"5-9 weeks"	4
"5-weeks-old"	16
"5.5-7.5 months"	7
"50 to 68"	19
"50 to 71 years"	41
"50 years"	64
"50-70 years"	22
"50-71 years"	17
"50-74 years"	3
"50-80 years"	5
"50-85 years"	48
"50-86 years"	4
"50.3 years median age"	10
"51 and 66 years"	5
"51 years"	231
"51-70 years"	46
"51-74 years"	3
"51-81 years"	1
"51-89 years"	40
"51.0 years"	4
"51.4 +/- 18 years"	71
"51.6 to 77.2 years"	8
52	1
"52 to 70 years"	30
"52 to 77 years"	42
"52 years"	136
"52 years old on average"	1
"52-84 years"	12
"52.7 +/- 10 years"	88
"53 +/- 11 years"	5
"53 years"	146
"53-63 years"	90
"53-75 years"	4
"53-81 years"	58
"53-85 years"	51
"53.2 years"	4
"53.7 +/- 11.2"	15
"54 to 70 years"	117
"54 to 74.6 years"	8
"54 to 85 years"	26
"54 years"	59
"54-64 years"	9
"54-71 years"	6
"54-74 years"	5
"54-78 years"	23
"54.8 to 72.4 years"	14710
"55 to 90 years"	5
"55 years"	147
"55 ± 12 years"	3
"55 ± 27 years"	18
"55-70 years"	20
"55-79 years"	2
"55-86 years"	4
"55-89 years"	2
"55.2 to 65.2 years"	9147
"55.7 +/- 5.7"	1
"55.9 +/- 19.2 years"	4
"55.9 to 76.9 years"	14710
"56 to 72 years"	1
"56 years"	169
"56-64 years"	1
"56-73 years"	1
"56.3 +/- 12.8 years"	71
"56.3 years"	1
"56.5 years median age"	10
"56.6 ± 19.3 years"	2
57	30
"57 to 75 years"	48
"57 years"	47
"57-59"	10
"58.4 +/- 14.3 years"	19
"58 years"	45
"58-70 years"	3
"58.8 +/- 8.7"	14
"59 to 65 years"	2
"59 to 72 years"	44
"59 to 80 years"	9
"59 years"	11
"59-100 years"	3
"59-67 years"	6
"59-76 years"	1
"59-84 years old"	2
"59.4 +/- 5.4 years"	8
"6 - 10 weeks"	4
"6 - 58 years"	25
"6 - 8 mo"	14
"6 - 8 weeks"	524
"6 - 8 wo"	6
"6 - 9 months"	79
"6 -12 weeks"	211
"6 days"	1
"6 days to 7  months"	1
"6 month"	127
"6 months"	248
"6 months - 47 years"	6
"6 months - 9 years"	136
"6 months old"	24
"6 months to 14 years"	148
"6 months to 3 years"	106
"6 months to 53 years"	2
"6 mos"	3
"6 or 12 months"	5
"6 to 10 months"	3
"6 to 10 weeks"	141
"6 to 12 months"	3
"6 to 12 weeks"	53
"6 to 14 weeks"	5
"6 to 15 weeks"	2
"6 to 16 years"	15
"6 to 24 months"	7
"6 to 28 years"	15
"6 to 32 years"	4
"6 to 38 years"	5
"6 to 66 years"	1
"6 to 69 years"	2
"6 to 7 weeks"	75
"6 to 8 -week-old"	4
"6 to 8 months"	253
"6 to 8 week"	16
"6 to 8 weeks"	2282
"6 to 8 weeks old"	2
"6 to 84"	1
"6 week old"	51
"6 week-old"	8
"6 weeks"	6814
"6 weeks and 18 months"	3
"6 weeks old"	766
"6 weeks-old"	43
"6 wk"	7
"6 years"	175
"6- week-old"	1
"6-10 week"	24
"6-10 weeks"	277
"6-10 weeks old"	34
"6-10 weeks-old"	50
"6-10 years"	2
"6-11 months"	2
"6-12 months"	14
"6-12 weeks"	85
"6-13 weeks"	3
"6-14 years"	1
"6-15 weeks"	4
"6-15 years"	19
"6-16 weeks"	740
"6-16 wk"	1
"6-17 years"	23
"6-18 years"	2
"6-22.8"	1
"6-22.8 years"	1
"6-24 mo of age"	17
"6-35 weeks"	1
"6-36-month-old"	2
"6-37 years"	28
"6-40 years"	62
"6-46 years"	6
"6-57 years"	7
"6-62 years-old"	62
"6-7 months"	3
"6-7 weeks"	257
"6-7 weeks old"	8
"6-7 weeks-old"	40
"6-7 weks"	4
"6-7 wks"	3
"6-7-week-old"	72
"6-8 months"	16
"6-8 week-old"	6
"6-8 weeks"	7522
"6-8 weeks old"	693
"6-8 weeks-old"	103
"6-8 wk"	4
"6-8 wks"	1
"6-9 months"	23
"6-9 weeks"	173
"6-week-old"	2
"6-weeks"	1
"6.1-36.4 years"	12
"6.5 months"	4
"6.5 to 11 years"	62
"6.94 +/- 3.58 years"	8
60	14
"60 days"	6
"60 to 74 years"	8
"60 to 77 years"	2
"60 years"	227
"60 ± 15 years"	3
"60-74"	12
"60-80 years"	1
"60-83 years"	24
"60-87 years"	1
"60-90 days"	3
"60-90 days old"	19
"60-90-days-old"	1
"60.9 +/- 11 years"	8
"608 weeks"	8
"61 to 70 years"	1
"61 years"	34
62	1
"62 to 87 years"	2
"62 years"	8
"62 ± 12 years"	1
"62-68 years"	1
"62-74 years"	1
"62-91 years"	6
"62.8 ± 10 years"	44
"63 years"	25
"63-64"	3
"63-82 years"	2
64	8
"64 to 76 years"	2
"64 years"	30
"65 and 74 years old"	3
"65 days"	13
"65 years"	100
"66 to 70 years"	1
"66 weeks"	2
"66 years"	9
"66-73"	12
"66-86 years"	2
"66.6 +/- 7.4 years"	6
67	18
"67 years"	4
"67 years old"	6
"67-95 years"	1
"68 to 77 years"	1
"68 years"	1
"68.5 +/- 16.4 years"	3
69	1
"69 years"	22
"69 ± 15 years"	3
"6–8weeks old"	8
"7 - 79 years"	2
"7 - 8 weeks"	1
"7 days"	10
"7 month"	3
"7 months"	9
"7 months - 9 years"	2
"7 months old"	9
"7 months to 10 years"	1
"7 months to 14 years"	4
"7 to 10 weeks"	5
"7 to 11 years"	5274
"7 to 12 weeks"	11
"7 to 19 weeks"	2
"7 to 36 years"	31
"7 to 41 years"	4
"7 to 54 years"	14
"7 to 55 years"	15
"7 to 65 years"	3
"7 to 77 years"	5
"7 to 78 years"	2
"7 to 8 weeks"	98
"7 to 9 weeks"	1
"7 weeks"	436
"7 weeks old"	43
"7 wk"	1
"7 years"	26
"7- 32 years"	15
"7-10 days"	4
"7-10 weeks"	91
"7-10 years"	67
"7-11 weeks"	15
"7-12 months"	85
"7-12 weeks"	43
"7-13 years"	4
"7-14 months"	1
"7-15 years"	1
"7-20 weeks"	2
"7-21 years"	10
"7-30 years"	2
"7-39 years"	9
"7-58 years"	4
"7-63 years"	86
"7-64 years"	10
"7-74 years"	9
"7-8 weeks"	337
"7-8 weeks old"	4
"7-8 weeks-old"	6
"7-9 weeks"	259
"7-9 weeks old"	3
"7-9 wks"	195
"7-9weeks"	2
"7-month-old"	7
"7-weeks-old"	4
"7.5 months"	10
"7.5 to 16.5 years"	2
"70 +/- 9 years"	3
"70 days"	13
"70 years"	632
"71 years"	41
"71-87 years"	2
"72 years"	7
"72-75 years"	2
"72-86 years"	5
"72.3±6.7 years"	1
"72.5±5.2 years"	1
"73 years"	14
"74 years"	56
"75 years"	47
"75.9 +/- 7.5 years"	1
"76 years"	23
"76.9-80.3 years"	8
77	93
"77 years"	18
"78 years"	16
"7–8 weeks"	4
"8 +/- 3 years"	8
"8 - 10 weeks"	59
"8 -10 weeks"	2
"8 days"	1
"8 mo to 35 years"	61
"8 months"	198
"8 months to 54 years"	929
"8 to 10 months"	294
"8 to 10 weeks"	386
"8 to 10 weeks old"	4
"8 to 10 weels"	6
"8 to 10 years"	87
"8 to 12 months"	70
"8 to 12 weeks"	372
"8 to 12 weeks old"	5
"8 to 12-week-old"	12
"8 to 13 weeks"	1
"8 to 16 weeks"	18
"8 to 18 weeks"	5
"8 to 24 weeks"	10
"8 to 48 years"	6
"8 to 53 years"	20
"8 to 74 years"	10
"8 to 9 weeks"	86
"8 week"	33
"8 week-old"	36
"8 weeks"	3422
"8 weeks old"	144
"8 weeks or 12 months"	2
"8 weeks-old"	49
"8 wekks-old"	6
"8 wk"	3
"8 wo"	3
"8 years"	76
"8- to 10-week-old"	2
"8-10 week"	1
"8-10 weeks"	818
"8-10 weeks old"	60
"8-10 weeks-old"	13
"8-10 wo"	94
"8-12 months"	9
"8-12 weeks"	1025
"8-12 weeks old"	41
"8-12 weeks-old"	41
"8-12 wk"	19
"8-12-week-old"	3
"8-13 years"	1
"8-14 weeks"	39
"8-15 weeks"	50
"8-15 weeks old"	13
"8-16 week"	37
"8-16 weeks"	38
"8-16 weeks old"	4
"8-16 years"	20
"8-18 years"	27
"8-20 weeks"	2
"8-24 weeks"	1
"8-24 weeks old"	2
"8-30 years"	29
"8-31 weeks"	2
"8-34 years"	4
"8-36 years"	3
"8-46 years"	43
"8-59 years"	2
"8-74 years"	9
"8-79 years"	1
"8-9 weeks"	201
"8-9 years"	794
"8-9-weeks-old"	78
"8-week old"	51
"8-week-old"	1
"8.4 to 12.4 years"	10
"8.5 +/- 3.3 years"	7
"8.6-22.8 years"	2
"8.9-13.8 years"	9
"80 years"	8
"80-84 years"	2
"81 years"	17
"81 years old"	7
"85 days"	10
"86 years"	40
"87 years"	71
"8–12 weeks"	4
"9 days"	12
"9 months"	43
"9 to 10 weeks"	1
"9 to 12 weeks"	35
"9 to 16 years"	5
"9 to 36 months"	3
"9 to 53 years"	22
"9 weeks"	248
"9 weeks old"	1
"9 years"	13
"9-10 months"	4
"9-10 weeks"	33
"9-12 weeks"	46
"9-12 weeks old"	1
"9-17 years"	1590
"9-20 weeks"	2
"9-22 months old"	1
"9-44 years"	2
"9-49 years"	10
"9-51 years"	14
"9-61 years"	18
"9-81 years"	1
"9-86 years"	1
"9-90 years"	1
"9.4 months"	3
"9.42 +/- 3.84 years"	8
"9.5 months"	2
"9.6 +/- 3.1 years"	1
"9.9-17 years"	2
"90 days"	84
"91-101 years"	37
"98 to 140 days"	50
"< 3 years"	34
"< 30 years"	3
"< 40 years"	12
"< 5 years"	9
"<16 years"	56
"<20 years"	1
"<21 years"	108
"<42-79 years"	1
"<5 years"	4
"<6 months"	11
"> 1.5 years"	3
"> 12 weeks"	81
"> 12 years old"	1
"> 18 years"	154
"> 18 years old"	1
"> 2 months"	8
"> 20 weeks"	2
"> 20 years"	6995
"> 4 years"	3
"> 6 months"	4
"> 6 weeks"	8
"> 65 years"	20
">/= 15 years"	4
">/= 18 years"	114
">10 weeks"	7
">10 years"	4
">13 years"	5
">15 years"	4
">18 years"	4
">20 years"	5
">22 weeks"	4
">24 weeks"	4
">55 years"	2
">56 years"	1
">65 years"	4
">69 years"	3
">9 years"	3
"Adult"	3944
"Adult (18-49)"	1
"Adult (6 weeks)"	3
"Adult (pregnant)"	7
"Adults"	413
"Adults and children"	51
"adults, >32 years"	1
"Adutls"	12
"at least 2 months"	96
"average 30.2 years"	72
"average 34.5 years"	72
"average age 29.8"	3
"average age 54"	92
"average age = 12.32 years"	17
"average age = 43.6 years"	6
"average age = 44.8 years"	6
"average age = 50 years"	14
"average age = 54.7 years"	2
"Average age of 37 years"	2
"average= 34.6 years"	1
"average= 53.4  years"	1
"average= 56.4  years"	1
"birth - 5 years"	3
"born before 1968"	65
"Calves"	47
"child"	5
"Child (5-11)"	2
"Children"	351
"Children <5 years old"	25
"Children and adults"	62
"College age"	1
"Elderly"	4
"elderly > 70 years"	8
"embryo"	1
"Foals"	57
"Four-week-old"	2
"Four-weeks-old"	5
"Infant"	170
"Infants"	117
"Infants and adults"	3
"Juvenile"	114
"Less than 20 years"	8
"less than 24 hours"	2
"mature"	1
"mean 11 years"	18
"mean 13. 8 years"	9
"mean 18.75 years"	1
"mean 29.7 years"	1
"mean 30 years"	2
"mean 38 years"	12
"mean 39 years"	6
"mean 48 years"	5
"mean 51.32 years"	6
"mean 53.4 years"	2
"mean 53.8 years"	2
"mean 54.37 years"	6
"mean 55.4 years"	2
"mean 59 years"	2
"mean 6.6 years"	207
"mean 61.2 years"	2
"mean 63.87 years"	4
"mean = 34 years"	3
"mean = 45 years"	493
"mean = 48 years"	493
"mean = 65.04 years"	2
"mean = 71.2 years"	2
"mean = 72.4 years"	2
"mean age 3-4 years"	8
"mean age 45 years"	1
"mean age 59.8 years"	1
"mean age = 13.8 years"	13
"Mean age = 30 years"	1
"mean age = 30.4 years"	13
"mean age = 33.6 years"	16
"Mean age = 34.8 years"	5
"mean age = 37.7 years"	13
"mean age = 38 years"	12
"mean age = 38.6 years"	1
"mean age = 38.7 years"	21
"Mean age = 39.8 ± 13.3 years"	2
"mean age = 4.4 years"	2
"mean age = 40.3 years"	4
"Mean age = 41.7 ± 15.1 years"	4
"mean age = 46 years"	11
"Mean age = 47.1 years"	12
"mean age = 48.94 years"	66
"mean age = 57 years"	10
"Mean age = 58±12 years"	2
"mean age = 60.1 years"	6
"mean age = 63 years"	4
"mean age = 65.6 years"	1
"mean age = 66.3 years"	6
"mean age = 68.3 years"	6
"mean age = 71.3 years"	7
"mean age = 9.3 years"	4
"mean age of 39.9 years"	1
"Mean age of 54. 04"	2
"Mean age: 32.56 years"	1
"Mean age: 34 years"	1
"mean age=53.7 years"	2
"Mean=8.4 ± 4.3"	1
"median 4 years"	24
"median 48 years"	1
"median 50 years"	1
"median 54 years"	161
"median 55 years"	161
"median 58 years"	1
"median 9 years"	30
"median age 21 years"	3
"Median age 33 years"	2
"median age 63 years"	5
"median age: 7.5 years"	16
"middle aged"	6
"More than 15 years"	34
"neonate"	79
"Neonates (infected mothers or PM)"	4
"newborn"	12
"newborns"	6
"newborns - 29 years"	2
"One week"	30
"over 18 years"	230
"Over 50 years"	3
"piglet"	5
"Ponies"	25
"six weeks"	4
"Steer"	2
"subadult"	6
"Three-month-old"	32
"under 7 years"	6
"up to 12 weeks old"	22
"Within 1 week after birth"	2
"Young"	31
"Young adult"	23
"Younger than 35 years"	2
"≥ 18 years"	46
NULL	298801
"0-12 years"	1
"0-13 years"	4
"0-18 years"	3864
"0-2 years"	18
"0-6 years"	6
"0.5-15 years-old"	3
"0.8 years"	2
"0.9-29.4 years"	6
"1 day"	264
"1 day old"	3
"1 day to 40 years"	28
"1 day, 7-8 days or adult"	1
"1 month"	82
"1 month-old-81 years-old"	14
"1 to 12 years"	4
"1 to 5 years"	106
"1 week"	4
"1 year"	51
"1 year-old"	2
"1-1.5 years"	10
"1-12 years"	11
"1-13 years"	6
"1-14 years"	5
"1-15 years"	5
"1-16 years"	21
"1-18 years old"	4
"1-2 months"	109
"1-2 months-old"	12
"1-2 years"	12
"1-25 years"	522
"1-3 weeks"	2
"1-32"	8
"1-33 years"	3
"1-4 months"	3
"1-48 months-old"	4
"1-52 years"	4
"1-54 years"	1
"1-55 years"	18
"1-55 years old"	4
"1-7 years"	179
"1-8 mos"	1
"1-85 years"	10
"1-9 years-old"	10
"1.1-11.6 years"	34
"1.5 - 10 years"	8
"1.5-18 months"	4
"1.5-22 months"	1
"1.5-3 years"	7
"1.8-18 years"	43
"1.8-3.3 years"	7
"10 - 15 years"	6
"10 -17 years"	3
"10 days"	18
"10 months"	40
"10 to 12 weeks"	45
"10 to 12 weeks old"	2
"10 to 13 weeks"	11
"10 to 14 weeks"	459
"10 to 15 years"	1
"10 to 16 weeks"	123
"10 to 17 days-old"	4
"10 to 18 weeks"	22
"10 to 20 weeks"	1
"10 to 21 years"	3
"10 to 27 years"	3
"10 to 41 years"	20
"10 to 56 years"	62
"10 to 63 years"	2
"10 to over 90 years"	1
"10 weeks"	581
"10 weeks or 23 weeks"	7
"10 weeks or older"	7
"10 years"	9
"10 years and older"	24
"10-11 weeks"	43
"10-12 weeks"	190
"10-12 weeks old"	1
"10-13 days"	1
"10-13 weeks"	2
"10-14 months"	16
"10-14 weeks"	226
"10-14 weeks old"	74
"10-15 weeks"	40
"10-15 years"	4
"10-16 weeks"	41
"10-16 weeks old"	41
"10-17 days"	3
"10-17 years"	67
"10-28 weeks"	5
"10-36 years"	5
"10-50 years"	8
"10-52"	2
"10-63 years"	13
"10-79 years"	8
"10.1 ± 3.6 yr"	11
"10.5 years avg."	4
"11 or 18 weeks"	18
"11 to 27 years"	2
"11 to 71 years"	2
"11 to 72 years"	1
"11 to 74 months"	5
"11 weeks"	40
"11 years"	9
"11-13 weeks"	1
"11-13 years"	3
"11-18 years"	2
"11-19 years"	10
"11-24 years"	1
"11-32 years"	3
"11-42 years"	39
"11-50"	8
"11-50 years"	2
"11-59 years"	42
"11-62 years-old"	3
"11-64 years"	1
"11-71 years"	15
"11-78 months"	10
"11-79 years old"	42
"11-80 years"	26
"12  weeks"	12
"12 +/- 2 weeks"	586
"12 months"	54
"12 months old"	13
"12 months-old"	31
"12 to 13 weeks"	6
"12 to 14 weeks"	138
"12 to 15 weeks"	2
"12 to 16 weeks"	74
"12 to 18 weeks"	20
"12 to 18 years"	135
"12 to 20 weeks"	6
"12 to 24 weeks"	9
"12 to 26 weeks"	26
"12 to 36 years"	42
"12 to 55 year-old"	14
"12 to 61 years"	1
"12 to 62 years"	6
"12 to 68 years"	8
"12 weeks"	1057
"12 weeks - 22 months"	4
"12 weeks old"	15
"12 weeks to 20 months"	4
"12 weeks-old"	3
"12 years"	40
"12 years 9 months"	4
"12- 14 weeks"	2
"12-13 weeks"	7
"12-14 weeks"	91
"12-15 months"	16
"12-15 weeks"	6
"12-16 months"	1
"12-16 weeks"	772
"12-16 weeks old"	26
"12-16 weeks or 18-22 months"	5
"12-18 weeks"	31
"12-18 years"	169
"12-20"	6
"12-20 weeks"	15
"12-23 weeks"	70
"12-24 months"	33
"12-24 weeks"	19
"12-24 years"	2
"12-29 years"	4
"12-36 years"	8
"12-41"	1
"12-43"	8
"12-48 weeks"	1
"12-48 years"	34
"12-57 years"	16
"12-62 years"	1
"12-64 years"	3
"12-65 years old"	34
"12-71 years"	42
"12-77 years"	10
"12-81 years"	95
"12.4 to 50.8 years"	2
"12.5 to 25.6 years"	14
13	9
"13 and 21 years"	2
"13 days"	2
"13 to 20 weeks"	11
"13 to 21 years"	10
"13 to 28 years"	1
"13 to 35 years"	2
"13 to 38 years"	1
"13 to 67 months"	5
"13 years"	10
"13-133 months"	2
"13-15 years"	3
"13-17"	2
"13-20 years"	12
"13-26"	2
"13-31 weeks"	2
"13-31 years"	12
"13-45"	4
"13-45 years"	32
"13-46 years"	2
"13-50 years"	14
"13-56 years"	5
"13-64 years"	6
"13-75 years"	3
"13-77 years"	2
"13-82 years"	2
"13-88 years"	95
"14 days"	6
"14 months"	1
"14 to 15 weeks"	1
"14 to 19 years"	6
"14 to 24 years"	2
"14 to 38 years"	11
"14 to 51 years"	2
"14 to 53 years"	6
"14 to 72 years"	1
"14 week old"	45
"14 weeks"	3
"14 years"	13
"14 years-old"	1
"14-16 weeks"	6
"14-18 months"	2
"14-18 years"	4
"14-20 weeks"	6
"14-24 weeks"	4
"14-25 years"	9
"14-26 years"	3
"14-28 years"	2
"14-38 years"	2
"14-44 years"	3
"14-45 years"	6
"14-46 years"	27
"14-48 years"	5
"14-49 years"	2
"14-53 years"	68
"14-55 years"	1
"14-56"	840
"14-56 years"	2
"14-59 years"	4
"14-60 years"	18
"14-65 years old"	30
"14-74"	2
"14-75 years"	121
"14-80 years"	7
"14-86 years"	1
"14.1 years"	7
"14.2 to 24.2 years"	14
15	3
"15 day"	2
"15 days"	8
"15 or 24 weeks"	32
"15 to 27 years"	38
"15 to 37 years"	6
"15 to 41 years"	1
"15 to 61 years"	26
"15 to 70 years"	34
"15 to 72 years"	2
"15 weeks"	87
"15 years"	19
"15 years old"	6
"15-16 weeks"	35
"15-17 weeks"	5
"15-18 months"	26
"15-20 weeks"	3
"15-21 years"	18
"15-23 years"	17
"15-38 years"	6
"15-41 years"	15
"15-44 years"	166
"15-50 years old"	18
"15-53 years"	76
"15-62 years"	15
"15-73 years-old"	20
"15-74 years"	34
"15-81 years"	2
"15-90"	9
"16 - 24 weeks old"	1
"16 and 44 years"	1
"16 to 18 months"	2
"16 to 55 years"	15
"16 to 63 years"	32
"16 weeks"	28
"16 years"	19
"16 years-old"	1
"16 ± 11 days"	5
"16-20 weeks"	10
"16-21 years"	4
"16-24 weeks"	14
"16-24 years"	3
"16-26 weeks"	2
"16-34 years"	1
"16-36 years"	11
"16-39 years"	48
"16-43 years"	8
"16-45 years"	12
"16-48 years old"	38
"16-50 years"	111
"16-50 years-old"	6
"16-52 years"	20
"16-53"	2
"16-56 years"	8
"16-59 years"	48
"16-71 years"	26
"16-73 years"	2
"16-74 years"	3
"16-75 years"	4
"16-80 years"	18
"16-84 years"	7
"16-86 years"	86
"16-87 years"	34
17	60
"17 +/- 6 years"	6
"17 - 60 years"	4
"17 to 24"	9
"17 to 26 weeks"	1
"17 to 40 years"	6
"17 to 47 years"	22
"17 to 58 years"	43
"17 to 59 years"	76
"17 to 74 years"	13
"17 to 78 years"	63
"17 weeks"	8
"17 years"	14
"17-20 years"	4
"17-36 years"	11
"17-41 years"	6
"17-46 years"	11
"17-47 years"	250
"17-56"	16
"17-57"	30
"17-59 years"	13
"17-66 years"	84
"17-66 years old"	20
"17-67 years"	4
