"h_age"	"frequency"
"17-72 years"	13
"17-78 years"	14
"17-81 years old"	13
"17-86 years old"	30
"17-88"	6
"18 months"	3
"18 to 24 months"	4
"18 to 30 years"	11
"18 to 35, or 65 to 95 years."	4
"18 to 39 years"	2
"18 to 40 years"	15
"18 to 43 years"	6
"18 to 45 years"	41
"18 to 49 years"	55
"18 to 50 years"	43
"18 to 51 years"	21
"18 to 55 years"	14
"18 to 56 years"	2
"18 to 59 years old"	28
"18 to 60 years"	49
"18 to 61 years"	21
"18 to 62 years"	1
"18 to 65 years"	90
"18 to 68 years"	2
"18 to 70 years"	3
"18 to 71 years"	1
"18 to 75 years"	24
"18 to 77 years"	3
"18 weeks"	20
"18 years"	26
"18 years or older"	4
"18+ years"	8
"18, 35 years"	1
"18-19 weeks"	12
"18-21 years"	5
"18-22 months or 4-6 months"	4
"18-22 weeks"	1
"18-23 years"	26
"18-26 years"	46
"18-30 years"	55
"18-30 years old"	15
"18-33 months"	5
"18-36 months"	6
"18-36 years"	2
"18-38 months"	10
"18-38 years"	5
"18-40 years"	14
"18-40 years old"	24877
"18-40 years, 65 years and over."	4
"18-41 years"	12
"18-43 years"	1
"18-44 years"	10
"18-45"	4
"18-45 years"	116
"18-46 years"	16
"18-48 years"	65
"18-49"	28
"18-49 years"	26
"18-50 years"	693
"18-50 years old"	13
"18-50 years-old"	1
"18-51 years"	450
"18-52 years"	24
"18-53 years-old"	2
"18-54 years"	24
"18-54 years-old"	47
"18-55 years"	206
"18-55 years-old"	158
"18-56 years"	349
"18-56 years-old"	18
"18-58 years"	144
"18-59 years"	233
"18-60 years"	1586
"18-60 years old"	50
"18-60 years-old"	567
"18-61"	10
"18-61 years"	3
"18-62 years"	857
"18-63 years old"	38
"18-64 years"	30
"18-65  years"	3
"18-65 years"	3908
"18-68 years"	357
"18-69 years"	6
"18-70"	2
"18-70 years"	10
"18-70 years-old"	1
"18-71 years"	141
"18-72 years"	6
"18-73 years"	27
"18-75 years"	201
"18-75 years (mean 39.1)"	2
"18-75 years (mean 46)"	2
"18-76 years"	27
"18-77 years"	187
"18-78 years old"	31
"18-80 years"	39
"18-81 years"	187
"18-82 years"	179
"18-84 years"	7
"18-85 years"	253
"18-86 years"	1
"18-91 years"	60
"18–64 years)"	16
19	4
"19 to 27 years"	8
"19 to 36 years"	439
"19 to 44 years"	13
"19 to 54 years"	10
"19 to 56 years"	21
"19 to 57 years"	2
"19 to 59 years"	20
"19 to 61 years"	25
"19 to 65 years"	1201
"19 to 68 years"	192
"19 to 83 years"	84
"19 to 91 years"	1239
"19 weeks"	1
"19 years"	21
"19- 53 years"	1
"19- 95 years"	1173
"19-25"	12
"19-26"	6
"19-28 years"	1
"19-29 years"	5
"19-30"	2
"19-31 years"	10
"19-32 years"	55
"19-33 years"	3
"19-38 years"	7
"19-38 years old"	8
"19-39 years"	19
"19-40 years"	99
"19-41 years"	25
"19-45"	19
"19-46 years"	18
"19-48"	10
"19-48 years"	8
"19-51 years"	8
"19-53 years"	54
"19-54 years"	6
"19-54 years-old"	2
"19-57"	21
"19-57 years"	1
"19-58 years"	6
"19-59 years"	25
"19-61"	36
"19-62"	18
"19-63 years"	12
"19-65 years"	7
"19-65 years-old"	28
"19-67 years"	6
"19-70 years"	238
"19-71 years"	1
"19-72 years"	225
"19-73 years"	6
"19-74 years-old"	29
"19-76 years"	7
"19-77 years"	568
"19-81 years"	3
"19-82 years"	13
"19-86 years"	5
"19-95 years"	7
"19.9 to 22.1 years"	2
"19–67 years"	12
"2 day old"	1
"2 days old"	1
"2 months"	637
"2 months and 5 months"	1
"2 months old"	28
"2 months or 2-10 months"	1
"2 months or older"	17
"2 months to 52 years"	20
"2 to 14 years"	4
"2 to 26 months"	1
"2 to 3 months"	227
"2 to 3 years"	6
"2 to 4 months"	30
"2 to 4 monts"	3
"2 to 4 weeks"	1
"2 to 49 years"	1
"2 to 6 months"	61
"2 to 62"	31
"2 to 76 years"	29
"2 weeks"	143
"2 years"	142
"2 years 8 months to 3 years 9 months"	1
"2, 12, or 20 months"	3
"2, 3, or 4 months"	2
"2- 4 months"	2
"2-12 months"	145
"2-15 years"	21
"2-16 years"	11
"2-17 years"	6
"2-18 mo"	27
"2-20 months"	8
"2-3 months"	409
"2-3 months and 18-22 months"	5
"2-3 months or 18-20 months"	2
"2-3 years"	20
"2-32 years"	140
"2-33 months"	1
"2-35 years"	4
"2-4 months"	644
"2-4 months old"	77
"2-43 years"	42
"2-5 months"	49
"2-5 years"	123
"2-54 years"	3
"2-56 years"	42
"2-6 months"	883
"2-62 years"	1
"2-68 years old"	160
"2-71 years"	1
"2-8 months"	67
"2-8 years"	30
"2-80 years"	4
"2-day old"	9
"2-day or 8-week"	8
"2.0-15.1 years"	4
"2.5 to 17 years"	1
"2.5-25.4 years"	257
"2.5-4 months"	2
"2.5-6 months"	15
"20 - 57 years"	12
"20 - >65 years"	5
"20 months"	11
"20 to 25 years"	14
"20 to 40 years"	1
"20 to 41 years"	21
"20 to 43 years"	40
"20 to 48 years"	3
"20 to 55 years"	38
"20 to 56 years"	7
"20 to 58 years"	4
"20 to 59 years"	187
"20 to 60 years"	36
"20 to 64 years"	10
"20 to 69 years"	506
"20 to 70 years"	22
"20 to 72 years"	137
"20 to 74 years"	2
"20 to 75 years"	24
"20 to 79 years"	74
"20 to 80 years"	147
"20 weeks"	17
"20 weeks old"	18
"20 years"	52
"20 years old"	104
"20- 54 years"	34
"20-23 years"	2
"20-24 weeks"	7
"20-25 years"	4
"20-26 years"	1026
"20-27 weeks"	71
"20-27 years"	4
"20-29 years"	11
"20-37 years"	10
"20-39 years"	489
"20-40 years"	14
"20-41 years"	7
"20-45 years"	381
"20-46 years"	1284
"20-47 years"	20
"20-48 years"	2
"20-50 years"	9
"20-51"	5
"20-51 years"	61
"20-52 years"	12
"20-53 years"	3
"20-55 years"	20
"20-55 years old"	20
"20-56 years"	30
"20-58"	6
"20-58 years"	1
"20-58 years-old"	1644
"20-60 years"	282
"20-61 years"	9
"20-63 years"	484
"20-65"	39
"20-65 years"	146
"20-65 years-old"	20841
"20-66 years"	1
"20-67 years"	35
"20-68 years"	4
"20-69 years"	57
"20-70 years"	28
"20-72 years"	129
"20-73 years"	6
"20-75 years"	177
"20-77 years"	68
"20-78 years"	7
"20-79 years"	2
"20-80 years"	50
"20-81 years"	20
"20-83 years"	1
"20-90 years"	2
"20-92 years"	3
"20.6-50.1 years"	22
"20–67 years"	16
21	36
"21 and 44 years"	2
"21 to 24 weeks"	6
"21 to 33 years"	40
"21 to 35 years"	107
"21 to 40 years"	20
"21 to 44 years"	1
"21 to 53 years"	271
"21 to 56 years"	19
"21 to 60 years"	2
"21 to 61 years"	15
"21 to 66 years"	1273
"21 to 67 years"	372
"21 to 68 years"	6
"21 to 70 years"	399
"21 to 74 years"	121
"21 to 77 years"	376
"21 to 87 years"	69
"21 years"	16
"21 years old"	8
"21, 25 and 44 years"	1
"21- 75 years"	12
"21-24 days"	1
"21-24 years"	1
"21-26"	6
"21-27 years"	4
"21-28 years"	18
"21-29 years"	3
"21-30 years"	2
"21-31 years"	87
"21-32 years-old"	1
"21-34 years"	5
"21-35"	2
"21-35 years"	19
"21-37"	1
"21-38 years"	3
"21-39 years"	23
"21-41 years"	32
"21-42 years old"	31
"21-44 years"	10
"21-45 years"	37
"21-45 years old"	150
"21-45 years-old"	2
"21-46 years"	9
"21-47 years-old"	2
"21-48 years"	3
"21-48 years-old"	2
"21-49 years-old"	1
"21-50 years"	54
"21-50 years old"	6
"21-51 years"	4
"21-52 years"	175
"21-52 years-old"	1
"21-53 years"	11
"21-53 years-old"	21
"21-54 years"	55
"21-54 years-old"	22
"21-55 years"	8350
"21-55 years old"	13
"21-55 years-old"	34
"21-56 years"	626
"21-56 years-old"	2
"21-58 years"	6
"21-58 years-old"	81
"21-59 years"	113
"21-59 years-old"	33
"21-62 years"	261
"21-63 years"	112
"21-64 years"	6
"21-65 years"	6
"21-66  years"	5
"21-66 years"	12
"21-66 years old"	40
"21-67 years"	176
"21-68 years"	30
"21-70 years"	122
"21-72 years"	3
"21-73 years"	8
"21-75 years"	479
"21-76 years"	5176
"21-77 years"	72
"21-79"	3
"21-79 years"	9
"21-81 years"	4
"21-82 years"	578
"21-83 years old"	6
"21-84 years"	8
"21-87 years"	7
"21-90 years"	12
"21-91 years"	30
"21-92 years"	628
"21.1 to 43 years"	27
"21.6 to 60.6 years"	27
"21.9 to 29.3 years"	27
22	2
"22 - 53 years"	2
"22 - 64 years"	290
"22 and 68 years"	1
"22 to 26 months"	1
"22 to 32 years"	54
"22 to 41 years"	40
"22 to 42 years"	2
"22 to 45 years"	52
"22 to 51 years"	38
"22 to 54 years"	4
"22 to 56 years"	53
"22 to 59 years"	64
"22 to 60 yeras"	22
"22 to 63 years"	6
"22 to 64 years"	126
"22 to 66 years"	13
"22 to 68 years"	71
"22 to 71 years"	11
"22 to 76 years"	14
"22 to 80 years"	8
"22 to 82 years"	23
"22 to 85 years"	2
"22 to >60 years"	1
"22 weeks"	1
"22 years old"	4
"22- 66 years"	93
"22- 67 years"	3
"22-108 months"	4
"22-25 years"	6
"22-26 years"	1
"22-29 years"	2
"22-32 years"	2
"22-35 years"	27
"22-35 years old"	13
"22-36 years"	7
"22-38 years"	10
"22-39"	10
"22-40 years"	12
"22-43 years"	1
"22-43 years-old"	3
"22-44 years"	1
"22-44 years-old"	1
"22-45 years"	9
"22-45 years-old"	13
"22-46"	27
"22-46 years"	5
"22-47 years"	2
"22-47 years-old"	13
"22-48 years-old"	4
"22-49 years-old"	2
"22-51 years-old"	1
"22-52 years"	126
"22-53 years"	8350
"22-53 years-old"	38
"22-54 years"	2
"22-54 years-old"	13
"22-55 years"	88
"22-55 years-old"	25
"22-56 years"	9
"22-57 years"	40
"22-58 years"	68
"22-58 years-old"	38
"22-59 years"	17
"22-59 years-old"	36
"22-60 years"	152
"22-61 years-old"	2
"22-62 years"	34
"22-64 years"	26
"22-65 years"	18
"22-66 years"	54
"22-69 years"	20
"22-71"	1
"22-71 years"	56
"22-75 years"	8
"22-76 years"	148
"22-77 years"	26
"22-83 years"	1
"22-84 years"	1
"22-88 years"	2
"22-91 years"	21
"22.5-35.5"	4
"22.8 to 58.9 years"	2
"23 and 61 years"	1
"23 days"	3
"23 to 26 years"	4
"23 to 33 years"	3
"23 to 39 years"	30
"23 to 52 years"	5
"23 to 55 years"	469
"23 to 57 years"	4
"23 to 60 years"	6
"23 to 69 years"	3
"23 to 73 years"	21
"23 to 74 years"	24
"23 to 77 years"	10
"23 to 81 years"	48
"23 weeks"	1
"23 years"	58
"23 years old"	77
"23 years-old"	6
"23- 51 years"	140
"23- 70 years"	3
"23-27 years"	1
"23-31 years"	1
"23-32"	17
"23-33 years"	1
"23-34 years"	13
"23-35 years"	22
"23-35 years old"	3
"23-37 years"	1
"23-39 years"	320
"23-40 years"	3
"23-41 years"	8
"23-41 years-old"	2
"23-42 years"	150
"23-43 years"	18
"23-43 years-old"	5
"23-44 years"	2
"23-44 years-old"	2
"23-45 years"	5
"23-45 years old"	2
"23-45 years-old"	3
"23-47 years-old"	4
"23-48 years"	36
"23-48 years-old"	1
"23-50 years"	4
"23-52 years"	277
"23-53"	3
"23-53 years"	1
"23-53 years-old"	7
"23-54 years-old"	11
"23-55 years"	64
"23-55 years old"	35
"23-55 years-old"	24
"23-57 years"	98
"23-58 years"	11
"23-59 years-old"	19
"23-60 years"	3
"23-61 years"	2360
"23-62 years"	14
"23-64"	4
"23-65 years"	35
"23-66 years"	1047
"23-67"	18
"23-67 years"	25
"23-69 years"	1
"23-69 years-old"	8
"23-70 years"	2
"23-72 years"	5
"23-77 years"	21
"23-78 years"	32
"23-80 years"	12
"23-81 years"	6
"23-85 years"	150
"23-87 years"	70
"23-91 years"	5
"23-95 years"	578
"23.3 to 45.9 years"	2
"23–52 years"	6
"23–63 years"	2
24	13
"24 - 46 years"	32
"24 -49 years"	140
"24 hours"	12
"24 hours after birth"	7
"24 to 27 years"	1
"24 to 32 years"	13
"24 to 34 years"	1
"24 to 37 years"	2
"24 to 38 years"	6
"24 to 42 years"	7
"24 to 46 years"	29
"24 to 48 years"	123
"24 to 51 years"	23
"24 to 60 years"	78
"24 to 65 years"	12
"24 to 68 years"	60
"24 to 75 years"	15
"24 to 78 years"	139
"24 to 79 years"	1
"24 to 82 years"	38
"24 weeks"	3
"24 years"	30
"24 years old"	3
"24-108 months"	3
"24-27 years"	2
"24-28 years"	2
"24-31 years"	5
"24-32 years"	9
"24-32 years old"	2
"24-36"	17
"24-37 years"	1
"24-38 years"	7
"24-39 years"	16
"24-40 years"	84
"24-42 years"	1
"24-43 years"	71
"24-45 years"	15
"24-46"	28
"24-46 years"	96
"24-47 years"	103
"24-48 years"	5
"24-49 years"	51
"24-50 years"	59
"24-51 years"	18
"24-52"	3
"24-52 years"	125
"24-53 years"	4
"24-55"	4
"24-58 years"	27
"24-59 years"	2
"24-60 years"	204
"24-63 years"	231
"24-65 years"	249
"24-66 years"	83
"24-67"	18
"24-69 years"	97
"24-70 years"	7
"24-71 years"	30
"24-73 years"	11
"24-74 years"	1
"24-75"	92
"24-75 years old"	28
"24-76 years"	16
"24-79 years"	13
"24-81 years"	164
"24-82 years"	4
"24-85 years"	11
"24-87 years"	3
"24-88 years"	3
"24-95 years"	63
"24-day-old"	1
"24.6 to 44.2 years"	27
"24–62 years"	2
"24–87 years"	1
"24–88 years"	2
25	31
"25 days"	28
"25 to 40 years"	15
"25 to 52 years"	198
"25 to 55 years"	4
"25 to 59 years"	24
"25 to 61 years"	103
"25 to 67 years"	50
"25 to 73 years"	6
"25 to 76 years"	22
"25 to 81 years"	7
"25 to 82 years"	7
"25 weeks"	44
"25 years"	94
"25 years old"	124
"25- 27 years"	3
"25- 49 years"	5
"25- 54 years"	17
"25-31 years"	34
"25-33 years"	3
"25-37"	1
"25-38 years"	7
"25-40 years"	13
"25-41 years"	19
"25-42 years"	14
"25-43 years-old"	1
"25-44 years"	71
"25-45"	3
"25-45 years"	44
"25-47 years"	8
"25-48 years"	21
"25-49 years"	4
"25-50 years"	5
"25-50 years-old"	28
"25-51 years"	8
"25-52 years"	4
"25-53 years"	28
"25-54"	28
"25-54 years"	41
"25-54 years-old"	1
"25-55 years"	31
"25-55 years-old"	4
"25-56 years"	58
"25-57 years"	141
"25-58 years"	15
"25-58 years old"	42
"25-58 years-old"	1
"25-59 years"	30
"25-59 years-old"	1
"25-60 years"	33
"25-61 years"	16
"25-62 years"	4
"25-65 years old"	8
"25-67 years"	62
"25-68 years old"	39
"25-69 years"	5
"25-72 years"	3
"25-73"	13
"25-76 years"	13
"25-77 years"	13
"25-78 years"	433
"25-80 years"	2242
"25-81 years"	4
"25-82 years"	5
"25-88 years"	15
"25-89 years"	39
"25.5 - 56 years"	25
"25–87 years"	1
"25–88 years"	9
26	75
"26 - 52 years"	8
"26 and 54 years"	2
"26 to 34 years"	4
"26 to 44 years"	69
"26 to 47 years"	3
"26 to 50 years"	15
"26 to 53 months"	10
"26 to 53 years"	12
"26 to 60 years"	11
"26 to 64 years"	12
"26 years"	15
"26 years old"	7
"26-28 months"	1
"26-34 years"	6
"26-38 years"	9
"26-39"	2
"26-39 years"	451
"26-40 years"	4
"26-42 years"	15
"26-44 years"	1
"26-45 years"	552
"26-46 years"	59
"26-50 years"	13
"26-52 years"	8
"26-55"	10
"26-55 years"	4
"26-57"	5
"26-57 years"	6
"26-58"	2
"26-58 years"	11
"26-58 years old"	4
"26-59 years old"	8
"26-60 years"	36
"26-62 years"	450
"26-63 years"	44
"26-64"	6
"26-64 years"	3
"26-66 years"	10
"26-68 years"	36
"26-72 years-old"	28
"26-75 years"	4
"26-78 years"	4
"26-79 years"	16
"26-80 years"	8
"26-93 years"	9
"26.2 +/- 4.8 years"	24
"26.7 +/- 1.0 years"	1
27	9
"27 +/- 6 years"	6
"27 - 62 years"	24
"27 days"	5
"27 to 39 years"	6
"27 to 49 years"	3
"27 to 51"	11
"27 to 52 years"	4
"27 to 53 years"	31
"27 to 56 years"	29
"27 to 59 years"	3
"27 to 64 years"	21
"27 to 78 years"	68
"27 weeks"	13
"27 years"	210
"27 years old"	10
"27- 60 years"	16
"27- 76 years"	11
"27-29 days"	1
"27-29 years"	54
"27-32 years-old"	2
"27-39 years-old"	2
"27-40 years"	465
"27-40 years-old"	2
"27-41 years"	9
"27-42 years-old"	2
"27-44 years"	11
"27-48 years"	10
"27-49 years"	9
"27-53 years"	3
"27-53 years-old"	1
"27-54 years"	63
"27-55 years-old"	1
"27-56 years old"	13
"27-57 years"	300
"27-58 years"	36
"27-60"	10
"27-60 years"	22
"27-62 years"	16
"27-64 years"	1002
"27-65 years"	161
"27-66 years"	20
"27-67 years"	2
"27-68 years"	45
"27-69 years"	3
"27-70 years"	2
"27-71 years"	42
"27-72 years"	4
"27-75 years"	6
"27-79 years"	50
"27-82 years"	6
"27-87 years"	88
"27.5 to 32.5 months"	1
28	148
"28 to 30 years"	2
"28 to 33 years"	1
"28 to 52 years"	30
"28 to 60 years"	19
"28 to 61 years"	70
"28 to 63 years"	37
"28 to 64 years"	104
"28 to 65 years"	1
"28 to 68 years"	46
"28 to 69 years"	1
"28 to 76 years"	54
"28 to 86 years"	15
"28 to 87 years"	5
"28 years"	175
"28 years old"	50
"28 years-old"	3
"28-29 years"	6
"28-32 years-old"	1
"28-34 years"	2
"28-35 years"	1
"28-36 years"	71
"28-38 years"	63
"28-39 years"	1
"28-40 years-old"	1
"28-42 years"	15
"28-43 years"	5
"28-44"	20
"28-44 years"	1
"28-48 years"	30
"28-52 years"	101
"28-53 years"	9
"28-54 years"	12
"28-55 years"	149
"28-57 years"	21
"28-58 years"	2
"28-58 years old"	3
"28-59 years"	15
"28-60 yrs"	9
"28-61 years"	6
"28-63 years"	2
"28-64 years"	130
"28-65 years"	28
"28-66 years"	1
"28-67 years"	3
"28-69 years"	5
"28-71 years"	154
"28-72 years"	15
"28-79 years"	240
"28.7 years"	6
"28.8-41.9 years"	2
29	19
"29 and 53 years"	1
"29 to 36 years"	2
"29 to 39 weeks"	43
"29 to 52 years"	24
"29 to 53 years"	34
"29 to 54 years"	14
"29 to 56 years"	21
"29 to 61 years"	9
"29 to 65 years"	2
"29 to 82 years"	9
"29 years"	43
"29 years old"	20
"29 years ± 6.5"	1
"29-36 years"	8
"29-37 years"	4
"29-38"	19
"29-38 years"	5
"29-39 years"	2
"29-41 years"	4
"29-42 years"	29
"29-45 years"	45
"29-48 years"	3
"29-49 years"	31
"29-51 years"	38
"29-53 years"	16
"29-54 years"	2
"29-55"	40
"29-55 years"	4
"29-58 years"	11
"29-60 years"	25
"29-62"	24
"29-62 years"	8
"29-63"	28
"29-65 years"	16
"29-67 years"	11
"29-70"	10
"29-74 years"	2
"29-76 years"	11
"29-76 years old"	15
"29-79 years"	1
"29-82 years"	141
"29-83"	8
"2–25 years"	8
"3 - 4 week old"	3
"3 - 4 weeks"	19
"3 month"	2
"3 months"	194
"3 months- 17 years"	3
"3 months-old"	19
"3 to 21 years"	28
"3 to 24 years"	15
"3 to 25 years"	8
"3 to 4 months"	1
"3 to 4 weeks"	18
"3 to 5 months"	40
"3 to 5 weeks"	31
"3 to 6 months"	13
"3 to 6 years"	6
"3 to 67 years"	2
"3 to 75 years"	7
"3 to 8 months"	43
"3 to 8 weeks"	86
"3 weeks"	581
"3 years"	9
"3-10 years old"	35
"3-12 months"	1
"3-12 years"	72
"3-14 years"	6
"3-15 weeks"	1
"3-16 years"	70
"3-17 years"	20
"3-17.7 years"	24
"3-18 years"	72
"3-20 weeks"	3
"3-22 months"	1
"3-22 years"	20
"3-24 weeks"	1
"3-32 weeks"	24
"3-34 years"	8
"3-4 months"	69
"3-4 months-old"	12
"3-4 weeks"	214
"3-4 weeks old"	2
"3-4 years"	24
"3-45 years"	2
"3-5 months"	43
"3-5 week-old"	4
"3-5 weeks"	18
"3-52 years"	12
"3-6 months"	22
"3-6 weeks"	10
"3-65 years"	110
"3-8 months"	349
"3-8 years"	18
"3.3 -54 years"	2
"3.5-17 months"	20
"3.6-14.8 years"	4
"3.8 to 18.7 years"	1
30	7
"30 days"	1
"30 or 35 years"	1
"30 to 40 days"	3
"30 to 49 years"	42
"30 to 61 years"	1
"30 to 67 years"	13
"30 to 70 years"	12
"30 to 79 years"	10
"30 weeks"	4
"30 years"	72
"30 years old"	10
"30 years or younger"	14
"30-34 years"	16
"30-37 years"	38
"30-39 years"	6
"30-40 years"	1
"30-43 years"	2
"30-45"	16
"30-45 years"	13
"30-45 years old"	2
"30-48 years"	72
"30-48 years old"	1
"30-48 years-old"	2
"30-50 years-old"	2
"30-51 years"	59
"30-52 years-old"	25
"30-53 years old"	11
"30-53 years-old"	1
"30-54 years old"	13
"30-55 years old"	4
"30-55 years-old"	3
"30-56 years"	17
"30-57 years"	5
"30-58 years old"	13
"30-59 years"	400
"30-60 years"	1
"30-60 years old"	2
"30-62 years"	95
"30-65 years"	40
"30-68 years old"	1
"30-72 years"	9
"30-74 years"	6
"30-76 years"	4
"30-78"	14
"30-78 years old"	6
"30-79 years"	2
"30-80 years"	11
"30-83 years"	10
"30-85 years"	9
"30-86"	7
"30-90 years"	3
"30.1 to 59.1 years"	51
"30.9 to 42.1 years"	18
31	10
"31 to 47 years"	40
"31 to 53 years"	46
"31 to 59 years"	88
"31 to 62 years"	1
"31 to 68 years"	28
"31 to 83 years"	2
"31 years"	8
"31 years old"	8
"31-37"	3
"31-39"	65
"31-39 years old"	1
"31-42"	1
"31-43 years-old"	2
"31-45 years-old"	1
"31-48 years-old"	2
"31-53 years old"	1
"31-54"	1
"31-54 years-old"	1
"31-55 years old"	1
"31-55 years-old"	9
"31-56 years-old"	2
"31-57 years"	52
"31-58 years"	7
"31-58.8 years"	5
"31-59 years-old"	5
"31-60 years"	14
"31-63 years"	132
"31-64 years"	11
"31-68 yeays"	15
"31-70 years"	784
"31-72 years"	13
"31-73 years"	8
"31-76 years"	2
"31-77 years"	25
"31-80"	10
"31-88 years"	17
"31.2 to 63.0 years"	3
32	49
"32 or 34 years"	12
"32 to 56 years"	21
"32 to 65 years"	1
"32 to 78 years"	7
"32 years"	168
"32 years old"	17
"32- 53.5 years"	409
"32-35"	2
"32-35 years-old"	1
"32-37 years"	50
"32-38 years"	2
"32-39 weeks"	1
"32-39 years"	5
"32-40 years old"	1
"32-42"	1
"32-42 years-old"	1
"32-43 years"	14
"32-44 years old"	1
"32-44 years-old"	1
"32-47 years"	2
"32-47 years old"	1
"32-47 years-old"	1
"32-48 years old"	1
"32-49 years-old"	1
"32-51 years"	23
"32-53 years old"	6
"32-53 years-old"	3
"32-55 years old"	1
"32-55 years-old"	5
"32-56 years-old"	1
"32-58"	4
"32-59 years"	3
"32-59 years-old"	1
"32-62 years"	14
"32-63"	10
"32-64 years"	4
"32-66 years"	12
"32-66 years (mean = 50.3 year)"	6
"32-67 years"	4
"32-69 years"	4
"32-70 years"	6
"32-74"	24
"32-74 years"	287
"32-74 years old"	8
"32-76 years"	42
"32-82 years"	15
"32-85 years"	3
"32-86 years"	6
"32-87 years"	38
"32.8-35.6 years"	4
33	202
"33 to 49 years"	2
"33 to 50 years"	29
"33 to 55 years"	5
"33 to 57 years"	16
"33 to 66 years"	51
"33 to 73 years"	16
"33 years"	92
"33 years old"	14
"33-34 years-old"	1
"33-36 days"	1
"33-39"	9
"33-40 years old"	1
"33-41 years old"	1
"33-45 years"	919
"33-48 years-old"	2
"33-50 years"	3
"33-52 years-old"	33
"33-53 years old"	6
"33-53 years-old"	1
"33-55 years"	4
"33-55 years old"	1
"33-55 years-old"	5
"33-56 years"	13
"33-59 years-old"	1
"33-62 years"	70
"33-63"	16
"33-64 years"	16
"33-67 years"	4
"33-68 years"	6
"33-68 years old"	1
"33-73 years"	20
"33-74 years"	4
"33-75 years"	4
"33-77 years"	28
"33-87"	34
34	3
"34 to 50 years"	31
"34 to 56 years"	4
"34 to 58 years"	11
"34 to 66 years"	68
"34 to 67 years"	3
"34 to 70 years"	20
"34 to 73 years"	15
"34 years"	52
"34 years old"	1
"34-35"	5
"34-35 years"	6
"34-41 years"	2
"34-44 years"	11
"34-45 years"	9
"34-55 years"	5
"34-58 years"	1
"34-60 years"	1
"34-60 years old"	1
"34-61 years"	101
"34-63 years"	6
"34-64"	3
"34-64 years"	2
"34-65 years"	4
"34-66.5 years"	1
"34-72 years"	10
"34-85 years"	29
35	119
"35 to 40 days"	3
"35 to 41 years"	26
"35 to 50 years"	5
"35 to 55 years"	22
"35 to 77 years"	1
"35 years"	134
"35 years old"	18
"35- 70 years"	4
"35- 75 years"	7
"35-37 years"	1
"35-43 years-old"	1
"35-45 years"	24
"35-47 years"	11
"35-48 years"	1
"35-49 years"	7
"35-50 years"	25
"35-51 years"	1
"35-53 years-old"	1
"35-55 years"	10
"35-55 years-old"	1
"35-57 years"	6
"35-58 years"	1
"35-59 years"	3
"35-60 years"	2
"35-62 years"	30
"35-63 years"	6
"35-64"	8
"35-65 years"	78
"35-68 years"	29
"35-73 Years"	80
"35-76 years"	5
"35-94 years"	76
"35-95 years"	5
"35.4 yrs average"	11
"35.4 yrs. Average"	1
36	41
"36 to 59 years"	3
"36 to 65 years"	4
"36 to 67 years"	2
"36 to 68.2 years"	23
"36 to 78 years"	36
"36 to 79 years"	19
"36 to 85 years"	26
"36 to 88 years"	1
"36 years"	148
"36 ± 13 years"	1
"36-37 years"	1
"36-39 years"	3
"36-43 years"	5
"36-47 years"	3
