"h_age"	"frequency"
"36-51 years old"	10
"36-52 years"	37
"36-55 years"	13
"36-56 years"	3
"36-57 years"	8
"36-65 years"	119
"36-70 years"	2
"36-70 years-old"	39
"36-75 years"	16
"36-84 years"	14
37	80
"37 to 61 years old"	45
"37 to 90 years"	43
"37 years"	45
"37 years old"	56
"37 yrs average"	11
"37 yrs. Average"	1
"37 ± 12 years"	2
"37- 88 years"	2
"37-41 years"	12
"37-45 years"	1
"37-46 years"	8
"37-47 years"	7
"37-492 months"	91
"37-53 years old"	1
"37-54 years"	6
"37-55 years"	3
"37-57"	14
"37-58 years"	4
"37-61 years old"	4
"37-63 years"	1
"37-65 years"	48
"37-66 years"	30
"37-74"	2
"37-74 years"	6
"37-78 years"	3
"37-80 years"	2
"37-90 years"	24
"37–62 years"	5
38	121
"38 and 44 years"	2
"38 and 48 years"	1
"38 to 52 years"	1
"38 to 63 years"	4
"38 to 71 years"	10
"38 to 72 years"	4
"38 to 75 years"	4
"38 years"	58
"38 years-old"	1
"38-48 years"	1
"38-50 years"	3
"38-51 years"	1
"38-53"	10
"38-56 years"	2
"38-57 years"	5
"38-59 years"	160
"38-61 years"	1
"38-62 years"	41
"38-64 years"	6
"38-65 years"	8
"38-67 years"	74
"38-71 years"	9
"38-73 years"	5
"38-75 years"	29
"38-77 years"	42
"38.1 ± 14.8 years"	28
"38.6 years (mean age)"	1
39	28
"39 to 57 years"	69
"39 to 67 years"	12
"39 to 82 years"	53
"39 years"	78
"39 years old"	19
"39-41 years"	1
"39-43"	2
"39-43 years"	7
"39-46 years old"	8
"39-47 years old"	2
"39-48 years"	14
"39-50 years"	73
"39-53 years old"	1
"39-54 years"	14
"39-55 years"	1
"39-58 years"	1
"39-61 years"	12
"39-63 years"	29
"39-65 years"	3
"39-69 years"	1
"39-73 years"	2
"39-75 years"	12
"39-82 years"	5
"39.8 +/- 10.6 years"	7
"4 - 5 weeks"	3
"4 - 6 weeks"	29
"4 and 12 weeks"	5
"4 days to 5 weeks"	1
"4 months"	103
"4 months- 4 years"	16
"4 to 10 weeks"	2
"4 to 12 weeks"	12
"4 to 15 weeks"	5
"4 to 16 years"	4
"4 to 21 years"	31
"4 to 5 weeks"	51
"4 to 57 years"	16
"4 to 6 months"	9
"4 to 6 weeks"	281
"4 to 6 weeks old"	97
"4 to 7 weeks"	6
"4 to 7 weeks old"	1
"4 to 8 months"	8
"4 to 8 weeks"	36
"4 to 8 weeks old"	54
"4 week"	28
"4 week old"	1
"4 weeks"	1618
"4 weeks old"	14
"4 weeks-old"	8
"4 wk - 3 mo"	3
"4 years"	6
"4-10 months"	2
"4-10 weeks"	115
"4-10 weeks-old"	10
"4-12 weeks"	28
"4-12 weeks-old"	7
"4-13 years"	13
"4-14 weeks"	4
"4-15 months"	4
"4-15 years"	2
"4-16 weeks"	8
"4-16 years old"	311
"4-17 years"	17
"4-18+ years"	7
"4-20 weeks"	2
"4-24 months"	92
"4-5  weeks"	14
"4-5 months"	11
"4-5 weeks"	276
"4-5 weeks old"	62
"4-5 weeks-old"	2
"4-5 wk"	6
"4-5 years"	3
"4-6 months"	19
"4-6 weeks"	1369
"4-6 weeks old"	33
"4-6 weeks-old"	68
"4-6 wk"	13
"4-6 wks"	118
"4-6.1 years"	4
"4-7 weeks"	48
"4-7 weeks old"	2
"4-8 months"	34
"4-8 weeks"	295
"4-8 weeks old"	4
"4-8 weeks-old"	6
"4-8 years"	4
"4-8-week-old"	2
"4-9 weeks"	2
"4-week old"	2
"4-week-old"	5
"4.1-15.2 years"	3
"4.1-16.3 years"	8
"4.5 - 6 months"	1
"4.5 weeks"	2
"4.5-14.3 years"	4
40	79
"40 - 63 years"	13
"40 -58 years"	2
"40 to 55 years"	2
"40 to 60 years"	1
"40 to 62.1 years"	23
"40 to 73 years"	376
"40 years"	29
"40 years old"	40
"40 years or older"	13
"40 years-old"	1
"40 ± 12 years"	4
"40-42 years"	1
"40-45 years"	1
"40-49 years"	17
"40-50 years"	4
"40-50 years-old"	63
"40-53 years-old"	2
"40-54 years"	4
"40-58 years"	4
"40-60 years"	6
"40-62 years"	23
"40-65 years"	12
"40-67 years"	22
"40-69 years"	2
"40-73 years old"	2
"40-76 years"	8
"40-80 years"	4
"40-81 years"	21
"40–74 years"	48
41	9
"41 +/- 11 years"	29
"41 and 43 years"	274
"41 to 75 years"	376
"41 years"	90
"41 years old"	26
"41-51 years"	2
"41-55"	34
"41-56 years"	8
"41-59 years"	3
"41-68 years"	2
"41-69 years"	23
"41-70 years"	24
"41-73"	4
"41-75 years"	2
"41-78 years"	8
"41-86 years"	2
"41±13 years"	2
"41–64 years"	5
42	1
"42 and 43 years"	1
"42 to 100 days"	3
"42 to 116 days"	6
"42 to 43 years"	1
"42 to 50 years"	6
"42 to 58 years"	10
"42 to 61 years"	10
"42 to 82 years"	2
"42 years"	72
"42 years old"	6
"42-53 years"	12
"42-61 years"	83
"42-62 years"	1
"42-64 years"	8
"42-65 years"	2
"42-67 years"	62
"42-70 years"	27
"42-70 years-old"	16
"42.7 years"	6
"42.8-66.5 years"	3
"42.8±11.9 years"	2
"42.9 to 73.7 years"	3
43	5
"43 to 67 years"	3
"43 years"	298
"43 years old"	8
"43- 79 years"	8
"43-46"	15
"43-50 years"	1
"43-52 years"	1
"43-55 years-old"	1
"43-60 years"	73
"43-61 years"	126
"43-65"	4
"43-68 years"	6
"43-84 years"	1
44	62
"44 to 59 years"	13
"44 to 74 years"	12
"44 to 81 years"	32
"44 years"	3253
"44 years old"	9
"44-45 years old"	1
"44-50 years"	1
"44-55 years"	1
"44-60 years"	3
"44-68 years"	1
"44.9 to 74.1 years"	86
45	27
"45 to 72 years"	32
"45 to 82 years"	57
"45 years"	114
"45 years old"	3
"45-52"	7
"45-55 yrs"	2
"45-60 years"	24
"45-61 years"	8
"45-65 years"	1
"45-66 years"	5
"45-71 years"	12
"45-72 years"	61
"45-82 years"	2
"45.8 years"	1
46	255
"46 to 61 years"	4
"46 to 64 years"	2
"46 to 84 years"	10
"46 to 92 years"	105
"46 years"	40
"46 years-old"	2
"46-48 months"	1
"46-48 yrs"	1
"46-53 years"	12
"46-58 years"	3
"46-65 years"	22
"46-67 years"	18
"46-72 years"	12
"46-73 years"	9
"46-74 years old"	2
"46-78 years"	1
"46-83 years"	216
"46-84 years"	16
"46-86 years"	12
"46.1 +/- 14.8 years"	3
"46.3-66.3 years"	25
"46.6 to 63.4 years"	1
47	18
"47 to 53 years"	26
"47 to 57 years"	115
"47 to 63 years"	115
"47 years"	52
"47 years old"	5
"47-56 years"	2
"47-58 years"	182
"47-64 years"	16
"47-65 years"	5
"47-66 years"	7
"47-76 years"	14
"47-83 years"	16
"47-88 years"	2
47.6	5
48	10
"48 years"	43
"48 years old"	18
"48- 74 years"	1
"48-59 years old"	1
"48-60 years"	6
"48-75 years"	5
"48-79 years"	5
"48-80 years"	81
"48.1±12.7 years"	1
"48.5 to 68.9 years"	3
49	6
"49 to 71 years"	3
"49 years"	170
"49 years old"	1417
"49-59 years"	2
"49-60 years"	3
"49-61 years"	58
"49-76 years"	5
"49-77 years"	2
"49-88 years"	1
"5 - 8 weeks"	28
"5 days"	30
"5 months"	117
"5 months-3 years"	25
"5 or 6 weeks"	2
"5 or 8 weeks"	1
"5 to 10 weeks"	6
"5 to 12 week"	15
"5 to 12 weeks"	216
"5 to 16 weeks"	4
"5 to 19 weeks"	366
"5 to 19 years"	27
"5 to 20 weeks"	12
"5 to 25 years"	18
"5 to 6 weeks"	408
"5 to 7 weeks"	30
"5 to 72 years"	4
"5 to 8 weeks"	591
"5 tp 7 weeks"	3
"5 weeks"	1441
"5 years"	2
"5, 11 or 18 weeks"	3
"5, 8, 11 or 18 weeks"	4
"5- to 8- weeks -old"	16
"5-10 weeks"	26
"5-10 years-old"	1
"5-12 weeks"	6
"5-14 years"	13
"5-15 years"	60
"5-16 weeks"	16
"5-16 weeks old"	2
"5-18 years"	11
"5-20 weeks"	14
"5-25 months"	1
"5-30 years-old"	1
"5-31 years"	17
"5-38 years"	6
"5-6 months"	48
"5-6 weeks"	825
"5-6 weeks old"	12
"5-6 weeks-old"	13
"5-60 years"	2
"5-62 years"	4
"5-65 years"	16
"5-7 weeks"	2205
"5-7 weeks old"	1
"5-70 years"	2
"5-8 weeks"	846
"5-8 weeks old"	20
"5-8 weeks-old"	2
"5-9 months"	6
"5-9 weeks"	3
"5.4 years"	6
"5.4-12 years"	2
"5.4-16.4 years"	1
"5.5 weeks"	1
"5.5-7.5 months"	6
50	12
"50 days"	11
"50 years"	112
"50 years old"	10
"50 yrs"	1
"50 ± 15 years"	4
"50- 74 years"	2
"50-58"	16
"50-62 years"	4
"50-64 years"	10
"50-65 years"	47
"50-69 years"	1
"50-70 years"	53
"50-73 years"	1
"50-76"	4
"50-76 years"	3
"50-79 years"	4
"50-80 years"	29
"50-96 years"	1
"50–81"	12
51	187
"51 to 83 years"	3
"51 to 84 years"	7
"51 years"	294
"51 years old"	1017
"51-53 years"	1
"51-58 years"	5
"51-67 years"	27
"51-77 years"	15
"51-78 years"	5
"51-80 years"	13
"51-85 years"	3
52	39
"52 and 70 years"	10
"52 years"	46
"52 years-old"	8
"52-58 years"	4
"52-59 years"	1
"52-62 years"	1
"52-68"	18
"52-71 years"	2
"52-74 years"	14
"52-75 years"	27
"52-78 years"	138
"52-83 years"	76
"52-89 years"	8
"52-91 years"	50
"52-96 years"	3
"52.2 - 69 years"	21
53	49
"53 to 71 years"	11
"53 to 83 years"	7
"53 years"	282
"53 years old"	28
"53 yrs"	4
"53-54 years"	30
"53-63 yeras"	3
"53-64 years"	2
"53-71 years"	20
"53-78 years"	1
"53-81 years"	72
"53-83 years"	7
54	28
"54 to 85 years"	52
"54 to 89 years"	6
"54 years"	44
"54 years old"	4
"54-57 years"	6
"54-63 years"	1
"54-73 years"	4
"54-74"	21
"54-78 years"	35
"54-79 years"	135
"54-81 years"	126
"54-82 years"	66
"54±10 years"	4
"54–77"	23
55	30
"55 to 70 years"	6
"55 to 81 years"	9
"55 to 87 years"	2
"55 years"	437
"55 years (mean)"	8
"55 years old"	9
"55-60 years"	1
"55-66 years"	1
"55-69 years"	3
"55-77 years"	36
"55.2 +/- 20.1 years"	45
56	182
"56 to 66"	1
"56 to 79 years"	1
"56 to 81 years"	30
"56 years"	313
"56-63"	300
"56-66"	1
"56-69"	1
"56-85"	10
"56.6 ± 19.3 years"	3
57	158
"57 to 81 years"	2
"57 years"	3754
"57 years old"	40
"57- 81 years"	7
"57-60 years"	1
"57-62 years"	6
"57-70 years"	45
"57-74 years"	10
"57-75 years"	9
"57-79 years"	115
"57.1-70.1 years"	4
58	59
"58 to 67 years"	26
"58 years"	179
"58 years old"	1
"58-68 years"	1
"58-74 years"	9
"58-75"	297
"58-78 years"	3
"58-81 years"	3
"58-84 years"	3
"58-85 years"	1
"58-90 years"	1
"58.5 +/- 18.2 years"	44
"58.8 (average)"	65
"58.8 ± 17.4"	7
"59 to 64 years"	2
"59 to 77 years"	9
"59 to 79 years"	1
"59 to 82 years"	2
"59 years"	163
"59-61 years"	1
"59-62 years"	1
"59-71 years"	8
"59-78 years"	1
"59-84 years"	3
"5–10 weeks old"	4
"6 - 10 weeks"	85
"6 - 12 weeks"	4
"6 - 8 weeks"	1298
"6 -10 weeks old"	9
"6 and 12 weeks"	1
"6 and 8 weeks"	21
"6 month-old"	10
"6 months"	247
"6 months to 14 years"	1
"6 months to 18 years"	16
"6 months to 2 years"	2
"6 months-1.1 year"	35
"6 motnhs to 15 years"	1
"6 to 10 months"	5
"6 to 10 week-old"	3
"6 to 10 weeks"	1063
"6 to 10 wk"	47
"6 to 12 weeks"	637
"6 to 12 weeks old"	47
"6 to 14 weeks"	24
"6 to 16 weeks"	22
"6 to 20 weeks"	3
"6 to 34 years"	8
"6 to 35 months"	51
"6 to 53 years"	37
"6 to 59 years"	182
"6 to 60 years"	38
"6 to 7 days or 8 to 12 weeks"	2
"6 to 7 months"	6
"6 to 7 weeks"	439
"6 to 74 years"	1
"6 to 8 months"	126
"6 to 8 week"	10
"6 to 8 weeks"	5266
"6 to 8 weeks old"	275
"6 to 8 weeks or 18 to 24 months"	3
"6 to 8 weeks or 20 to 22 months"	18
"6 to 8 weeks or > 18 months"	6
"6 to 8-week old"	12
"6 to 83 years"	29
"6 to 9 months"	5
"6 to 9 weeks"	11
"6 week"	6
"6 week old"	1
"6 weeks"	2834
"6 weeks old"	179
"6 weeks or older"	16
"6 weeks to 20 months"	1
"6 weeks to 22 months"	9
"6 weeks-old"	135
"6 wo"	1
"6 years"	33
"6 yo 8 weeks"	38
"6 yrs"	11
"6 ± 2 weeks"	21
"6- to 7- months"	1
"6-10 week old"	27
"6-10 weeks"	1854
"6-10 weeks old"	166
"6-10 weeks-old"	272
"6-10 wk"	154
"6-10 wks"	2
"6-10 years"	3
"6-11 weeks"	43
"6-12 months"	35
"6-12 weeks"	3269
"6-12 weeks old"	20
"6-12 weeks-old"	26
"6-12 wk"	14
"6-12 years"	1
"6-13 years"	4
"6-14 weeks"	17
"6-15"	11
"6-15 weeks"	21
"6-15 years"	10
"6-16 weeks"	747
"6-16 wk"	26
"6-16 years"	67
"6-18 weeks"	11
"6-18 weeks old"	28
"6-18 weeks-old"	5
"6-20 weeks"	357
"6-27 weeks"	2
"6-30 years"	46
"6-33 years"	2
"6-35 weeks"	18
"6-41 years"	10
"6-42 years"	7
"6-58 years"	10
"6-64 years"	20
"6-67 years"	17
"6-7 weeks"	537
"6-7 wk"	8
"6-8"	74
"6-8 week"	58
"6-8 weeks"	26803
"6-8 weeks old"	795
"6-8 weeks, and 4 months"	2
"6-8 weeks-old"	102
"6-8 weels"	18
"6-8 wk"	23
"6-8 wk old"	11
"6-8 wk."	5
"6-8 wks"	58
"6-8-week-old"	1
"6-8weeks"	12
"6-9 days"	26
"6-9 months"	4
"6-9 months-old"	14
"6-9 weeks"	229
"6-9 weeks old"	3
"6-week-old"	4
"6.5 months"	1
60	22
"60 to 70 years"	4
"60 years"	212
"60+ years"	61
"60-62 years"	1
"60-72 years"	1
"60-74"	36
"60-75 years"	1
"60-90 days"	14
"60-91 years"	2
"60-95 yrs"	3
61	81
"61 years"	1645
"61-81 years"	8
62	26
"62 years"	195
"62-65 years"	10
"62-74 years"	227
63	31
"63 years"	706
"63-66 years"	1
"63-67 years"	10
"63-68 years"	9
"63-79 days"	26
"63-82 years"	3
"63-85 years"	10
"63-92 years"	85
64	44
"64 years"	15
"64 yeras"	3
"64-66 years"	123
"64-83"	4
"64-86 years"	10
65	26
"65 days"	4
"65 years"	471
"65-70 years"	52
"65-72 years"	2
"65-74 years old"	1
"65-78 years"	1
"65-85 years"	1
"65-94 years"	5
66	5
"66 to 77 years"	30
"66 years"	119
"66-86 years"	3
"66.6 to 84.6 years"	3
67	104
"67 to 76 years"	20
"67 years"	317
"67 years old"	9
"67-75 years"	1
68	5
"68 to 75 years"	1
"68 years"	169
"68 years old"	19
"68 years, and 70 years"	4
69	90
"69 years"	98
"69-70"	2
"69-83 years"	1
7	2
"7 - 11 years"	8
"7 -11 years"	1
"7 -8 weeks"	1
"7 day old"	1
"7 days"	76
"7 days or 8-10 weeks"	8
"7 months"	4
"7 months to 44 years"	1
"7 to 10 weeks"	182
"7 to 11 weeks"	11
"7 to 12 weeks"	14
"7 to 14 weeks"	31
"7 to 15 weeks"	14
"7 to 16 weeks"	106
"7 to 35 years"	27
"7 to 48 years"	3
"7 to 62 years"	1185
"7 to 8 week"	19
"7 to 8 weeks"	112
"7 to 9 weeks"	293
"7 weeks"	487
"7 weeks or newborn"	4
"7 years"	2
"7 yo 8 weeks"	2
"7-10 weeks"	588
"7-10 weeks-old"	88
"7-11 weeks"	33
"7-12 months"	23
"7-12 week"	2
"7-12 weeks"	337
"7-12 weeks-old"	3
"7-13 months"	4
"7-13 weeks"	2
"7-14 weeks"	4
"7-15 weeks"	43
"7-15 years"	4
"7-16 weeks"	8
"7-17 years old"	3
"7-26 years"	8
"7-30"	44
"7-37 years"	4
"7-40 years"	1
"7-48 years"	4
"7-53 years"	11
"7-55 years"	61
"7-62 years"	6
"7-64 years"	83
"7-66 years"	5
"7-70 years"	57
"7-74 years"	5
"7-74 years old"	25
"7-78 years"	1
"7-79"	8
"7-8 months"	398
"7-8 weeks"	672
"7-8 weeks old"	28
"7-8 weeks-old"	4
"7-8 years"	3
"7-9 weeks"	557
"7-9 weeks old"	28
"7.3 to 60.0 years"	1
"7.4 to 22.9 years"	1
"7.5-8 weeks"	36
70	278
"70 years"	153
"70-71"	2
"70-80 years"	1
71	52
"71 years"	32
72	36
"72 to 90 years"	1
"72 years"	132
"72-76 years"	2
73	52
"73 years"	72
74	31
"74 years"	83
"74 years old"	1
"74-92 years"	52
"75 years"	143
"75-77 years"	4
"75-78 years"	1
"76 years"	71
"77 years"	10
"78 to 84 years"	4
"78 years"	32
79	117
"79 years"	84
"8 - 10 weeks"	1
"8 - 12 weeks"	43
"8 - 16 weeks"	2
"8 - 9 weeks old"	4
"8 -11 weeks old"	2
"8 -12 weeks"	21
"8 -12 weeks old"	17
"8 days or 4-6 months"	3
"8 months"	68
"8 to 10 months"	1
"8 to 10 weeks"	3111
"8 to 10 weeks old"	21
"8 to 10 weeks or 21 months"	6
"8 to 10 weels"	3
"8 to 12 week"	18
"8 to 12 weeks"	1623
"8 to 12-week-old"	2
"8 to 12-weeks"	1
"8 to 13 weeks"	21
"8 to 14 weeks"	84
"8 to 16 weeks"	31
"8 to 18 weeks"	27
"8 to 20 weeks"	11
"8 to 24 weeks"	8
"8 to 24 years"	9
"8 to 45 years"	1
"8 to 47 years"	1
"8 to 50 years"	50
"8 to 62 years"	6
"8 to 64 years"	2
"8 to 68 years"	90
"8 to 9 weeks"	17
"8 week"	6
"8 week old"	30
"8 week-old"	4
"8 weeks"	3399
"8 weeks old"	76
"8 weeks or older"	10
"8 weeks to 6 months"	30
"8 weeks-old"	47
"8 wk"	2
"8 wk."	1
"8 yr"	7
"8-10"	11
"8-10 weeks"	4480
"8-10 weeks old"	180
"8-10 weeks or 18-22 months"	4
"8-10 weeks-old"	60
"8-10 wk"	35
"8-10 wks"	22
"8-10 wks."	16
"8-10wk"	70
"8-11 weeks"	39
"8-11 weeks old"	6
"8-11 wk"	4
"8-12 months"	37
"8-12 week"	4
"8-12 weeks"	4697
"8-12 weeks old"	163
"8-12 weeks-old"	50
"8-12 weeks."	3
"8-12 wk"	71
"8-12 wk."	6
"8-12 wks"	13
"8-13 weeks"	2
"8-14 weeks"	298
"8-14 weeks old"	127
"8-14 wk"	12
"8-14 years"	4
"8-15 weeks"	33
"8-15 years"	6
"8-16 weeks"	516
"8-16 wk"	2
"8-17 years"	69
"8-18 weeks"	16
"8-20 weeks"	98
"8-20 weeks-old"	15
"8-24 weeks"	18
"8-24 weeks old"	25
"8-25 years"	3
"8-29 years"	1
"8-34 years"	144
"8-36 years"	171
"8-44"	4
"8-44 years"	2
"8-53 years"	1
"8-60 years"	8
"8-65 years"	3
"8-78 years"	5
"8-9 months"	20
"8-9 weeks"	233
"8-week-old"	5
"8-weeks-old"	2
"8-years-old"	4
"8-yr-old"	1
8.4	1
"8.4-12 years"	6
"8.4-16.4 years"	4
"8.4-27.3 years"	22
"8.9 to 18.7 years"	144
"80 days"	11
"80 years"	5
81	2
"81 years"	164
"82 years"	1
83	8
"83 years"	1
"83-86"	1
"84 years"	13
"85 years"	16
"86 years"	74
"87 years"	1
"88 years"	1
"89.7 years"	1
"8–12 weeks"	9
"9 - 12 weeks"	2
"9 months"	9
"9 months to 81 years"	12
"9 or 20 weeks"	2
"9 to 12 weeks"	21
"9 to 23 years"	1
"9 to 38 years"	2
"9 to 56 years"	11
"9 to 64 years"	6
"9 to 65 years"	21
"9 to 71 years"	3
"9 to 87 years"	16
"9 week old"	35
"9 weeks"	116
"9 weeks old"	6
"9 years"	2
"9-10 weeks"	31
"9-11 weeks"	4
"9-11 weeks old"	14
"9-12 months"	8
"9-12 months old"	6
"9-12 weeks"	24
"9-12 years"	4
"9-14 weeks"	1
"9-16 weeks"	4
"9-20 weeks"	10
"9-25 years"	2
"9-35 years"	10
"9-39 years"	8
"9-50 years"	13
"9-52 years"	33
"9-64 years"	5
"9-66 years"	2
"9-72"	3
"9-78 years"	7
"9-86 years"	7
"9.4 months"	4
"9.5 months"	1
"91 days"	4
"< 10 weeks"	2
"< 11 years"	1
"< 12 hours"	12
"< 42 days"	4
"< 45 years"	10
"< 5 weeks"	2
"< 6 weeks"	1
"<16 hours"	4
"<18 hours"	4
"<24 hours"	1
"<3 years"	20
"<55 years"	4
"<70 years"	1
"> 14 weeks"	23
"> 18 years"	34
"> 2 months"	2
"> 20 weeks"	12
"> 24 weeks"	4
"> 3 years"	8
"> 50 years"	486
"> 6 months"	9
"> 6 weeks"	320
"> 8 weeks"	73
"> 8 wk."	4
"> 9 weeks"	2
">10 years"	2
">16 weeks"	66
">16 years"	18
">18 years"	92
">27 weeks"	2
">40 years"	11
">45 years"	6
">50 years"	20
">50 years-old"	460
">6 weeks"	4
">6 wk"	6
">8 weeks"	43
">9 years"	4
"Adult"	2366
"adult (>18 years)"	1
"Adult (avg. age = 30.8 years)"	5
"Adult (within 24 hours of parturition)"	2
"Adults"	1178
"Adults (15-44)"	1
"Adults (40 year-old average)"	35
"Adults (pregnant)"	24
"Adults and children"	29
"Adults and children (ages 4.5-10.5 and 15-44)"	5
"At birth"	23
"at least 7 weeks"	71
"at least 8 weeks"	8
"At least 8 weeks old"	6
"average 40.8 years"	24
"average 44.3 years"	66
"average 48 years"	720
"average age 29.8"	30
"average age 29.8 years"	31
"average age 35.1"	22
"average age = 19.2 years"	1
"Average age = 36.9 years"	45
"average age = 4.38 years"	2
"average age = 48 years"	7
"Average age = 59.4"	6
"Average age = 60.5 years"	51
"average age=32 years"	4
"average age=36.5 years"	4
"average of 30.2 years"	5
"Calf"	33
"Calves"	496
"Calves and cows"	3
"child"	58
"Children"	188
"Children (avg. age = 9.5 years)"	5
"Children (mean age 7.2 years)"	2
"Children and Adults"	6
"embryonic day 15"	1
"Fetal"	6
"five week old"	6
"Infant"	6
"juvenile"	5
"less than 24 hours"	8
"less than 30 years"	7
"mean 18.75 years"	14
"mean 29.7 years"	14
"mean 34.59 years"	9
"mean 39.7 years"	6
"mean 44 years"	202
"mean 54 years (range 19-68)"	1
"mean 55 years"	3
"mean 56 years"	169
"mean 58 years"	4
"mean = 32.17±13.32 years"	5
"mean = 73±8.53 years"	5
"mean age  40.1 years"	60
"mean age  48.2 years"	60
"Mean age 10.6 years"	24
"mean age 22.8 years"	4
"mean age 26.5 years"	154
"mean age 30 +/- 7 years"	7
"mean age 30 years"	44
"mean age 31 years"	6
"mean age 34.4 years"	5
"mean age 34.6 years"	1
"mean age 35 +/- 11 years"	7
"mean age 39 years"	1
"mean age 40 years"	1
"mean age 46 years"	75
"mean age 46.5 years"	31
"mean age 50.7 years"	1
"mean age 54 years"	6
"Mean age 65 years"	4
"mean age = 27 years"	10
"mean age = 30 years"	20
"Mean age = 30.7 years"	44
"mean age = 34.8 years"	2
"mean age = 45.2 years"	1
"mean age = 49.2 years"	8
"mean age = 58 years"	2
"Mean age = 68 years"	24
"Mean age of 32.2 years with a range from 18 to 49 years"	228
"mean age of 49 years"	3
"mean age of 57 years"	3
"mean of 12.2 years"	4
"mean of 37.0 years"	22
"Mean: 29 years"	853
"Mean: 30 years"	853
"Mean=28.5 ± 15.0"	65
"median 41.7 years"	2
"median 58 years"	5
"median 66.5 years"	4
"Median age 11.3 years"	3
"median age 28 years"	2
"Median age 5.5 years"	3
"Median age 6.3 years"	3
"median age = 27 years"	14
"neonatal"	34
"neonate"	11
"Neonate and adult"	1
"Neonates"	13
"Neonates (3 days)"	3
"Neonates (3 or 7 days)"	1
"newborn"	95
"Newborns"	234
"Not available"	7
"older than 8 weeks"	6
"over 12 weeks"	11
"over 18 years old"	10
"over 5 weeks"	2
"Pediatric"	152
"prenatal"	3
"six to eight weeks old"	11
"Six week old"	16
"Sucking"	2
"under 16 weeks"	1
"within 12 hours of birth"	3
"Young"	213
"young adult"	50
"Young adults"	56
"~ 31 to 55 years"	43
"~ 33 to 55 years"	43
"≥ 18 years"	8
NULL	3429202
"0 years"	851
"1 year"	89060
"10 years"	419
100	1
101	2
"11 years"	21674
"12 to 51 years"	2164
"12 weeks"	6096
"12-43 years"	164
"16 years"	42
"19 to 83 years"	120324
"19-60 years"	43852
"2 weeks"	1
"2 years"	667
"2-3 months"	4
"21-57 years"	606
"22 years"	1
"22-49 years"	1230
"24 to 82 years"	5070
"24 years old"	3288
"25 to 87 years"	31715
"25-54 years"	2705
"25-73 years"	78
26	1
"26-41 years"	151
"30 years"	7929
"30-50 years-old"	2603
"31 years"	11509
"31-88 years old"	81
33	39009
"33 years"	112083
"35 years"	238
"35-76 years"	525
"35-87 years old"	456
"36 years"	93
37	30
"37 to 70 years"	606
"37-70 years"	181
"37-91 years old"	4370
38	2
"38 years"	4946
39	2
"39 years"	2
"4 days - 9 months"	460
40	2
"40 to 72 years"	267
"40 years"	1180
41	1
42	25670
43	1
"43 years"	2219
44	2
45	2
"45 years"	13494
46	1
47	2
48	2
"48 years"	9254
49	2
"5 months to 5 years"	279
"5 years"	1
"5-8 weeks"	1436
50	183
"50 years"	2
51	2
"51 years"	425
"51 years old"	6462
52	2
"52 years"	124
53	1
"53 years"	54066
54	1
"54 years"	3531
55	3
"55-74"	1
"55-85 years"	2
56	2
"56 years"	1319
57	6
"57 years"	2
58	1
"58 years"	47545
59	2
"59 years"	1874
"6 months to 15 years"	705
"6 months to 5 years"	1
"6 to 10 weeks"	1
"6 to 8 weeks"	147
"6 weeks"	23
"6 years"	2190
"6-12 weeks"	40
"6-8 weeks"	4538
60	4
"60 years"	3237
"60 years old"	2510
"60-64 years"	40
61	1
"61 years"	1631
63	14
"63 years"	23
64	2
"64 years old"	3561
65	2
"65 years"	3800
66	2
"66 years"	1
67	66504
"67 years"	6403
68	2
"69 years"	13622
"7 months"	1
"7 years"	1
"7-11 weeks"	129
"7-8 weeks"	3294
"7-9 weeks old"	416
70	1
71	2
72	1
73	1
"73 years"	5
74	1
"74 years"	7
75	1
"75 years"	2807
76	1
77	1
78	2
79	1
"8 to 10 weeks"	3942
"8 weeks"	1
"8 years"	1660
"8-10 weeks"	43
"8-10 weeks old"	346
"8-12 weeks"	509
"8-20 weeks"	2031
80	1
"80 years old"	7850
81	1
"81 years"	1
82	1
"82 years"	6048
83	1
84	1
85	1
86	2
87	2
88	1
89	2
"9-52 years"	13
90	2
91	2
92	2
93	1
94	2
95	2
96	2
97	2
98	1
99	1
"> 50 years"	585
"adult"	6590
"Fetus"	8069
"middle-aged"	14
"neonatal"	242
"old"	40186
"pediatric"	3
"young and old"	40186
