h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	char_valid?_h_age	char_normalization_score_h_age	word_normalized_h_age	word_normalized	word_valid?_h_age	word_normalization_score_h_age	phrase_normalized_h_age	phrase_normalized	phrase_valid?_h_age	phrase_normalization_score_h_age	overall_normalization_score_h_age	curator_review
18-75 years (mean 39.1)	9606	Homo sapiens (human)	2472	18-75 years (mean 39.1)	N	pass	0	18-75 year (mean 39.1)	Y	pass	1	18-75 year (mean 39.1)	N	fail	0	1	
18-75 years (mean 46)	9606	Homo sapiens (human)	2473	18-75 years (mean 46)	N	pass	0	18-75 year (mean 46)	Y	pass	1	18-75 year (mean 46)	N	fail	0	1	
mean age 22.8 years	9606	Homo sapiens (human)	2481	mean age 22.8 years	N	pass	0	mean age 22.8 year	Y	pass	1	mean age 22.8 year	N	fail	0	1	
at least 8 weeks	10000067	Mus musculus C57BL/6	2486	at least 8 weeks	N	pass	0	at least 8 week	Y	pass	1	at least 8 week	N	fail	0	1	
39-43	9606	Homo sapiens (human)	2494	39-43	N	pass	0	39-43	N	pass	0	39-43	N	fail	0	0	
29-63	9606	Homo sapiens (human)	2533	29-63	N	pass	0	29-63	N	pass	0	29-63	N	fail	0	0	
18-45	9606	Homo sapiens (human)	2550	18-45	N	pass	0	18-45	N	pass	0	18-45	N	fail	0	0	
19-61	9606	Homo sapiens (human)	2551	19-61	N	pass	0	19-61	N	pass	0	19-61	N	fail	0	0	
24-67	9606	Homo sapiens (human)	2566	24-67	N	pass	0	24-67	N	pass	0	24-67	N	fail	0	0	
33-87	9606	Homo sapiens (human)	2605	33-87	N	pass	0	33-87	N	pass	0	33-87	N	fail	0	0	
23-67	9606	Homo sapiens (human)	2615	23-67	N	pass	0	23-67	N	pass	0	23-67	N	fail	0	0	
6-15	9606	Homo sapiens (human)	2620	6-15	N	pass	0	6-15	N	pass	0	6-15	N	fail	0	0	
18-22 months or 4-6 months	10000067	Mus musculus C57BL/6	2622	18-22 months or 4-6 months	N	pass	0	18-22 month or 4-6 month	Y	pass	2	18-22 month or 4-6 month	N	fail	0	2	
8 days or 4-6 months	10000067	Mus musculus C57BL/6	2625	8 days or 4-6 months	N	pass	0	8 day or 4-6 month	Y	fail	2	8 day or 4-6 month	N	fail	0	2	
20-58	9606	Homo sapiens (human)	2632	20-58	N	pass	0	20-58	N	pass	0	20-58	N	fail	0	0	
26-39	9606	Homo sapiens (human)	2656	26-39	N	pass	0	26-39	N	pass	0	26-39	N	fail	0	0	
Mean age 10.6 years	9606	Homo sapiens (human)	2665	mean age 10.6 years	Y	pass	1	mean age 10.6 year	Y	pass	1	mean age 10.6 year	N	fail	0	2	
25-45	9606	Homo sapiens (human)	2670	25-45	N	pass	0	25-45	N	pass	0	25-45	N	fail	0	0	
mean age 39 years	9606	Homo sapiens (human)	2687	mean age 39 years	N	pass	0	mean age 39 year	Y	pass	1	mean age 39 year	N	fail	0	1	
8-10	10000662	Rattus norvegicus Lewis	2715	8-10	N	pass	0	8-10	N	pass	0	8-10	N	fail	0	0	
Average age = 60.5 years	9606	Homo sapiens (human)	2736	average age = 60.5 years	Y	pass	1	average age = 60.5 year	Y	pass	1	average age = 60.5 year	N	fail	0	2	
Average age = 36.9 years	9606	Homo sapiens (human)	2744	average age = 36.9 years	Y	pass	1	average age = 36.9 year	Y	pass	1	average age = 36.9 year	N	fail	0	2	
2 to 62	9606	Homo sapiens (human)	2776	2 to 62	N	pass	0	2 to 62	N	pass	0	2-62	Y	fail	4	4	
6 to 7 days or 8 to 12 weeks	10000216	Mus musculus C57BL/6 X BALB/c	2779	6 to 7 days or 8 to 12 weeks	N	pass	0	6 to 7 day or 8 to 12 week	Y	fail	2	6-7 day or 8-12 week	Y	fail	8	10	
mean age 30 +/- 7 years	9606	Homo sapiens (human)	2780	mean age 30 +/- 7 years	N	pass	0	mean age 30 +/- 7 year	Y	pass	1	mean age 30 +/- 7 year	N	fail	0	1	
56.6 ± 19.3 years	9606	Homo sapiens (human)	2781	56.6 +/- 19.3 years	Y	pass	3	56.6 +/- 19.3 year	Y	pass	1	56.6 +/- 19.3 year	N	fail	0	4	
average age = 54.7 years	9606	Homo sapiens (human)	2789	average age = 54.7 years	N	pass	0	average age = 54.7 year	Y	pass	1	average age = 54.7 year	N	fail	0	1	
Average age = 59.4	9606	Homo sapiens (human)	2816	average age = 59.4	Y	pass	1	average age = 59.4	N	pass	0	average age = 59.4	N	fail	0	1	
mean age  48.2 years	9606	Homo sapiens (human)	2830	mean age 48.2 years	Y	pass	1	mean age 48.2 year	Y	pass	1	mean age 48.2 year	N	fail	0	2	
mean age  40.1 years	9606	Homo sapiens (human)	2831	mean age 40.1 years	Y	pass	1	mean age 40.1 year	Y	pass	1	mean age 40.1 year	N	fail	0	2	
19-62	9606	Homo sapiens (human)	2865	19-62	N	pass	0	19-62	N	pass	0	19-62	N	fail	0	0	
37 ± 12 years	9606	Homo sapiens (human)	2870	37 +/- 12 years	Y	pass	3	37 +/- 12 year	Y	pass	1	37 +/- 12 year	N	fail	0	4	
36 ± 13 years	9606	Homo sapiens (human)	2871	36 +/- 13 years	Y	pass	3	36 +/- 13 year	Y	pass	1	36 +/- 13 year	N	fail	0	4	
6- to 7- months	10001407	Mus musculus SNF1	2915	6- to 7- months	N	pass	0	6- to 7- month	Y	pass	1	6-7- month	Y	fail	4	5	
37	9606	Homo sapiens (human)	2922	37	N	pass	0	37	N	pass	0	37	N	fail	0	0	
26.7 +/- 1.0 years	9606	Homo sapiens (human)	2950	26.7 +/- 1.0 years	N	pass	0	26.7 +/- 1.0 year	Y	pass	1	26.7 +/- 1.0 year	N	fail	0	1	
mean = 32.17±13.32 years	9606	Homo sapiens (human)	2997	mean = 32.17+/-13.32 years	Y	pass	3	mean = 32.17+/-13.32 year	Y	pass	1	mean = 32.17 +/- 13.32 year	Y	fail	2	6	
mean = 73±8.53 years	9606	Homo sapiens (human)	2998	mean = 73+/-8.53 years	Y	pass	3	mean = 73+/-8.53 year	Y	pass	1	mean = 73 +/- 8.53 year	Y	fail	2	6	
38.1 ± 14.8 years	9606	Homo sapiens (human)	3009	38.1 +/- 14.8 years	Y	pass	3	38.1 +/- 14.8 year	Y	pass	1	38.1 +/- 14.8 year	N	fail	0	4	
42.8±11.9 years	9606	Homo sapiens (human)	3040	42.8+/-11.9 years	Y	pass	3	42.8+/-11.9 year	Y	pass	1	42.8 +/- 11.9 year	Y	fail	2	6	
48.1±12.7 years	9606	Homo sapiens (human)	3044	48.1+/-12.7 years	Y	pass	3	48.1+/-12.7 year	Y	pass	1	48.1 +/- 12.7 year	Y	fail	2	6	
mean age = 13.8 years	9606	Homo sapiens (human)	3073	mean age = 13.8 years	N	pass	0	mean age = 13.8 year	Y	pass	1	mean age = 13.8 year	N	fail	0	1	
mean age = 34.8 years	9606	Homo sapiens (human)	3075	mean age = 34.8 years	N	pass	0	mean age = 34.8 year	Y	pass	1	mean age = 34.8 year	N	fail	0	1	
7	10000632	Mus musculus NOD	3090	7	N	pass	0	7	N	pass	0	7	N	fail	0	0	
mean age = 37.7 years	9606	Homo sapiens (human)	3095	mean age = 37.7 years	N	pass	0	mean age = 37.7 year	Y	pass	1	mean age = 37.7 year	N	fail	0	1	
56-85	9606	Homo sapiens (human)	3099	56-85	N	pass	0	56-85	N	pass	0	56-85	N	fail	0	0	
63	9606	Homo sapiens (human)	3101	63	N	pass	0	63	N	pass	0	63	N	fail	0	0	
26-64	9606	Homo sapiens (human)	3175	26-64	N	pass	0	26-64	N	pass	0	26-64	N	fail	0	0	
31-54	9606	Homo sapiens (human)	3178	31-54	N	pass	0	31-54	N	pass	0	31-54	N	fail	0	0	
6 months to 14 years	9606	Homo sapiens (human)	3197	6 months to 14 years	N	pass	0	6 month to 14 year	Y	fail	2	6 month to 14 year	N	fail	0	2	
mean of 12.2 years	9606	Homo sapiens (human)	3216	mean of 12.2 years	N	pass	0	mean of 12.2 year	Y	pass	1	mean of 12.2 year	N	fail	0	1	
mean of 37.0 years	9606	Homo sapiens (human)	3217	mean of 37.0 years	N	pass	0	mean of 37.0 year	Y	pass	1	mean of 37.0 year	N	fail	0	1	
6 to 8 weeks or 20 to 22 months	10000067	Mus musculus C57BL/6	3230	6 to 8 weeks or 20 to 22 months	N	pass	0	6 to 8 week or 20 to 22 month	Y	fail	2	6-8 week or 20-22 month	Y	fail	8	10	
33-63	9606	Homo sapiens (human)	3245	33-63	N	pass	0	33-63	N	pass	0	33-63	N	fail	0	0	
18-49	9606	Homo sapiens (human)	3246	18-49	N	pass	0	18-49	N	pass	0	18-49	N	fail	0	0	
25-54	9606	Homo sapiens (human)	3247	25-54	N	pass	0	25-54	N	pass	0	25-54	N	fail	0	0	
26-57	9606	Homo sapiens (human)	3251	26-57	N	pass	0	26-57	N	pass	0	26-57	N	fail	0	0	
34-35	9606	Homo sapiens (human)	3256	34-35	N	pass	0	34-35	N	pass	0	34-35	N	fail	0	0	
34-64	9606	Homo sapiens (human)	3258	34-64	N	pass	0	34-64	N	pass	0	34-64	N	fail	0	0	
32-35	9606	Homo sapiens (human)	3259	32-35	N	pass	0	32-35	N	pass	0	32-35	N	fail	0	0	
35-64	9606	Homo sapiens (human)	3260	35-64	N	pass	0	35-64	N	pass	0	35-64	N	fail	0	0	
61	9606	Homo sapiens (human)	3261	61	N	pass	0	61	N	pass	0	61	N	fail	0	0	
mean age of 49 years	9606	Homo sapiens (human)	3262	mean age of 49 years	N	pass	0	mean age of 49 year	Y	pass	1	mean age of 49 year	N	fail	0	1	
mean age of 57 years	9606	Homo sapiens (human)	3263	mean age of 57 years	N	pass	0	mean age of 57 year	Y	pass	1	mean age of 57 year	N	fail	0	1	
15-90	9606	Homo sapiens (human)	3264	15-90	N	pass	0	15-90	N	pass	0	15-90	N	fail	0	0	
54-74	9606	Homo sapiens (human)	3273	54-74	N	pass	0	54-74	N	pass	0	54-74	N	fail	0	0	
7 days or 8-10 weeks	10000216	Mus musculus C57BL/6 X BALB/c	3276	7 days or 8-10 weeks	N	pass	0	7 day or 8-10 week	Y	fail	2	7 day or 8-10 week	N	fail	0	2	
Adult (6 weeks)	10000669	Cavia porcellus Hartley	3283	adult (6 weeks)	Y	pass	1	adult (6 weeks)	N	pass	0	adult (6 weeks)	N	fail	0	1	
58-75	9606	Homo sapiens (human)	3308	58-75	N	pass	0	58-75	N	pass	0	58-75	N	fail	0	0	
56-63	9606	Homo sapiens (human)	3309	56-63	N	pass	0	56-63	N	pass	0	56-63	N	fail	0	0	
7-30	9606	Homo sapiens (human)	3326	7-30	N	pass	0	7-30	N	pass	0	7-30	N	fail	0	0	
average 44.3 years	9606	Homo sapiens (human)	3332	average 44.3 years	N	pass	0	average 44.3 year	Y	pass	1	average 44.3 year	N	fail	0	1	
average 40.8 years	9606	Homo sapiens (human)	3335	average 40.8 years	N	pass	0	average 40.8 year	Y	pass	1	average 40.8 year	N	fail	0	1	
21-79	9606	Homo sapiens (human)	3355	21-79	N	pass	0	21-79	N	pass	0	21-79	N	fail	0	0	
21-37	9606	Homo sapiens (human)	3356	21-37	N	pass	0	21-37	N	pass	0	21-37	N	fail	0	0	
29 years ± 6.5	9606	Homo sapiens (human)	3372	29 years +/- 6.5	Y	pass	3	29 year +/- 6.5	Y	pass	1	29 year +/- 6.5	N	fail	0	4	
17 to 24	9606	Homo sapiens (human)	3382	17 to 24	N	pass	0	17 to 24	N	pass	0	17-24	Y	fail	4	4	
30 years or younger	9606	Homo sapiens (human)	3386	30 years or younger	N	pass	0	30 year or younger	Y	pass	1	30 year or younger	N	fail	0	1	
32-66 years (mean = 50.3 year)	9606	Homo sapiens (human)	3394	32-66 years (mean = 50.3 year)	N	pass	0	32-66 year (mean = 50.3 year)	Y	pass	1	32-66 year (mean = 50.3 year)	N	fail	0	1	
8 to 10 weeks or 21 months	10000067	Mus musculus C57BL/6	3397	8 to 10 weeks or 21 months	N	pass	0	8 to 10 week or 21 month	Y	fail	2	8-10 week or 21 month	Y	fail	4	6	
mean age = 45.2 years	9606	Homo sapiens (human)	3408	mean age = 45.2 years	N	pass	0	mean age = 45.2 year	Y	pass	1	mean age = 45.2 year	N	fail	0	1	
6 weeks to 22 months	10000067	Mus musculus C57BL/6	3412	6 weeks to 22 months	N	pass	0	6 week to 22 month	Y	fail	2	6 week to 22 month	N	fail	0	2	
2-3 months and 18-22 months	10000067	Mus musculus C57BL/6	3420	2-3 months and 18-22 months	N	pass	0	2-3 month and 18-22 month	Y	pass	2	2-3 month and 18-22 month	N	fail	0	2	
4 days to 5 weeks	10000067	Mus musculus C57BL/6	3433	4 days to 5 weeks	N	pass	0	4 day to 5 week	Y	fail	2	4 day to 5 week	N	fail	0	2	
2-3 months or 18-20 months	10001383	Mus musculus Clone 4 TCR Tg	3457	2-3 months or 18-20 months	N	pass	0	2-3 month or 18-20 month	Y	pass	2	2-3 month or 18-20 month	N	fail	0	2	
6 weeks to 22 months	10000287	Mus musculus P14 TCR Tg	3472	6 weeks to 22 months	N	pass	0	6 week to 22 month	Y	fail	2	6 week to 22 month	N	fail	0	2	
6 to 8 weeks or > 18 months	10001438	Mus musculus BALB/cAnN	3498	6 to 8 weeks or > 18 months	N	pass	0	6 to 8 week or > 18 month	Y	fail	2	6-8 week or >18 month	Y	fail	5	7	
mean age = 58 years	9606	Homo sapiens (human)	3501	mean age = 58 years	N	pass	0	mean age = 58 year	Y	pass	1	mean age = 58 year	N	fail	0	1	
39.8 +/- 10.6 years	9606	Homo sapiens (human)	3523	39.8 +/- 10.6 years	N	pass	0	39.8 +/- 10.6 year	Y	pass	1	39.8 +/- 10.6 year	N	fail	0	1	
24-52	9606	Homo sapiens (human)	3549	24-52	N	pass	0	24-52	N	pass	0	24-52	N	fail	0	0	
19-30	9606	Homo sapiens (human)	3550	19-30	N	pass	0	19-30	N	pass	0	19-30	N	fail	0	0	
26-58	9606	Homo sapiens (human)	3551	26-58	N	pass	0	26-58	N	pass	0	26-58	N	fail	0	0	
57	9606	Homo sapiens (human)	3552	57	N	pass	0	57	N	pass	0	57	N	fail	0	0	
24-46	9606	Homo sapiens (human)	3554	24-46	N	pass	0	24-46	N	pass	0	24-46	N	fail	0	0	
18 to 35, or 65 to 95 years.	9606	Homo sapiens (human)	3557	18 to 35, or 65 to 95 years.	N	pass	0	18 to 35, or 65 to 95 year.	Y	pass	1	18-35, or 65-95 year	Y	fail	9	10	
6 to 8 weeks or 18 to 24 months	10000000	Mus musculus BALB/c	3560	6 to 8 weeks or 18 to 24 months	N	pass	0	6 to 8 week or 18 to 24 month	Y	fail	2	6-8 week or 18-24 month	Y	fail	8	10	
at least 7 weeks	10000576	Mus musculus HLA-A*02:01 Tg	3586	at least 7 weeks	N	pass	0	at least 7 week	Y	pass	1	at least 7 week	N	fail	0	1	
at least 7 weeks	10000615	Mus musculus HLA-DRB1*01:01 Tg	3587	at least 7 weeks	N	pass	0	at least 7 week	Y	pass	1	at least 7 week	N	fail	0	1	
6 motnhs to 15 years	9606	Homo sapiens (human)	3600	6 motnhs to 15 years	N	pass	0	6 month to 15 year	Y	fail	4	6 month to 15 year	N	fail	0	4	
70	9606	Homo sapiens (human)	3608	70	N	pass	0	70	N	pass	0	70	N	fail	0	0	
27 +/- 6 years	9606	Homo sapiens (human)	3617	27 +/- 6 years	N	pass	0	27 +/- 6 year	Y	pass	1	27 +/- 6 year	N	fail	0	1	
median age = 27 years	9606	Homo sapiens (human)	3618	median age = 27 years	N	pass	0	median age = 27 year	Y	pass	1	median age = 27 year	N	fail	0	1	
17 +/- 6 years	9606	Homo sapiens (human)	3626	17 +/- 6 years	N	pass	0	17 +/- 6 year	Y	pass	1	17 +/- 6 year	N	fail	0	1	
55.2 +/- 20.1 years	9606	Homo sapiens (human)	3629	55.2 +/- 20.1 years	N	pass	0	55.2 +/- 20.1 year	Y	pass	1	55.2 +/- 20.1 year	N	fail	0	1	
46.1 +/- 14.8 years	9606	Homo sapiens (human)	3631	46.1 +/- 14.8 years	N	pass	0	46.1 +/- 14.8 year	Y	pass	1	46.1 +/- 14.8 year	N	fail	0	1	
29-62	9606	Homo sapiens (human)	3640	29-62	N	pass	0	29-62	N	pass	0	29-62	N	fail	0	0	
64	9606	Homo sapiens (human)	3648	64	N	pass	0	64	N	pass	0	64	N	fail	0	0	
8-44	9606	Homo sapiens (human)	3654	8-44	N	pass	0	8-44	N	pass	0	8-44	N	fail	0	0	
2 years 8 months to 3 years 9 months	9544	Macaca mulatta (rhesus macaque)	3671	2 years 8 months to 3 years 9 months	N	pass	0	2 year 8 month to 3 year 9 month	Y	fail	4	2 year 8 month to 3 year 9 month	N	fail	0	4	
58.5 +/- 18.2 years	9606	Homo sapiens (human)	3673	58.5 +/- 18.2 years	N	pass	0	58.5 +/- 18.2 year	Y	pass	1	58.5 +/- 18.2 year	N	fail	0	1	
10 weeks or 23 weeks	10000067	Mus musculus C57BL/6	3777	10 weeks or 23 weeks	N	pass	0	10 week or 23 week	Y	pass	2	10 week or 23 week	N	fail	0	2	
8-10 weeks or 18-22 months	10000067	Mus musculus C57BL/6	3784	8-10 weeks or 18-22 months	N	pass	0	8-10 week or 18-22 month	Y	fail	2	8-10 week or 18-22 month	N	fail	0	2	
22-39	9606	Homo sapiens (human)	3792	22-39	N	pass	0	22-39	N	pass	0	22-39	N	fail	0	0	
embryonic day 15	10000067	Mus musculus C57BL/6	3797	embryonic day 15	N	pass	0	embryonic day 15	N	pass	0	embryonic day 15	N	fail	0	0	
18-40 years, 65 years and over.	9606	Homo sapiens (human)	3805	18-40 years, 65 years and over.	N	pass	0	18-40 year, 65 year and >.	Y	pass	6	18-40 year, 65 year and >	Y	fail	1	7	
1 day, 7-8 days or adult	10000067	Mus musculus C57BL/6	3821	1 day, 7-8 days or adult	N	pass	0	1 day, 7-8 day or adult	Y	pass	1	1 day, 7-8 day or adult	N	fail	0	1	
6 months to 18 years	9606	Homo sapiens (human)	3833	6 months to 18 years	N	pass	0	6 month to 18 year	Y	fail	2	6 month to 18 year	N	fail	0	2	
mean age 35 +/- 11 years	9606	Homo sapiens (human)	3847	mean age 35 +/- 11 years	N	pass	0	mean age 35 +/- 11 year	Y	pass	1	mean age 35 +/- 11 year	N	fail	0	1	
average age = 4.38 years	9606	Homo sapiens (human)	3860	average age = 4.38 years	N	pass	0	average age = 4.38 year	Y	pass	1	average age = 4.38 year	N	fail	0	1	
41 +/- 11 years	9606	Homo sapiens (human)	3868	41 +/- 11 years	N	pass	0	41 +/- 11 year	Y	pass	1	41 +/- 11 year	N	fail	0	1	
average age=36.5 years	9606	Homo sapiens (human)	3885	average age=36.5 years	N	pass	0	average age=36.5 year	Y	pass	1	average age=36.5 year	N	fail	0	1	
9 months to 81 years	9606	Homo sapiens (human)	3894	9 months to 81 years	N	pass	0	9 month to 81 year	Y	fail	2	9 month to 81 year	N	fail	0	2	
average age = 48 years	9606	Homo sapiens (human)	3895	average age = 48 years	N	pass	0	average age = 48 year	Y	pass	1	average age = 48 year	N	fail	0	1	
18+ years	9606	Homo sapiens (human)	3910	18+ years	N	pass	0	18+ year	Y	pass	1	18+ year	N	fail	0	1	
26.2 +/- 4.8 years	9606	Homo sapiens (human)	3916	26.2 +/- 4.8 years	N	pass	0	26.2 +/- 4.8 year	Y	pass	1	26.2 +/- 4.8 year	N	fail	0	1	
median 41.7 years	9606	Homo sapiens (human)	3919	median 41.7 years	N	pass	0	median 41.7 year	Y	pass	1	median 41.7 year	N	fail	0	1	
average age=32 years	9606	Homo sapiens (human)	3927	average age=32 years	N	pass	0	average age=32 year	Y	pass	1	average age=32 year	N	fail	0	1	
12 +/- 2 weeks	9913	Bos taurus (bovine)	3935	12 +/- 2 weeks	N	pass	0	12 +/- 2 week	Y	pass	1	12 +/- 2 week	N	fail	0	1	
6-8	10000582	Mus musculus HLA-A2 Tg	3949	6-8	N	pass	0	6-8	N	pass	0	6-8	N	fail	0	0	
≥ 18 years	9606	Homo sapiens (human)	3987	≥ 18 years	N	fail	0	≥ 18 year	Y	pass	1	≥ 18 year	N	fail	0	1	
58	9606	Homo sapiens (human)	3992	58	N	pass	0	58	N	pass	0	58	N	fail	0	0	
Neonates (3 or 7 days)	10000067	Mus musculus C57BL/6	4077	neonates (3 or 7 days)	Y	pass	1	neonate (3 or 7 days)	Y	pass	1	neonate (3 or 7 days)	N	fail	0	2	
Neonates (3 days)	10000067	Mus musculus C57BL/6	4083	neonates (3 days)	Y	pass	1	neonate (3 days)	Y	pass	1	neonate (3 days)	N	fail	0	2	
37-74	9606	Homo sapiens (human)	4097	37-74	N	pass	0	37-74	N	pass	0	37-74	N	fail	0	0	
6 yo 8 weeks	10000000	Mus musculus BALB/c	4107	6 yo 8 weeks	N	pass	0	6 yo 8 week	Y	pass	1	6 yo 8 week	N	fail	0	1	
6 yo 8 weeks	10000067	Mus musculus C57BL/6	4108	6 yo 8 weeks	N	pass	0	6 yo 8 week	Y	pass	1	6 yo 8 week	N	fail	0	1	
55	9606	Homo sapiens (human)	4126	55	N	pass	0	55	N	pass	0	55	N	fail	0	0	
22 to >60 years	9606	Homo sapiens (human)	4135	22 to >60 years	N	pass	0	22 to >60 year	Y	pass	1	22 to >60 year	N	fail	0	1	
12-16 weeks or 18-22 months	10000067	Mus musculus C57BL/6	4150	12-16 weeks or 18-22 months	N	pass	0	12-16 week or 18-22 month	Y	fail	2	12-16 week or 18-22 month	N	fail	0	2	
18 years or older	9606	Homo sapiens (human)	4165	18 years or older	N	pass	0	18 year or older	Y	pass	1	18 year or older	N	fail	0	1	
24	9606	Homo sapiens (human)	4181	24	N	pass	0	24	N	pass	0	24	N	fail	0	0	
24-75	9606	Homo sapiens (human)	4194	24-75	N	pass	0	24-75	N	pass	0	24-75	N	fail	0	0	
12 weeks - 22 months	10000067	Mus musculus C57BL/6	4197	12 weeks - 22 months	N	pass	0	12 week - 22 month	Y	fail	2	12 week - 22 month	N	fail	0	2	
19-45	9606	Homo sapiens (human)	4223	19-45	N	pass	0	19-45	N	pass	0	19-45	N	fail	0	0	
12 weeks to 20 months	10000067	Mus musculus C57BL/6	4225	12 weeks to 20 months	N	pass	0	12 week to 20 month	Y	fail	2	12 week to 20 month	N	fail	0	2	
6 weeks to 20 months	10000067	Mus musculus C57BL/6	4226	6 weeks to 20 months	N	pass	0	6 week to 20 month	Y	fail	2	6 week to 20 month	N	fail	0	2	
22-46	9606	Homo sapiens (human)	4249	22-46	N	pass	0	22-46	N	pass	0	22-46	N	fail	0	0	
29-83	9606	Homo sapiens (human)	4250	29-83	N	pass	0	29-83	N	pass	0	29-83	N	fail	0	0	
58.8 (average)	9606	Homo sapiens (human)	4252	58.8 (average)	N	pass	0	58.8 (average)	N	pass	0	58.8 (average)	N	fail	0	0	
10 weeks or older	10000632	Mus musculus NOD	4273	10 weeks or older	N	pass	0	10 week or older	Y	pass	1	10 week or older	N	fail	0	1	
14-56	9606	Homo sapiens (human)	4283	14-56	N	pass	0	14-56	N	pass	0	14-56	N	fail	0	0	
33	9606	Homo sapiens (human)	4293	33	N	pass	0	33	N	pass	0	33	N	fail	0	0	
mean 34.59 years	9606	Homo sapiens (human)	4304	mean 34.59 years	N	pass	0	mean 34.59 year	Y	pass	1	mean 34.59 year	N	fail	0	1	
6 ± 2 weeks	10000067	Mus musculus C57BL/6	4318	6 +/- 2 weeks	Y	pass	3	6 +/- 2 week	Y	pass	1	6 +/- 2 week	N	fail	0	4	
22.5-35.5	9606	Homo sapiens (human)	4347	22.5-35.5	N	pass	0	22.5-35.5	N	pass	0	22.5-35.5	N	fail	0	0	
62	9606	Homo sapiens (human)	4350	62	N	pass	0	62	N	pass	0	62	N	fail	0	0	
17-56	9606	Homo sapiens (human)	4369	17-56	N	pass	0	17-56	N	pass	0	17-56	N	fail	0	0	
24-55	9606	Homo sapiens (human)	4372	24-55	N	pass	0	24-55	N	pass	0	24-55	N	fail	0	0	
median 66.5 years	9606	Homo sapiens (human)	4401	median 66.5 years	N	pass	0	median 66.5 year	Y	pass	1	median 66.5 year	N	fail	0	1	
Mean age of 32.2 years with a range from 18 to 49 years	9606	Homo sapiens (human)	4408	mean age of 32.2 years with a range from 18 to 49 years	Y	pass	1	mean age of 32.2 year with a range from 18 to 49 year	Y	pass	2	mean age of 32.2 year with a range from 18-49 year	Y	fail	4	7	
41	9606	Homo sapiens (human)	4418	41	N	pass	0	41	N	pass	0	41	N	fail	0	0	
79	9606	Homo sapiens (human)	4419	79	N	pass	0	79	N	pass	0	79	N	fail	0	0	
53	9606	Homo sapiens (human)	4420	53	N	pass	0	53	N	pass	0	53	N	fail	0	0	
23	9606	Homo sapiens (human)	4435	23	N	pass	0	23	N	pass	0	23	N	fail	0	0	
58.8 ± 17.4	9606	Homo sapiens (human)	4439	58.8 +/- 17.4	Y	pass	3	58.8 +/- 17.4	N	pass	0	58.8 +/- 17.4	N	fail	0	3	
65	9606	Homo sapiens (human)	4445	65	N	pass	0	65	N	pass	0	65	N	fail	0	0	
3 months- 17 years	9606	Homo sapiens (human)	4452	3 months- 17 years	N	pass	0	3 month- 17 year	Y	fail	2	3 month- 17 year	N	fail	0	2	
21-26	9606	Homo sapiens (human)	4458	21-26	N	pass	0	21-26	N	pass	0	21-26	N	fail	0	0	
13-26	9606	Homo sapiens (human)	4472	13-26	N	pass	0	13-26	N	pass	0	13-26	N	fail	0	0	
13-17	9606	Homo sapiens (human)	4474	13-17	N	pass	0	13-17	N	pass	0	13-17	N	fail	0	0	
67	9606	Homo sapiens (human)	4489	67	N	pass	0	67	N	pass	0	67	N	fail	0	0	
52	9606	Homo sapiens (human)	4490	52	N	pass	0	52	N	pass	0	52	N	fail	0	0	
