h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	char_valid?_h_age	char_normalization_score_h_age	word_normalized_h_age	word_normalized	word_valid?_h_age	word_normalization_score_h_age	phrase_normalized_h_age	phrase_normalized	phrase_valid?_h_age	phrase_normalization_score_h_age	overall_normalization_score_h_age	curator_review
66	9606	Homo sapiens (human)	4491	66	N	pass	0	66	N	pass	0	66	N	fail	0	0	
71	9606	Homo sapiens (human)	4493	71	N	pass	0	71	N	pass	0	71	N	fail	0	0	
mean 55 years	9606	Homo sapiens (human)	4503	mean 55 years	N	pass	0	mean 55 year	Y	pass	1	mean 55 year	N	fail	0	1	
Mean age = 68 years	9606	Homo sapiens (human)	4512	mean age = 68 years	Y	pass	1	mean age = 68 year	Y	pass	1	mean age = 68 year	N	fail	0	2	
median 58 years	9606	Homo sapiens (human)	4519	median 58 years	N	pass	0	median 58 year	Y	pass	1	median 58 year	N	fail	0	1	
56	9606	Homo sapiens (human)	4527	56	N	pass	0	56	N	pass	0	56	N	fail	0	0	
1 day to 40 years	9606	Homo sapiens (human)	4528	1 day to 40 years	N	pass	0	1 day to 40 year	Y	fail	1	1 day to 40 year	N	fail	0	1	
72	9606	Homo sapiens (human)	4543	72	N	pass	0	72	N	pass	0	72	N	fail	0	0	
56 to 66	9606	Homo sapiens (human)	4556	56 to 66	N	pass	0	56 to 66	N	pass	0	56-66	Y	fail	4	4	
22-71	9606	Homo sapiens (human)	4557	22-71	N	pass	0	22-71	N	pass	0	22-71	N	fail	0	0	
56-66	9606	Homo sapiens (human)	4558	56-66	N	pass	0	56-66	N	pass	0	56-66	N	fail	0	0	
22	9606	Homo sapiens (human)	4561	22	N	pass	0	22	N	pass	0	22	N	fail	0	0	
74	9606	Homo sapiens (human)	4578	74	N	pass	0	74	N	pass	0	74	N	fail	0	0	
69	9606	Homo sapiens (human)	4582	69	N	pass	0	69	N	pass	0	69	N	fail	0	0	
69-70	9606	Homo sapiens (human)	4583	69-70	N	pass	0	69-70	N	pass	0	69-70	N	fail	0	0	
56-69	9606	Homo sapiens (human)	4584	56-69	N	pass	0	56-69	N	pass	0	56-69	N	fail	0	0	
70-71	9606	Homo sapiens (human)	4586	70-71	N	pass	0	70-71	N	pass	0	70-71	N	fail	0	0	
50–81	9606	Homo sapiens (human)	4599	50-81	Y	pass	1	50-81	N	pass	0	50-81	N	fail	0	1	
54–77	9606	Homo sapiens (human)	4634	54-77	Y	pass	1	54-77	N	pass	0	54-77	N	fail	0	1	
60-74	9606	Homo sapiens (human)	4642	60-74	N	pass	0	60-74	N	pass	0	60-74	N	fail	0	0	
66-73	9606	Homo sapiens (human)	4644	66-73	N	pass	0	66-73	N	pass	0	66-73	N	fail	0	0	
60+ years	9606	Homo sapiens (human)	4659	60+ years	N	pass	0	60+ year	Y	pass	1	60+ year	N	fail	0	1	
7 months to 44 years	9606	Homo sapiens (human)	4667	7 months to 44 years	N	pass	0	7 month to 44 year	Y	fail	2	7 month to 44 year	N	fail	0	2	
mean 58 years	9606	Homo sapiens (human)	4714	mean 58 years	N	pass	0	mean 58 year	Y	pass	1	mean 58 year	N	fail	0	1	
mean 39.7 years	9606	Homo sapiens (human)	4721	mean 39.7 years	N	pass	0	mean 39.7 year	Y	pass	1	mean 39.7 year	N	fail	0	1	
68	9606	Homo sapiens (human)	4728	68	N	pass	0	68	N	pass	0	68	N	fail	0	0	
8.4	9606	Homo sapiens (human)	4743	8.4	N	pass	0	8.4	N	pass	0	8.4	N	fail	0	0	
mean 29.7 years	9606	Homo sapiens (human)	4748	mean 29.7 years	N	pass	0	mean 29.7 year	Y	pass	1	mean 29.7 year	N	fail	0	1	
mean 18.75 years	9606	Homo sapiens (human)	4754	mean 18.75 years	N	pass	0	mean 18.75 year	Y	pass	1	mean 18.75 year	N	fail	0	1	
83-86	9606	Homo sapiens (human)	4767	83-86	N	pass	0	83-86	N	pass	0	83-86	N	fail	0	0	
4-18+ years	9606	Homo sapiens (human)	4772	4-18+ years	N	pass	0	4-18+ year	Y	pass	1	4-18+ year	N	fail	0	1	
83	9606	Homo sapiens (human)	4774	83	N	pass	0	83	N	pass	0	83	N	fail	0	0	
55 years (mean)	9606	Homo sapiens (human)	4776	55 years (mean)	N	pass	0	55 year (mean)	Y	pass	1	55 year (mean)	N	fail	0	1	
mean 56 years	9606	Homo sapiens (human)	4797	mean 56 years	N	pass	0	mean 56 year	Y	pass	1	mean 56 year	N	fail	0	1	
average age 54	9606	Homo sapiens (human)	4831	average age 54	N	pass	0	average age 54	N	pass	0	average age 54	N	fail	0	0	
16-Feb	9606	Homo sapiens (human)	4832	16-feb	Y	pass	1	16-feb	N	pass	0	16-feb	N	fail	0	1	
14 and younger	9606	Homo sapiens (human)	4839	14 and younger	N	pass	0	14 and younger	N	pass	0	14 and younger	N	fail	0	0	
2-day to 6-week old	10000000	Mus musculus BALB/c	4870	2-day to 6-week old	N	pass	0	2-day to 6-week old	N	fail	0	2 day to 6 week	Y	fail	6	6	
6-24 mo of age	9606	Homo sapiens (human)	4876	6-24 mo of age	N	pass	0	6-24 month of age	Y	pass	3	6-24 month of age	N	fail	0	3	
56.3 +/- 12.8 years	9606	Homo sapiens (human)	4894	56.3 +/- 12.8 years	N	pass	0	56.3 +/- 12.8 year	Y	pass	1	56.3 +/- 12.8 year	N	fail	0	1	
2 to >20 years	9606	Homo sapiens (human)	4901	2 to >20 years	N	pass	0	2 to >20 year	Y	pass	1	2 to >20 year	N	fail	0	1	
15-72	9606	Homo sapiens (human)	4909	15-72	N	pass	0	15-72	N	pass	0	15-72	N	fail	0	0	
14-57	9606	Homo sapiens (human)	4937	14-57	N	pass	0	14-57	N	pass	0	14-57	N	fail	0	0	
3 months to 7 years	9606	Homo sapiens (human)	4965	3 months to 7 years	N	pass	0	3 month to 7 year	Y	fail	2	3 month to 7 year	N	fail	0	2	
up to 12 weeks old	10000047	Mus musculus C57BL/10	4971	up to 12 weeks old	N	pass	0	up to 12 week old	Y	pass	1	up to 12 week	Y	fail	4	5	
36-55	9606	Homo sapiens (human)	4972	36-55	N	pass	0	36-55	N	pass	0	36-55	N	fail	0	0	
Younger than 35 years	9606	Homo sapiens (human)	4975	younger than 35 years	Y	pass	1	younger than 35 year	Y	pass	1	younger than 35 year	N	fail	0	2	
Children <5 years old	9606	Homo sapiens (human)	4994	children <5 years old	Y	pass	1	child <5 year old	Y	pass	4	child <5 year	Y	fail	4	9	
8 weeks or 12 months	10000000	Mus musculus BALB/c	5011	8 weeks or 12 months	N	pass	0	8 week or 12 month	Y	fail	2	8 week or 12 month	N	fail	0	2	
16 weeks-40 years	9606	Homo sapiens (human)	5040	16 weeks-40 years	N	pass	0	16 week-40 year	Y	fail	2	16 week-40 year	N	fail	0	2	
35.5 +/- 12.8 years	9606	Homo sapiens (human)	5091	35.5 +/- 12.8 years	N	pass	0	35.5 +/- 12.8 year	Y	pass	1	35.5 +/- 12.8 year	N	fail	0	1	
37 average	9606	Homo sapiens (human)	5098	37 average	N	pass	0	37 average	N	pass	0	37 average	N	fail	0	0	
up to 12 weeks old	10000263	Mus musculus B10.BR	5125	up to 12 weeks old	N	pass	0	up to 12 week old	Y	pass	1	up to 12 week	Y	fail	4	5	
up to 12 weeks old	10090	Mus musculus (mouse)	5130	up to 12 weeks old	N	pass	0	up to 12 week old	Y	pass	1	up to 12 week	Y	fail	4	5	
2 months to 14 years	9606	Homo sapiens (human)	5146	2 months to 14 years	N	pass	0	2 month to 14 year	Y	fail	2	2 month to 14 year	N	fail	0	2	
25-30 grams	10000000	Mus musculus BALB/c	5171	25-30 grams	N	pass	0	25-30 grams	N	pass	0	25-30 grams	N	fail	0	0	
23-80	9606	Homo sapiens (human)	5189	23-80	N	pass	0	23-80	N	pass	0	23-80	N	fail	0	0	
Adult (pregnant)	9606	Homo sapiens (human)	5205	adult (pregnant)	Y	pass	1	adult (pregnant)	N	pass	0	adult (pregnant)	N	fail	0	1	
6 months to 3 years	9606	Homo sapiens (human)	5220	6 months to 3 years	N	pass	0	6 month to 3 year	Y	fail	2	6 month to 3 year	N	fail	0	2	
birth - 5 years	9606	Homo sapiens (human)	5230	birth - 5 years	N	pass	0	birth - 5 year	Y	pass	1	birth - 5 year	N	fail	0	1	
Neonates (infected mothers or PM)	9606	Homo sapiens (human)	5235	neonates (infected mothers or pm)	Y	pass	3	neonate (infected mother or pm)	Y	pass	2	neonate (infected mother or pm)	N	fail	0	5	
18-21	9606	Homo sapiens (human)	5249	18-21	N	pass	0	18-21	N	pass	0	18-21	N	fail	0	0	
32-70	9606	Homo sapiens (human)	5259	32-70	N	pass	0	32-70	N	pass	0	32-70	N	fail	0	0	
Adult (18-49)	9606	Homo sapiens (human)	5267	adult (18-49)	Y	pass	1	adult (18-49)	N	pass	0	adult (18-49)	N	fail	0	1	
20-25 g	10000000	Mus musculus BALB/c	5272	20-25 g	N	pass	0	20-25 g	N	pass	0	20-25 g	N	fail	0	0	
mean = 45 years	9606	Homo sapiens (human)	5312	mean = 45 years	N	pass	0	mean = 45 year	Y	pass	1	mean = 45 year	N	fail	0	1	
39 +/- 2.4 years	9606	Homo sapiens (human)	5324	39 +/- 2.4 years	N	pass	0	39 +/- 2.4 year	Y	pass	1	39 +/- 2.4 year	N	fail	0	1	
Child (5-11)	9606	Homo sapiens (human)	5326	child (5-11)	Y	pass	1	child (5-11)	N	pass	0	child (5-11)	N	fail	0	1	
6 months to 53 years	9606	Homo sapiens (human)	5328	6 months to 53 years	N	pass	0	6 month to 53 year	Y	fail	2	6 month to 53 year	N	fail	0	2	
Average age of 37 years	9606	Homo sapiens (human)	5329	average age of 37 years	Y	pass	1	average age of 37 year	Y	pass	1	average age of 37 year	N	fail	0	2	
15-71	9606	Homo sapiens (human)	5343	15-71	N	pass	0	15-71	N	pass	0	15-71	N	fail	0	0	
40.0±13.7 years	9606	Homo sapiens (human)	5373	40.0+/-13.7 years	Y	pass	3	40.0+/-13.7 year	Y	pass	1	40.0 +/- 13.7 year	Y	fail	2	6	
14.4±3.8  years	9606	Homo sapiens (human)	5374	14.4+/-3.8 years	Y	pass	4	14.4+/-3.8 year	Y	pass	1	14.4 +/- 3.8 year	Y	fail	2	7	
39.88 ± 10.13	9606	Homo sapiens (human)	5380	39.88 +/- 10.13	Y	pass	3	39.88 +/- 10.13	N	pass	0	39.88 +/- 10.13	N	fail	0	3	
25 to 77	9606	Homo sapiens (human)	5382	25 to 77	N	pass	0	25 to 77	N	pass	0	25-77	Y	fail	4	4	
39.18 ± 6.77	9606	Homo sapiens (human)	5385	39.18 +/- 6.77	Y	pass	3	39.18 +/- 6.77	N	pass	0	39.18 +/- 6.77	N	fail	0	3	
27.4 ± 16.2 years	9606	Homo sapiens (human)	5400	27.4 +/- 16.2 years	Y	pass	3	27.4 +/- 16.2 year	Y	pass	1	27.4 +/- 16.2 year	N	fail	0	4	
77	9606	Homo sapiens (human)	5413	77	N	pass	0	77	N	pass	0	77	N	fail	0	0	
8 mo to 35 years	9606	Homo sapiens (human)	5429	8 mo to 35 years	N	pass	0	8 month to 35 year	Y	fail	4	8 month to 35 year	N	fail	0	4	
7 months to 14 years	9606	Homo sapiens (human)	5433	7 months to 14 years	N	pass	0	7 month to 14 year	Y	fail	2	7 month to 14 year	N	fail	0	2	
14 +/- 3 years	10000195	Capra hircus Saanen	5454	14 +/- 3 years	N	pass	0	14 +/- 3 year	Y	pass	1	14 +/- 3 year	N	fail	0	1	
>/= 18 years	9606	Homo sapiens (human)	5456	>/= 18 years	N	pass	0	>/= 18 year	Y	pass	1	>/= 18 year	N	fail	0	1	
62.8 ± 10 years	9606	Homo sapiens (human)	5460	62.8 +/- 10 years	Y	pass	3	62.8 +/- 10 year	Y	pass	1	62.8 +/- 10 year	N	fail	0	4	
2 months-12 years	9606	Homo sapiens (human)	5461	2 months-12 years	N	pass	0	2 month-12 year	Y	fail	2	2 month-12 year	N	fail	0	2	
mean = 34 years	9606	Homo sapiens (human)	5465	mean = 34 years	N	pass	0	mean = 34 year	Y	pass	1	mean = 34 year	N	fail	0	1	
69 ± 15 years	9606	Homo sapiens (human)	5472	69 +/- 15 years	Y	pass	3	69 +/- 15 year	Y	pass	1	69 +/- 15 year	N	fail	0	4	
60 ± 15 years	9606	Homo sapiens (human)	5473	60 +/- 15 years	Y	pass	3	60 +/- 15 year	Y	pass	1	60 +/- 15 year	N	fail	0	4	
37 ± 14 years	9606	Homo sapiens (human)	5474	37 +/- 14 years	Y	pass	3	37 +/- 14 year	Y	pass	1	37 +/- 14 year	N	fail	0	4	
35 years mean age	9606	Homo sapiens (human)	5476	35 years mean age	N	pass	0	35 year mean age	Y	pass	1	35 year mean age	N	fail	0	1	
mean = 71.2 years	9606	Homo sapiens (human)	5478	mean = 71.2 years	N	pass	0	mean = 71.2 year	Y	pass	1	mean = 71.2 year	N	fail	0	1	
mean = 65.04 years	9606	Homo sapiens (human)	5481	mean = 65.04 years	N	pass	0	mean = 65.04 year	Y	pass	1	mean = 65.04 year	N	fail	0	1	
62 ± 12 years	9606	Homo sapiens (human)	5483	62 +/- 12 years	Y	pass	3	62 +/- 12 year	Y	pass	1	62 +/- 12 year	N	fail	0	4	
mean = 72.4 years	9606	Homo sapiens (human)	5485	mean = 72.4 years	N	pass	0	mean = 72.4 year	Y	pass	1	mean = 72.4 year	N	fail	0	1	
55 ± 12 years	9606	Homo sapiens (human)	5487	55 +/- 12 years	Y	pass	3	55 +/- 12 year	Y	pass	1	55 +/- 12 year	N	fail	0	4	
38.15 ± 6.5	9606	Homo sapiens (human)	5491	38.15 +/- 6.5	Y	pass	3	38.15 +/- 6.5	N	pass	0	38.15 +/- 6.5	N	fail	0	3	
14.4±3.8 years	9606	Homo sapiens (human)	5493	14.4+/-3.8 years	Y	pass	3	14.4+/-3.8 year	Y	pass	1	14.4 +/- 3.8 year	Y	fail	2	6	
22-41	9606	Homo sapiens (human)	5506	22-41	N	pass	0	22-41	N	pass	0	22-41	N	fail	0	0	
39 ± 15	9606	Homo sapiens (human)	5507	39 +/- 15	Y	pass	3	39 +/- 15	N	pass	0	39 +/- 15	N	fail	0	3	
Mean age = 41.7 ± 15.1 years	9606	Homo sapiens (human)	5512	mean age = 41.7 +/- 15.1 years	Y	pass	4	mean age = 41.7 +/- 15.1 year	Y	pass	1	mean age = 41.7 +/- 15.1 year	N	fail	0	5	
Mean age = 39.8 ± 13.3 years	9606	Homo sapiens (human)	5519	mean age = 39.8 +/- 13.3 years	Y	pass	4	mean age = 39.8 +/- 13.3 year	Y	pass	1	mean age = 39.8 +/- 13.3 year	N	fail	0	5	
33.7±4.6 years	9606	Homo sapiens (human)	5521	33.7+/-4.6 years	Y	pass	3	33.7+/-4.6 year	Y	pass	1	33.7 +/- 4.6 year	Y	fail	2	6	
42.3 ± 16.4 years	9606	Homo sapiens (human)	5527	42.3 +/- 16.4 years	Y	pass	3	42.3 +/- 16.4 year	Y	pass	1	42.3 +/- 16.4 year	N	fail	0	4	
33.4±6 years	9606	Homo sapiens (human)	5529	33.4+/-6 years	Y	pass	3	33.4+/-6 year	Y	pass	1	33.4 +/- 6 year	Y	fail	2	6	
6 months - 47 years	9606	Homo sapiens (human)	5530	6 months - 47 years	N	pass	0	6 month - 47 year	Y	fail	2	6 month - 47 year	N	fail	0	2	
35.5±8.1 years	9606	Homo sapiens (human)	5535	35.5+/-8.1 years	Y	pass	3	35.5+/-8.1 year	Y	pass	1	35.5 +/- 8.1 year	Y	fail	2	6	
mean age of 39.9 years	9606	Homo sapiens (human)	5551	mean age of 39.9 years	N	pass	0	mean age of 39.9 year	Y	pass	1	mean age of 39.9 year	N	fail	0	1	
8.5 +/- 3.3 years	9606	Homo sapiens (human)	5564	8.5 +/- 3.3 years	N	pass	0	8.5 +/- 3.3 year	Y	pass	1	8.5 +/- 3.3 year	N	fail	0	1	
mean age = 38.7 years	9606	Homo sapiens (human)	5565	mean age = 38.7 years	N	pass	0	mean age = 38.7 year	Y	pass	1	mean age = 38.7 year	N	fail	0	1	
mean age = 48.94 years	9606	Homo sapiens (human)	5567	mean age = 48.94 years	N	pass	0	mean age = 48.94 year	Y	pass	1	mean age = 48.94 year	N	fail	0	1	
18 +/- 11 years	9606	Homo sapiens (human)	5571	18 +/- 11 years	N	pass	0	18 +/- 11 year	Y	pass	1	18 +/- 11 year	N	fail	0	1	
2.8 to 4.2	10001584	Sus scrofa alpha1,3GALT null	5598	2.8 to 4.2	N	pass	0	2.8 to 4.2	N	pass	0	2.8-4.2	Y	fail	4	4	
Mean age = 58±12 years	9606	Homo sapiens (human)	5614	mean age = 58+/-12 years	Y	pass	4	mean age = 58+/-12 year	Y	pass	1	mean age = 58 +/- 12 year	Y	fail	2	7	
24-49	9606	Homo sapiens (human)	5627	24-49	N	pass	0	24-49	N	pass	0	24-49	N	fail	0	0	
newborns - 29 years	9606	Homo sapiens (human)	5637	newborns - 29 years	N	pass	0	newborn - 29 year	Y	pass	2	newborn - 29 year	N	fail	0	2	
1 year 5 months to 15 years 8 months	9606	Homo sapiens (human)	5639	1 year 5 months to 15 years 8 months	N	pass	0	1 year 5 month to 15 year 8 month	Y	fail	3	1 year 5 month to 15 year 8 month	N	fail	0	3	
62	10090	Mus musculus (mouse)	5652	62	N	pass	0	62	N	pass	0	62	N	fail	0	0	
6 days to 7  months	10000639	Mus musculus NZB	5654	6 days to 7 months	Y	pass	1	6 day to 7 month	Y	fail	2	6 day to 7 month	N	fail	0	3	
average= 34.6 years	10000119	Homo sapiens Caucasian	5656	average= 34.6 years	N	pass	0	average= 34.6 year	Y	pass	1	average= 34.6 year	N	fail	0	1	
average= 53.4  years	10000119	Homo sapiens Caucasian	5658	average= 53.4 years	Y	pass	1	average= 53.4 year	Y	pass	1	average= 53.4 year	N	fail	0	2	
average= 56.4  years	10000119	Homo sapiens Caucasian	5659	average= 56.4 years	Y	pass	1	average= 56.4 year	Y	pass	1	average= 56.4 year	N	fail	0	2	
3 weeks - 6 months	9796	Equus caballus (domestic horse)	5671	3 weeks - 6 months	N	pass	0	3 week - 6 month	Y	fail	2	3 week - 6 month	N	fail	0	2	
3 months to 11 years	9606	Homo sapiens (human)	5679	3 months to 11 years	N	pass	0	3 month to 11 year	Y	fail	2	3 month to 11 year	N	fail	0	2	
22–59	9606	Homo sapiens (human)	5686	22-59	Y	pass	1	22-59	N	pass	0	22-59	N	fail	0	1	
adult, >32 years	9606	Homo sapiens (human)	5704	adult, >32 years	N	pass	0	adult, >32 year	Y	pass	1	adult, >32 year	N	fail	0	1	
median 4 years	9606	Homo sapiens (human)	5710	median 4 years	N	pass	0	median 4 year	Y	pass	1	median 4 year	N	fail	0	1	
5 to 26	9606	Homo sapiens (human)	5724	5 to 26	N	pass	0	5 to 26	N	pass	0	5-26	Y	fail	4	4	
48.6 +/- 13.5 years	9606	Homo sapiens (human)	5726	48.6 +/- 13.5 years	N	pass	0	48.6 +/- 13.5 year	Y	pass	1	48.6 +/- 13.5 year	N	fail	0	1	
14	9606	Homo sapiens (human)	5736	14	N	pass	0	14	N	pass	0	14	N	fail	0	0	
3 weeks-15 years	9606	Homo sapiens (human)	5755	3 weeks-15 years	N	pass	0	3 week-15 year	Y	fail	2	3 week-15 year	N	fail	0	2	
Mean=8.4 ± 4.3	9606	Homo sapiens (human)	5758	mean=8.4 +/- 4.3	Y	pass	4	mean=8.4 +/- 4.3	N	pass	0	mean=8.4 +/- 4.3	N	fail	0	4	
30 to 67	9606	Homo sapiens (human)	5771	30 to 67	N	pass	0	30 to 67	N	pass	0	30-67	Y	fail	4	4	
6 months - 9 years	9606	Homo sapiens (human)	5773	6 months - 9 years	N	pass	0	6 month - 9 year	Y	fail	2	6 month - 9 year	N	fail	0	2	
6 to 84	9606	Homo sapiens (human)	5774	6 to 84	N	pass	0	6 to 84	N	pass	0	6-84	Y	fail	4	4	
32 to 78	9606	Homo sapiens (human)	5778	32 to 78	N	pass	0	32 to 78	N	pass	0	32-78	Y	fail	4	4	
6-22.8	9606	Homo sapiens (human)	5781	6-22.8	N	pass	0	6-22.8	N	pass	0	6-22.8	N	fail	0	0	
adults, >32 years	9606	Homo sapiens (human)	5791	adults, >32 years	N	pass	0	adult, >32 year	Y	pass	2	adult, >32 year	N	fail	0	2	
19.8 to 38.8	9606	Homo sapiens (human)	5792	19.8 to 38.8	N	pass	0	19.8 to 38.8	N	pass	0	19.8-38.8	Y	fail	4	4	
elderly > 70 years	9606	Homo sapiens (human)	5794	elderly > 70 years	N	pass	0	elderly > 70 year	Y	pass	1	elderly >70 year	Y	fail	1	2	
3 months to 64 years	9606	Homo sapiens (human)	5797	3 months to 64 years	N	pass	0	3 month to 64 year	Y	fail	2	3 month to 64 year	N	fail	0	2	
7 months - 9 years	9606	Homo sapiens (human)	5804	7 months - 9 years	N	pass	0	7 month - 9 year	Y	fail	2	7 month - 9 year	N	fail	0	2	
3 months to 2 years	9606	Homo sapiens (human)	5806	3 months to 2 years	N	pass	0	3 month to 2 year	Y	fail	2	3 month to 2 year	N	fail	0	2	
19-49	9606	Homo sapiens (human)	5808	19-49	N	pass	0	19-49	N	pass	0	19-49	N	fail	0	0	
18-53	9606	Homo sapiens (human)	5810	18-53	N	pass	0	18-53	N	pass	0	18-53	N	fail	0	0	
17-81	9606	Homo sapiens (human)	5815	17-81	N	pass	0	17-81	N	pass	0	17-81	N	fail	0	0	
20-82	9606	Homo sapiens (human)	5819	20-82	N	pass	0	20-82	N	pass	0	20-82	N	fail	0	0	
19-43	9606	Homo sapiens (human)	5831	19-43	N	pass	0	19-43	N	pass	0	19-43	N	fail	0	0	
4 months-30 years	9606	Homo sapiens (human)	5836	4 months-30 years	N	pass	0	4 month-30 year	Y	fail	2	4 month-30 year	N	fail	0	2	
4 months-15 years	9606	Homo sapiens (human)	5840	4 months-15 years	N	pass	0	4 month-15 year	Y	fail	2	4 month-15 year	N	fail	0	2	
32-60	9606	Homo sapiens (human)	5857	32-60	N	pass	0	32-60	N	pass	0	32-60	N	fail	0	0	
mean age 45 years	9606	Homo sapiens (human)	5880	mean age 45 years	N	pass	0	mean age 45 year	Y	pass	1	mean age 45 year	N	fail	0	1	
mean age 59.8 years	9606	Homo sapiens (human)	5890	mean age 59.8 years	N	pass	0	mean age 59.8 year	Y	pass	1	mean age 59.8 year	N	fail	0	1	
50 to 68	9606	Homo sapiens (human)	5931	50 to 68	N	pass	0	50 to 68	N	pass	0	50-68	Y	fail	4	4	
Within 1 week after birth	9606	Homo sapiens (human)	5932	within 1 week after birth	Y	pass	1	within 1 week after birth	N	pass	0	within 1 week after birth	N	fail	0	1	
48-51	9606	Homo sapiens (human)	5946	48-51	N	pass	0	48-51	N	pass	0	48-51	N	fail	0	0	
13-68	9606	Homo sapiens (human)	5952	13-68	N	pass	0	13-68	N	pass	0	13-68	N	fail	0	0	
23.6-53.8	9606	Homo sapiens (human)	5964	23.6-53.8	N	pass	0	23.6-53.8	N	pass	0	23.6-53.8	N	fail	0	0	
40.6 +/- 11.4 years	9606	Homo sapiens (human)	5969	40.6 +/- 11.4 years	N	pass	0	40.6 +/- 11.4 year	Y	pass	1	40.6 +/- 11.4 year	N	fail	0	1	
14 to 45	9606	Homo sapiens (human)	5976	14 to 45	N	pass	0	14 to 45	N	pass	0	14-45	Y	fail	4	4	
75.9 +/- 7.5 years	9606	Homo sapiens (human)	6013	75.9 +/- 7.5 years	N	pass	0	75.9 +/- 7.5 year	Y	pass	1	75.9 +/- 7.5 year	N	fail	0	1	
11 to 82	9606	Homo sapiens (human)	6033	11 to 82	N	pass	0	11 to 82	N	pass	0	11-82	Y	fail	4	4	
17 to 84	9606	Homo sapiens (human)	6036	17 to 84	N	pass	0	17 to 84	N	pass	0	17-84	Y	fail	4	4	
20 to 75	9606	Homo sapiens (human)	6041	20 to 75	N	pass	0	20 to 75	N	pass	0	20-75	Y	fail	4	4	
18–73	9606	Homo sapiens (human)	6050	18-73	Y	pass	1	18-73	N	pass	0	18-73	N	fail	0	1	
38-73	9606	Homo sapiens (human)	6053	38-73	N	pass	0	38-73	N	pass	0	38-73	N	fail	0	0	
21 months-45 years	9606	Homo sapiens (human)	6064	21 months-45 years	N	pass	0	21 month-45 year	Y	fail	2	21 month-45 year	N	fail	0	2	
Median age 33 years	9606	Homo sapiens (human)	6068	median age 33 years	Y	pass	1	median age 33 year	Y	pass	1	median age 33 year	N	fail	0	2	
average age = 12.32 years	9606	Homo sapiens (human)	6081	average age = 12.32 years	N	pass	0	average age = 12.32 year	Y	pass	1	average age = 12.32 year	N	fail	0	1	
18-35	9606	Homo sapiens (human)	6085	18-35	N	pass	0	18-35	N	pass	0	18-35	N	fail	0	0	
mean age = 30.4 years	9606	Homo sapiens (human)	6089	mean age = 30.4 years	N	pass	0	mean age = 30.4 year	Y	pass	1	mean age = 30.4 year	N	fail	0	1	
52.7 +/- 10 years	9606	Homo sapiens (human)	6096	52.7 +/- 10 years	N	pass	0	52.7 +/- 10 year	Y	pass	1	52.7 +/- 10 year	N	fail	0	1	
48 +/- 12 years	9606	Homo sapiens (human)	6098	48 +/- 12 years	N	pass	0	48 +/- 12 year	Y	pass	1	48 +/- 12 year	N	fail	0	1	
66.6 +/- 7.4 years	9606	Homo sapiens (human)	6105	66.6 +/- 7.4 years	N	pass	0	66.6 +/- 7.4 year	Y	pass	1	66.6 +/- 7.4 year	N	fail	0	1	
31.63 +/- 1.37 years	9606	Homo sapiens (human)	6118	31.63 +/- 1.37 years	N	pass	0	31.63 +/- 1.37 year	Y	pass	1	31.63 +/- 1.37 year	N	fail	0	1	
36.1 years (mean)	9606	Homo sapiens (human)	6119	36.1 years (mean)	N	pass	0	36.1 year (mean)	Y	pass	1	36.1 year (mean)	N	fail	0	1	
55 ± 27 years	9606	Homo sapiens (human)	6120	55 +/- 27 years	Y	pass	3	55 +/- 27 year	Y	pass	1	55 +/- 27 year	N	fail	0	4	
