h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	char_valid?_h_age	char_normalization_score_h_age	word_normalized_h_age	word_normalized	word_valid?_h_age	word_normalization_score_h_age	phrase_normalized_h_age	phrase_normalized	phrase_valid?_h_age	phrase_normalization_score_h_age	overall_normalization_score_h_age	curator_review
24.92 +/- 0.84	9606	Homo sapiens (human)	6121	24.92 +/- 0.84	N	pass	0	24.92 +/- 0.84	N	pass	0	24.92 +/- 0.84	N	fail	0	0	
mean age = 46 years	9606	Homo sapiens (human)	6128	mean age = 46 years	N	pass	0	mean age = 46 year	Y	pass	1	mean age = 46 year	N	fail	0	1	
43.62 +/- 1.07 years	9606	Homo sapiens (human)	6129	43.62 +/- 1.07 years	N	pass	0	43.62 +/- 1.07 year	Y	pass	1	43.62 +/- 1.07 year	N	fail	0	1	
100 day fetus	10001726	Sus scrofa Miniature Minnesota	6131	100 day fetus	N	pass	0	100 day fetus	N	pass	0	100 day fetus	N	fail	0	0	
48 ± 8 years	9606	Homo sapiens (human)	6152	48 +/- 8 years	Y	pass	3	48 +/- 8 year	Y	pass	1	48 +/- 8 year	N	fail	0	4	
51.4 +/- 18 years	9606	Homo sapiens (human)	6153	51.4 +/- 18 years	N	pass	0	51.4 +/- 18 year	Y	pass	1	51.4 +/- 18 year	N	fail	0	1	
29 +/- 9 days	9913	Bos taurus (bovine)	6154	29 +/- 9 days	N	pass	0	29 +/- 9 day	Y	pass	1	29 +/- 9 day	N	fail	0	1	
Mean age of 54. 04	9606	Homo sapiens (human)	6160	mean age of 54. 04	Y	pass	1	mean age of 54. 04	N	pass	0	mean age of 54. 04	N	fail	0	1	
72.5±5.2 years	9606	Homo sapiens (human)	6167	72.5+/-5.2 years	Y	pass	3	72.5+/-5.2 year	Y	pass	1	72.5 +/- 5.2 year	Y	fail	2	6	
72.3±6.7 years	9606	Homo sapiens (human)	6168	72.3+/-6.7 years	Y	pass	3	72.3+/-6.7 year	Y	pass	1	72.3 +/- 6.7 year	Y	fail	2	6	
mean age = 38.6 years	9606	Homo sapiens (human)	6169	mean age = 38.6 years	N	pass	0	mean age = 38.6 year	Y	pass	1	mean age = 38.6 year	N	fail	0	1	
36.47 +/- 12.46 years	9606	Homo sapiens (human)	6178	36.47 +/- 12.46 years	N	pass	0	36.47 +/- 12.46 year	Y	pass	1	36.47 +/- 12.46 year	N	fail	0	1	
40.15 +/- 8.8 years	9606	Homo sapiens (human)	6179	40.15 +/- 8.8 years	N	pass	0	40.15 +/- 8.8 year	Y	pass	1	40.15 +/- 8.8 year	N	fail	0	1	
53 +/- 11 years	9606	Homo sapiens (human)	6186	53 +/- 11 years	N	pass	0	53 +/- 11 year	Y	pass	1	53 +/- 11 year	N	fail	0	1	
mean age=53.7 years	9606	Homo sapiens (human)	6188	mean age=53.7 years	N	pass	0	mean age=53.7 year	Y	pass	1	mean age=53.7 year	N	fail	0	1	
57-59	9606	Homo sapiens (human)	6200	57-59	N	pass	0	57-59	N	pass	0	57-59	N	fail	0	0	
23-66	9606	Homo sapiens (human)	6201	23-66	N	pass	0	23-66	N	pass	0	23-66	N	fail	0	0	
26-48	9606	Homo sapiens (human)	6202	26-48	N	pass	0	26-48	N	pass	0	26-48	N	fail	0	0	
19-66	9606	Homo sapiens (human)	6203	19-66	N	pass	0	19-66	N	pass	0	19-66	N	fail	0	0	
40-42	9606	Homo sapiens (human)	6204	40-42	N	pass	0	40-42	N	pass	0	40-42	N	fail	0	0	
44-47	9606	Homo sapiens (human)	6205	44-47	N	pass	0	44-47	N	pass	0	44-47	N	fail	0	0	
63-64	9606	Homo sapiens (human)	6206	63-64	N	pass	0	63-64	N	pass	0	63-64	N	fail	0	0	
31-32	9606	Homo sapiens (human)	6207	31-32	N	pass	0	31-32	N	pass	0	31-32	N	fail	0	0	
25 years mean age	9606	Homo sapiens (human)	6223	25 years mean age	N	pass	0	25 year mean age	Y	pass	1	25 year mean age	N	fail	0	1	
mean age = 65.6 years	9606	Homo sapiens (human)	6224	mean age = 65.6 years	N	pass	0	mean age = 65.6 year	Y	pass	1	mean age = 65.6 year	N	fail	0	1	
Mean age: 32.56 years	9606	Homo sapiens (human)	6234	mean age: 32.56 years	Y	pass	1	mean age: 32.56 year	Y	pass	1	mean age: 32.56 year	N	fail	0	2	
Mean age: 34 years	9606	Homo sapiens (human)	6235	mean age: 34 years	Y	pass	1	mean age: 34 year	Y	pass	1	mean age: 34 year	N	fail	0	2	
39.0 +/- 13.8 years	9606	Homo sapiens (human)	6259	39.0 +/- 13.8 years	N	pass	0	39.0 +/- 13.8 year	Y	pass	1	39.0 +/- 13.8 year	N	fail	0	1	
44.1 +/- 13.2 years	9606	Homo sapiens (human)	6269	44.1 +/- 13.2 years	N	pass	0	44.1 +/- 13.2 year	Y	pass	1	44.1 +/- 13.2 year	N	fail	0	1	
41.5 +/- 9.8 years	9606	Homo sapiens (human)	6270	41.5 +/- 9.8 years	N	pass	0	41.5 +/- 9.8 year	Y	pass	1	41.5 +/- 9.8 year	N	fail	0	1	
31.7+/-4.5	9606	Homo sapiens (human)	6271	31.7+/-4.5	N	pass	0	31.7+/-4.5	N	pass	0	31.7 +/- 4.5	Y	fail	2	2	
37.0 +/- 12.6 years	9606	Homo sapiens (human)	6273	37.0 +/- 12.6 years	N	pass	0	37.0 +/- 12.6 year	Y	pass	1	37.0 +/- 12.6 year	N	fail	0	1	
31.6+/-5.4	9606	Homo sapiens (human)	6274	31.6+/-5.4	N	pass	0	31.6+/-5.4	N	pass	0	31.6 +/- 5.4	Y	fail	2	2	
8 +/- 3 years	9606	Homo sapiens (human)	6282	8 +/- 3 years	N	pass	0	8 +/- 3 year	Y	pass	1	8 +/- 3 year	N	fail	0	1	
38+/- 11 years	9606	Homo sapiens (human)	6288	38+/- 11 years	N	pass	0	38+/- 11 year	Y	pass	1	38 +/- 11 year	Y	fail	1	2	
median age 21 years	9606	Homo sapiens (human)	6291	median age 21 years	N	pass	0	median age 21 year	Y	pass	1	median age 21 year	N	fail	0	1	
70 +/- 9 years	9606	Homo sapiens (human)	6295	70 +/- 9 years	N	pass	0	70 +/- 9 year	Y	pass	1	70 +/- 9 year	N	fail	0	1	
1 year 8 months to 68 years	9606	Homo sapiens (human)	6300	1 year 8 months to 68 years	N	pass	0	1 year 8 month to 68 year	Y	fail	2	1 year 8 month to 68 year	N	fail	0	2	
mean age = 40.3 years	9606	Homo sapiens (human)	6305	mean age = 40.3 years	N	pass	0	mean age = 40.3 year	Y	pass	1	mean age = 40.3 year	N	fail	0	1	
mean age = 63 years	9606	Homo sapiens (human)	6319	mean age = 63 years	N	pass	0	mean age = 63 year	Y	pass	1	mean age = 63 year	N	fail	0	1	
mean age = 57 years	9606	Homo sapiens (human)	6320	mean age = 57 years	N	pass	0	mean age = 57 year	Y	pass	1	mean age = 57 year	N	fail	0	1	
mean 53.8 years	9606	Homo sapiens (human)	6324	mean 53.8 years	N	pass	0	mean 53.8 year	Y	pass	1	mean 53.8 year	N	fail	0	1	
0.7 to 20.9 years (median = 11.0)	9606	Homo sapiens (human)	6328	0.7 to 20.9 years (median = 11.0)	N	pass	0	0.7 to 20.9 year (median = 11.0)	Y	pass	1	0.7-20.9 year (median = 11.0)	Y	fail	4	5	
36.2 +/- 8.9 years	9606	Homo sapiens (human)	6332	36.2 +/- 8.9 years	N	pass	0	36.2 +/- 8.9 year	Y	pass	1	36.2 +/- 8.9 year	N	fail	0	1	
58.4 +/- 14.3 years	9606	Homo sapiens (human)	6357	58.4 +/- 14.3 years	N	pass	0	58.4 +/- 14.3 year	Y	pass	1	58.4 +/- 14.3 year	N	fail	0	1	
<42-79 years	9606	Homo sapiens (human)	6359	<42-79 years	N	pass	0	<42-79 year	Y	pass	1	<42-79 year	N	fail	0	1	
1 month - 13 years	9606	Homo sapiens (human)	6362	1 month - 13 years	N	pass	0	1 month - 13 year	Y	fail	1	1 month - 13 year	N	fail	0	1	
42.18+/-13.23	9606	Homo sapiens (human)	6383	42.18+/-13.23	N	pass	0	42.18+/-13.23	N	pass	0	42.18 +/- 13.23	Y	fail	2	2	
44.94+/-15.65	9606	Homo sapiens (human)	6384	44.94+/-15.65	N	pass	0	44.94+/-15.65	N	pass	0	44.94 +/- 15.65	Y	fail	2	2	
28-82	9606	Homo sapiens (human)	6401	28-82	N	pass	0	28-82	N	pass	0	28-82	N	fail	0	0	
1 day to 103 years	9606	Homo sapiens (human)	6408	1 day to 103 years	N	pass	0	1 day to 103 year	Y	fail	1	1 day to 103 year	N	fail	0	1	
23.2 +/- 5.7 years	9606	Homo sapiens (human)	6414	23.2 +/- 5.7 years	N	pass	0	23.2 +/- 5.7 year	Y	pass	1	23.2 +/- 5.7 year	N	fail	0	1	
60.9 +/- 11 years	9606	Homo sapiens (human)	6418	60.9 +/- 11 years	N	pass	0	60.9 +/- 11 year	Y	pass	1	60.9 +/- 11 year	N	fail	0	1	
59.4 +/- 5.4 years	9606	Homo sapiens (human)	6419	59.4 +/- 5.4 years	N	pass	0	59.4 +/- 5.4 year	Y	pass	1	59.4 +/- 5.4 year	N	fail	0	1	
12-30	9606	Homo sapiens (human)	6426	12-30	N	pass	0	12-30	N	pass	0	12-30	N	fail	0	0	
1 to 5 years or > 15 years	9606	Homo sapiens (human)	6438	1 to 5 years or > 15 years	N	pass	0	1 to 5 year or > 15 year	Y	pass	2	1-5 year or >15 year	Y	fail	5	7	
mean age = 4.4 years	9544	Macaca mulatta (rhesus macaque)	6441	mean age = 4.4 years	N	pass	0	mean age = 4.4 year	Y	pass	1	mean age = 4.4 year	N	fail	0	1	
mean age 3-4 years	9606	Homo sapiens (human)	6443	mean age 3-4 years	N	pass	0	mean age 3-4 year	Y	pass	1	mean age 3-4 year	N	fail	0	1	
median age 63 years	9606	Homo sapiens (human)	6446	median age 63 years	N	pass	0	median age 63 year	Y	pass	1	median age 63 year	N	fail	0	1	
9.42 +/- 3.84 years	9606	Homo sapiens (human)	6451	9.42 +/- 3.84 years	N	pass	0	9.42 +/- 3.84 year	Y	pass	1	9.42 +/- 3.84 year	N	fail	0	1	
6.94 +/- 3.58 years	9606	Homo sapiens (human)	6452	6.94 +/- 3.58 years	N	pass	0	6.94 +/- 3.58 year	Y	pass	1	6.94 +/- 3.58 year	N	fail	0	1	
11 +/- 7 years	9606	Homo sapiens (human)	6455	11 +/- 7 years	N	pass	0	11 +/- 7 year	Y	pass	1	11 +/- 7 year	N	fail	0	1	
12.9 +/- 7.7 years	9606	Homo sapiens (human)	6456	12.9 +/- 7.7 years	N	pass	0	12.9 +/- 7.7 year	Y	pass	1	12.9 +/- 7.7 year	N	fail	0	1	
12.8 +/- 8 years	9606	Homo sapiens (human)	6457	12.8 +/- 8 years	N	pass	0	12.8 +/- 8 year	Y	pass	1	12.8 +/- 8 year	N	fail	0	1	
13.6 +/- 6.8 years	9606	Homo sapiens (human)	6458	13.6 +/- 6.8 years	N	pass	0	13.6 +/- 6.8 year	Y	pass	1	13.6 +/- 6.8 year	N	fail	0	1	
22.7 +/- 14 years	9606	Homo sapiens (human)	6459	22.7 +/- 14 years	N	pass	0	22.7 +/- 14 year	Y	pass	1	22.7 +/- 14 year	N	fail	0	1	
14.1 +/- 12 years	9606	Homo sapiens (human)	6460	14.1 +/- 12 years	N	pass	0	14.1 +/- 12 year	Y	pass	1	14.1 +/- 12 year	N	fail	0	1	
9.6 +/- 3.1 years	9606	Homo sapiens (human)	6461	9.6 +/- 3.1 years	N	pass	0	9.6 +/- 3.1 year	Y	pass	1	9.6 +/- 3.1 year	N	fail	0	1	
14.3 +/- 5.7 years	9606	Homo sapiens (human)	6462	14.3 +/- 5.7 years	N	pass	0	14.3 +/- 5.7 year	Y	pass	1	14.3 +/- 5.7 year	N	fail	0	1	
23.8 +/- 2.3 years	9606	Homo sapiens (human)	6463	23.8 +/- 2.3 years	N	pass	0	23.8 +/- 2.3 year	Y	pass	1	23.8 +/- 2.3 year	N	fail	0	1	
50.3 years median age	9606	Homo sapiens (human)	6470	50.3 years median age	N	pass	0	50.3 year median age	Y	pass	1	50.3 year median age	N	fail	0	1	
56.5 years median age	9606	Homo sapiens (human)	6471	56.5 years median age	N	pass	0	56.5 year median age	Y	pass	1	56.5 year median age	N	fail	0	1	
55.9 +/- 19.2 years	9606	Homo sapiens (human)	6476	55.9 +/- 19.2 years	N	pass	0	55.9 +/- 19.2 year	Y	pass	1	55.9 +/- 19.2 year	N	fail	0	1	
37.9 +/- 6.5 years	9606	Homo sapiens (human)	6481	37.9 +/- 6.5 years	N	pass	0	37.9 +/- 6.5 year	Y	pass	1	37.9 +/- 6.5 year	N	fail	0	1	
37.6 +/- 11.0 years	9606	Homo sapiens (human)	6482	37.6 +/- 11.0 years	N	pass	0	37.6 +/- 11.0 year	Y	pass	1	37.6 +/- 11.0 year	N	fail	0	1	
20-85	9606	Homo sapiens (human)	6496	20-85	N	pass	0	20-85	N	pass	0	20-85	N	fail	0	0	
6 weeks and 18 months	10000000	Mus musculus BALB/c	6497	6 weeks and 18 months	N	pass	0	6 week and 18 month	Y	fail	2	6 week and 18 month	N	fail	0	2	
53.7 +/- 11.2	9606	Homo sapiens (human)	6501	53.7 +/- 11.2	N	pass	0	53.7 +/- 11.2	N	pass	0	53.7 +/- 11.2	N	fail	0	0	
58.8 +/- 8.7	9606	Homo sapiens (human)	6502	58.8 +/- 8.7	N	pass	0	58.8 +/- 8.7	N	pass	0	58.8 +/- 8.7	N	fail	0	0	
mean age = 9.3 years	9606	Homo sapiens (human)	6510	mean age = 9.3 years	N	pass	0	mean age = 9.3 year	Y	pass	1	mean age = 9.3 year	N	fail	0	1	
55.7 +/- 5.7	9606	Homo sapiens (human)	6514	55.7 +/- 5.7	N	pass	0	55.7 +/- 5.7	N	pass	0	55.7 +/- 5.7	N	fail	0	0	
49.5 +/- 7.5	9606	Homo sapiens (human)	6515	49.5 +/- 7.5	N	pass	0	49.5 +/- 7.5	N	pass	0	49.5 +/- 7.5	N	fail	0	0	
mean age = 38 years	9606	Homo sapiens (human)	6517	mean age = 38 years	N	pass	0	mean age = 38 year	Y	pass	1	mean age = 38 year	N	fail	0	1	
mean 61.2 years	9606	Homo sapiens (human)	6554	mean 61.2 years	N	pass	0	mean 61.2 year	Y	pass	1	mean 61.2 year	N	fail	0	1	
median 9 years	9606	Homo sapiens (human)	6558	median 9 years	N	pass	0	median 9 year	Y	pass	1	median 9 year	N	fail	0	1	
43 +/- 12 years	9606	Homo sapiens (human)	6583	43 +/- 12 years	N	pass	0	43 +/- 12 year	Y	pass	1	43 +/- 12 year	N	fail	0	1	
36 +/- 10 years	9606	Homo sapiens (human)	6588	36 +/- 10 years	N	pass	0	36 +/- 10 year	Y	pass	1	36 +/- 10 year	N	fail	0	1	
median age: 7.5 years	9606	Homo sapiens (human)	6595	median age: 7.5 years	N	pass	0	median age: 7.5 year	Y	pass	1	median age: 7.5 year	N	fail	0	1	
46.7 yeas (mean)	9606	Homo sapiens (human)	6634	46.7 yeas (mean)	N	pass	0	46.7 year (mean)	Y	pass	1	46.7 year (mean)	N	fail	0	1	
mean age = 33.6 years	9606	Homo sapiens (human)	6638	mean age = 33.6 years	N	pass	0	mean age = 33.6 year	Y	pass	1	mean age = 33.6 year	N	fail	0	1	
1 day to 6 months	9823	Sus scrofa (pig)	6665	1 day to 6 months	N	pass	0	1 day to 6 month	Y	fail	1	1 day to 6 month	N	fail	0	1	
mean 54.37 years	9606	Homo sapiens (human)	6675	mean 54.37 years	N	pass	0	mean 54.37 year	Y	pass	1	mean 54.37 year	N	fail	0	1	
mean 39 years	9606	Homo sapiens (human)	6676	mean 39 years	N	pass	0	mean 39 year	Y	pass	1	mean 39 year	N	fail	0	1	
mean 51.32 years	9606	Homo sapiens (human)	6679	mean 51.32 years	N	pass	0	mean 51.32 year	Y	pass	1	mean 51.32 year	N	fail	0	1	
average 30.2 years	9606	Homo sapiens (human)	6685	average 30.2 years	N	pass	0	average 30.2 year	Y	pass	1	average 30.2 year	N	fail	0	1	
mean 48 years	9606	Homo sapiens (human)	6691	mean 48 years	N	pass	0	mean 48 year	Y	pass	1	mean 48 year	N	fail	0	1	
2 months - 12 years	9606	Homo sapiens (human)	6700	2 months - 12 years	N	pass	0	2 month - 12 year	Y	fail	2	2 month - 12 year	N	fail	0	2	
52 years old on average	9606	Homo sapiens (human)	6708	52 years old on average	N	pass	0	52 year old on average	Y	pass	1	52 year on average	Y	fail	4	5	
36.8 years (mean)	9606	Homo sapiens (human)	6719	36.8 years (mean)	N	pass	0	36.8 year (mean)	Y	pass	1	36.8 year (mean)	N	fail	0	1	
average 34.5 years	9606	Homo sapiens (human)	6726	average 34.5 years	N	pass	0	average 34.5 year	Y	pass	1	average 34.5 year	N	fail	0	1	
8 months to 54 years	9606	Homo sapiens (human)	6739	8 months to 54 years	N	pass	0	8 month to 54 year	Y	fail	2	8 month to 54 year	N	fail	0	2	
11 months - 55 years	9606	Homo sapiens (human)	6741	11 months - 55 years	N	pass	0	11 month - 55 year	Y	fail	2	11 month - 55 year	N	fail	0	2	
42 +/- 8.1 years	9606	Homo sapiens (human)	6765	42 +/- 8.1 years	N	pass	0	42 +/- 8.1 year	Y	pass	1	42 +/- 8.1 year	N	fail	0	1	
at least 2 months	10000206	Oryctolagus cuniculus New Zealand White	6772	at least 2 months	N	pass	0	at least 2 month	Y	pass	1	at least 2 month	N	fail	0	1	
18-38 years, with an average of 22 years	9606	Homo sapiens (human)	6774	18-38 years, with an average of 22 years	N	pass	0	18-38 year, with an average of 22 year	Y	pass	2	18-38 year, with an average of 22 year	N	fail	0	2	
47 +/- 4.5 years	9606	Homo sapiens (human)	6782	47 +/- 4.5 years	N	pass	0	47 +/- 4.5 year	Y	pass	1	47 +/- 4.5 year	N	fail	0	1	
mean 6.6 years	9606	Homo sapiens (human)	6841	mean 6.6 years	N	pass	0	mean 6.6 year	Y	pass	1	mean 6.6 year	N	fail	0	1	
average age = 50 years	9606	Homo sapiens (human)	6846	average age = 50 years	N	pass	0	average age = 50 year	Y	pass	1	average age = 50 year	N	fail	0	1	
born before 1968	9606	Homo sapiens (human)	6848	born before 1968	N	pass	0	born before 1968	N	pass	0	born before 1968	N	fail	0	0	
mean age = 71.3 years	9606	Homo sapiens (human)	6861	mean age = 71.3 years	N	pass	0	mean age = 71.3 year	Y	pass	1	mean age = 71.3 year	N	fail	0	1	
mean age = 68.3 years	9606	Homo sapiens (human)	6862	mean age = 68.3 years	N	pass	0	mean age = 68.3 year	Y	pass	1	mean age = 68.3 year	N	fail	0	1	
mean age = 66.3 years	9606	Homo sapiens (human)	6863	mean age = 66.3 years	N	pass	0	mean age = 66.3 year	Y	pass	1	mean age = 66.3 year	N	fail	0	1	
mean age = 60.1 years	9606	Homo sapiens (human)	6864	mean age = 60.1 years	N	pass	0	mean age = 60.1 year	Y	pass	1	mean age = 60.1 year	N	fail	0	1	
mean = 48 years	9606	Homo sapiens (human)	6877	mean = 48 years	N	pass	0	mean = 48 year	Y	pass	1	mean = 48 year	N	fail	0	1	
68.5 +/- 16.4 years	9606	Homo sapiens (human)	6878	68.5 +/- 16.4 years	N	pass	0	68.5 +/- 16.4 year	Y	pass	1	68.5 +/- 16.4 year	N	fail	0	1	
Mean age = 47.1 years	9606	Homo sapiens (human)	6882	mean age = 47.1 years	Y	pass	1	mean age = 47.1 year	Y	pass	1	mean age = 47.1 year	N	fail	0	2	
1.5 months to 40 years	9606	Homo sapiens (human)	6907	1.5 months to 40 years	N	pass	0	1.5 month to 40 year	Y	fail	2	1.5 month to 40 year	N	fail	0	2	
17 months - 4 years	9606	Homo sapiens (human)	6910	17 months - 4 years	N	pass	0	17 month - 4 year	Y	fail	2	17 month - 4 year	N	fail	0	2	
3 months to 15 years	9606	Homo sapiens (human)	6929	3 months to 15 years	N	pass	0	3 month to 15 year	Y	fail	2	3 month to 15 year	N	fail	0	2	
7 months to 10 years	9606	Homo sapiens (human)	6931	7 months to 10 years	N	pass	0	7 month to 10 year	Y	fail	2	7 month to 10 year	N	fail	0	2	
mean 38 years	9606	Homo sapiens (human)	6953	mean 38 years	N	pass	0	mean 38 year	Y	pass	1	mean 38 year	N	fail	0	1	
mean 11 years	9606	Homo sapiens (human)	6955	mean 11 years	N	pass	0	mean 11 year	Y	pass	1	mean 11 year	N	fail	0	1	
mean 13. 8 years	9606	Homo sapiens (human)	6956	mean 13. 8 years	N	pass	0	mean 13. 8 year	Y	pass	1	mean 13. 8 year	N	fail	0	1	
mean 30 years	9606	Homo sapiens (human)	6963	mean 30 years	N	pass	0	mean 30 year	Y	pass	1	mean 30 year	N	fail	0	1	
average age = 43.6 years	9606	Homo sapiens (human)	6990	average age = 43.6 years	N	pass	0	average age = 43.6 year	Y	pass	1	average age = 43.6 year	N	fail	0	1	
average age = 44.8 years	9606	Homo sapiens (human)	6991	average age = 44.8 years	N	pass	0	average age = 44.8 year	Y	pass	1	average age = 44.8 year	N	fail	0	1	
1 month - 4 years	9606	Homo sapiens (human)	7002	1 month - 4 years	N	pass	0	1 month - 4 year	Y	fail	1	1 month - 4 year	N	fail	0	1	
median 54 years	9606	Homo sapiens (human)	7005	median 54 years	N	pass	0	median 54 year	Y	pass	1	median 54 year	N	fail	0	1	
median 55 years	9606	Homo sapiens (human)	7006	median 55 years	N	pass	0	median 55 year	Y	pass	1	median 55 year	N	fail	0	1	
3 months to 25 years	9606	Homo sapiens (human)	7015	3 months to 25 years	N	pass	0	3 month to 25 year	Y	fail	2	3 month to 25 year	N	fail	0	2	
>/= 15 years	9606	Homo sapiens (human)	7016	>/= 15 years	N	pass	0	>/= 15 year	Y	pass	1	>/= 15 year	N	fail	0	1	
median 48 years	9606	Homo sapiens (human)	7022	median 48 years	N	pass	0	median 48 year	Y	pass	1	median 48 year	N	fail	0	1	
median 50 years	9606	Homo sapiens (human)	7023	median 50 years	N	pass	0	median 50 year	Y	pass	1	median 50 year	N	fail	0	1	
mean 63.87 years	9606	Homo sapiens (human)	7047	mean 63.87 years	N	pass	0	mean 63.87 year	Y	pass	1	mean 63.87 year	N	fail	0	1	
mean 55.4 years	9606	Homo sapiens (human)	7056	mean 55.4 years	N	pass	0	mean 55.4 year	Y	pass	1	mean 55.4 year	N	fail	0	1	
mean 53.4 years	9606	Homo sapiens (human)	7059	mean 53.4 years	N	pass	0	mean 53.4 year	Y	pass	1	mean 53.4 year	N	fail	0	1	
mean 59 years	9606	Homo sapiens (human)	7061	mean 59 years	N	pass	0	mean 59 year	Y	pass	1	mean 59 year	N	fail	0	1	
4 days - 9 months	9606	Homo sapiens (human)	7084	4 days - 9 months	N	pass	0	4 day - 9 month	Y	fail	2	4 day - 9 month	N	fail	0	2	
middle-aged	9606	Homo sapiens (human)	7088	middle-aged	N	pass	0	middle-aged	N	pass	0	middle-aged	N	fail	0	0	
6 months to 5 years	9606	Homo sapiens (human)	7094	6 months to 5 years	N	pass	0	6 month to 5 year	Y	fail	2	6 month to 5 year	N	fail	0	2	
5 months to 5 years	9606	Homo sapiens (human)	7098	5 months to 5 years	N	pass	0	5 month to 5 year	Y	fail	2	5 month to 5 year	N	fail	0	2	
6 months to 15 years	9606	Homo sapiens (human)	7099	6 months to 15 years	N	pass	0	6 month to 15 year	Y	fail	2	6 month to 15 year	N	fail	0	2	
55-74	9606	Homo sapiens (human)	7112	55-74	N	pass	0	55-74	N	pass	0	55-74	N	fail	0	0	
59	9606	Homo sapiens (human)	7117	59	N	pass	0	59	N	pass	0	59	N	fail	0	0	
75	9606	Homo sapiens (human)	7122	75	N	pass	0	75	N	pass	0	75	N	fail	0	0	
76	9606	Homo sapiens (human)	7123	76	N	pass	0	76	N	pass	0	76	N	fail	0	0	
78	9606	Homo sapiens (human)	7124	78	N	pass	0	78	N	pass	0	78	N	fail	0	0	
80	9606	Homo sapiens (human)	7125	80	N	pass	0	80	N	pass	0	80	N	fail	0	0	
81	9606	Homo sapiens (human)	7126	81	N	pass	0	81	N	pass	0	81	N	fail	0	0	
82	9606	Homo sapiens (human)	7127	82	N	pass	0	82	N	pass	0	82	N	fail	0	0	
84	9606	Homo sapiens (human)	7128	84	N	pass	0	84	N	pass	0	84	N	fail	0	0	
85	9606	Homo sapiens (human)	7129	85	N	pass	0	85	N	pass	0	85	N	fail	0	0	
86	9606	Homo sapiens (human)	7130	86	N	pass	0	86	N	pass	0	86	N	fail	0	0	
87	9606	Homo sapiens (human)	7131	87	N	pass	0	87	N	pass	0	87	N	fail	0	0	
88	9606	Homo sapiens (human)	7132	88	N	pass	0	88	N	pass	0	88	N	fail	0	0	
89	9606	Homo sapiens (human)	7133	89	N	pass	0	89	N	pass	0	89	N	fail	0	0	
90	9606	Homo sapiens (human)	7134	90	N	pass	0	90	N	pass	0	90	N	fail	0	0	
91	9606	Homo sapiens (human)	7135	91	N	pass	0	91	N	pass	0	91	N	fail	0	0	
92	9606	Homo sapiens (human)	7136	92	N	pass	0	92	N	pass	0	92	N	fail	0	0	
93	9606	Homo sapiens (human)	7137	93	N	pass	0	93	N	pass	0	93	N	fail	0	0	
94	9606	Homo sapiens (human)	7138	94	N	pass	0	94	N	pass	0	94	N	fail	0	0	
95	9606	Homo sapiens (human)	7139	95	N	pass	0	95	N	pass	0	95	N	fail	0	0	
96	9606	Homo sapiens (human)	7140	96	N	pass	0	96	N	pass	0	96	N	fail	0	0	
97	9606	Homo sapiens (human)	7141	97	N	pass	0	97	N	pass	0	97	N	fail	0	0	
98	9606	Homo sapiens (human)	7142	98	N	pass	0	98	N	pass	0	98	N	fail	0	0	
99	9606	Homo sapiens (human)	7143	99	N	pass	0	99	N	pass	0	99	N	fail	0	0	
100	9606	Homo sapiens (human)	7144	100	N	pass	0	100	N	pass	0	100	N	fail	0	0	
101	9606	Homo sapiens (human)	7145	101	N	pass	0	101	N	pass	0	101	N	fail	0	0	
