unit	median_age	h_age	h_organism_id	h_organism_name	index	normalized_h_age	normalized_h_age_style=age	exact_age	minimum_age	maximum_age	mean_age	age_list	age_description	age_data_type
year		Adults (40 year-old average)	9606	Homo sapiens (human)	77	adults (40 year-old average)	adults (40 year average)				40		adult	manual
week		11 or 18 weeks	10000025	Mus musculus Biozzi AB/H	141	11 or 18 week	11 or 18 week		11	18				manual
week		5, 11 or 18 weeks	10000632	Mus musculus NOD	152	5, 11 or 18 week	5, 11 or 18 week		5	18				manual
year		mean 54 years (range 19-68)	9606	Homo sapiens (human)	177	mean 54 year (range 19-68)	mean 54 year (range 19-68)		19	68	54			manual
week		11 or 18 weeks	10000637	Mus musculus NODasp	208	11 or 18 week	11 or 18 week		11	18				manual
year		10.5 years avg.	9606	Homo sapiens (human)	292	10.5 year avg.	10.5 year avg				10.5			manual
year		18–64 years)	9606	Homo sapiens (human)	298	18-64 years)	18-64 years)		18	64				manual
week		At least 8 weeks old	10000000	Mus musculus BALB/c	307	at least 8 week old	at least 8 week		8					manual
week		8 weeks or older	10000067	Mus musculus C57BL/6	313	8 week or older	8 week or older		8					manual
month		2 months or older	10000000	Mus musculus BALB/c	320	2 month or older	2 month or older		2					manual
year		21 - 85 yo	9606	Homo sapiens (human)	326	21 - 85 yo	21-85 yo		21	85				manual
year		35.4 yrs average	9606	Homo sapiens (human)	330	35.4 year average	35.4 year average				35.4			manual
year		6 months-1.1 year	9606	Homo sapiens (human)	334	6 month-1.1 year	6 month-1.1 year		.5	1.1				manual
year		4 months- 4 years	9606	Homo sapiens (human)	337	4 month- 4 year	4 month- 4 year		.333	4				manual
week		5, 8, 11 or 18 weeks	10000632	Mus musculus NOD	345	5, 8, 11 or 18 week	5, 8, 11 or 18 week		5	18				manual
year		10 years and older	9606	Homo sapiens (human)	412	10 year and older	10 year and older		10					manual
year		1 month-old-81 years-old	9606	Homo sapiens (human)	426	1 month-old-81 year-old	1 month-81 year		0.083	81				manual
week		8-10wk	10000000	Mus musculus BALB/c	436	8-10wk	8-10wk		8	10				manual
year		Children (mean age 7.2 years)	9606	Homo sapiens (human)	505	children (mean age 7.2 years)	children (mean age 7.2 years)				7.2		child	manual
year		5 months-3 years	9606	Homo sapiens (human)	542	5 month-3 year	5 month-3 year		0.417	3				manual
year		6 months to 2 years	9606	Homo sapiens (human)	610	6 month to 2 year	6 month to 2 year		0.5	2				manual
week		6 weeks or older	10000233	Mus musculus CBA/Ca	651	6 week or older	6 week or older		6					manual
week		6 weeks or older	10000000	Mus musculus BALB/c	679	6 week or older	6 week or older		6					manual
year		37 yrs average	9606	Homo sapiens (human)	686	37 year average	37 year average				37			manual
year		37 yrs. Average	9606	Homo sapiens (human)	720	37 year. average	37 year. average				37			manual
		Adults and children (ages 4.5-10.5 and 15-44)	9606	Homo sapiens (human)	772	adults and children (ages 4.5-10.5 and 15-44)	adults and children (ages 4.5-10.5 and 15-44)		4.5	44			adult and child	manual
week		At least 8 weeks old	10000067	Mus musculus C57BL/6	777	at least 8 week old	at least 8 week		8					manual
year		~ 33 to 55 years	9606	Homo sapiens (human)	920	~ 33 to 55 year	~ 33-55 year		33	55				manual
year		23 and 61 years	9606	Homo sapiens (human)	937	23 and 61 year	23 and 61 year		23	61				manual
week		11 or 18 weeks	10000632	Mus musculus NOD	968	11 or 18 week	11 or 18 week		11	18				manual
year		10 to over 90 years	9606	Homo sapiens (human)	979	10 to over 90 year	10 to over 90 year		10					manual
		Adult (within 24 hours of parturition)	9606	Homo sapiens (human)	988	adult (within 24 hour of parturition)	adult (within 24 hour of parturition)						adult (within 24 hour of parturition)	manual
month		2 months and 5 months	10000224	Mus musculus C57BL/6JTgN(Alb1HBV)44Bri	1012	2 month and 5 month	2 month and 5 month		2	5				manual
week		5 or 6 weeks	10090	Mus musculus (mouse)	1034	5 or 6 week	5 or 6 week		5	6				manual
week		6 weeks or older	10090	Mus musculus (mouse)	1038	6 week or older	6 week or older		6					manual
year		18, 35 years	9606	Homo sapiens (human)	1062	18, 35 year	18, 35 year		18	35				manual
week		7 yo 8 weeks	10000576	Mus musculus HLA-A*02:01 Tg	1074	7 yo 8 week	7 yo 8 week		7	8				manual
week		5 or 8 weeks	10000632	Mus musculus NOD	1078	5 or 8 week	5 or 8 week		5	8				manual
year		35.4 yrs. Average	9606	Homo sapiens (human)	1091	35.4 year. average	35.4 year. average				35.4			manual
year	11.3	Median age 11.3 years	9606	Homo sapiens (human)	1120	median age 11.3 year	median age 11.3 year							manual
year		2 months to 52 years	9606	Homo sapiens (human)	1134	2 month to 52 year	2 month to 52 year		0.167	52				manual
year	6.3	Median age 6.3 years	9606	Homo sapiens (human)	1138	median age 6.3 year	median age 6.3 year							manual
week		9 or 20 weeks	10000632	Mus musculus NOD	1197	9 or 20 week	9 or 20 week		9	20				manual
		Mean=28.5 ± 15.0	9606	Homo sapiens (human)	1232	mean=28.5 +/- 15.0	mean=28.5 +/- 15.0		13.5	43.5	28.5			manual
month		2, 3, or 4 months	10000632	Mus musculus NOD	1259	2, 3, or 4 month	2, 3, or 4 month		2	4				manual
year		38.6 years (mean age)	9606	Homo sapiens (human)	1336	38.6 year (mean age)	38.6 year (mean age)				38.6			manual
month		2 months or 2-10 months	10000047	Mus musculus C57BL/10	1345	2 month or 2-10 month	2 month or 2-10 month		2	10				manual
hour		within 12 hours of birth	10000038	Mus musculus C3H/He	1403	within 12 hour of birth	within 12 hour of birth			12				manual
week		older than 8 weeks	10000216	Mus musculus C57BL/6 X BALB/c	1413	older than 8 week	older than 8 week		8					manual
year		Adult (avg. age = 30.8 years)	9606	Homo sapiens (human)	1495	adult (avg. age = 30.8 years)	adult (avg. age = 30.8 years)				30.8		adult	manual
hour		24 hours after birth	10000274	Mus musculus B10.PL	1524	24 hour after birth	24 hour after birth	24						manual
year		Children (avg. age = 9.5 years)	9606	Homo sapiens (human)	1543	children (avg. age = 9.5 years)	children (avg. age = 9.5 years)				9.5		child	manual
week		8 weeks or older	10000000	Mus musculus BALB/c	1594	8 week or older	8 week or older		8					manual
year	28	median age 28 years	9606	Homo sapiens (human)	1647	median age 28 year	median age 28 year							manual
year		~ 31 to 55 years	9606	Homo sapiens (human)	1732	~ 31 to 55 year	~ 31-55 year		31	55				manual
		Adults (15-44)	9606	Homo sapiens (human)	1774	adults (15-44)	adults (15-44)		15	44			adult	manual
month		4 wk - 3 mo	10000000	Mus musculus BALB/c	1841	4 week - 3 month	4 week - 3 month		0.93	3				manual
month		8 weeks to 6 months	10000253	Mus musculus A/J	1868	8 week to 6 month	8 week to 6 month		1.86	6				manual
month		8 weeks to 6 months	10000067	Mus musculus C57BL/6	1869	8 week to 6 month	8 week to 6 month		1.86	6				manual
month		8 weeks to 6 months	10000000	Mus musculus BALB/c	1870	8 week to 6 month	8 week to 6 month		1.86	6				manual
week		6-8weeks	10000000	Mus musculus BALB/c	1892	6-8weeks	6-8weeks		6	8				manual
year		40 years or older	10000119	Homo sapiens Caucasian	1917	40 year or older	40 year or older		40					manual
year		over 18 years old	9606	Homo sapiens (human)	1953	over 18 year old	over 18 year		18					manual
year		68 years, and 70 years	9606	Homo sapiens (human)	2059	68 year, and 70 year	68 year, and 70 year		68	70				manual
year	5.5	Median age 5.5 years	9606	Homo sapiens (human)	2098	median age 5.5 year	median age 5.5 year							manual
year		12 years 9 months	9606	Homo sapiens (human)	2158	12 year 9 month	12 year 9 month	12.75						manual
month		6-8 weeks, and 4 months	10000067	Mus musculus C57BL/6	2237	6-8 week, and 4 month	6-8 week, and 4 month		1.395	4				manual
year		20 - >65 years	9606	Homo sapiens (human)	2321	20 - >65 year	20 - >65 year		20					manual
year		adult (>18 years)	9606	Homo sapiens (human)	2468	adult (>18 years)	adult (>18 years)		18				adult	manual
year		18-75 years (mean 39.1)	9606	Homo sapiens (human)	2472	18-75 year (mean 39.1)	18-75 year (mean 39.1)		18	75	39.1			manual
year		18-75 years (mean 46)	9606	Homo sapiens (human)	2473	18-75 year (mean 46)	18-75 year (mean 46)		18	75	46			manual
week		at least 8 weeks	10000067	Mus musculus C57BL/6	2486	at least 8 week	at least 8 week		8					manual
year		30 or 35 years	9606	Homo sapiens (human)	2586	30 or 35 year	30 or 35 year		30	35				manual
month		18-22 months or 4-6 months	10000067	Mus musculus C57BL/6	2622	18-22 month or 4-6 month	18-22 month or 4-6 month		4	22				manual
month		8 days or 4-6 months	10000067	Mus musculus C57BL/6	2625	8 day or 4-6 month	8 day or 4-6 month		0.263	6				manual
week		under 16 weeks	10000067	Mus musculus C57BL/6	2716	under 16 week	under 16 week			16				manual
day		6 to 7 days or 8 to 12 weeks	10000216	Mus musculus C57BL/6 X BALB/c	2779	6 to 7 day or 8 to 12 week	6-7 day or 8-12 week		6	84				manual
week		5 tp 7 weeks	10000262	Mus musculus B10.A-H2a H2-T18a/SgSnJ	2788	5 tp 7 week	5 tp 7 week		5	7				manual
month		6- to 7- months	10001407	Mus musculus SNF1	2915	6- to 7- month	6-7- month		6	7				manual
year		52 and 70 years	9606	Homo sapiens (human)	2934	52 and 70 year	52 and 70 year		52	70				manual
month		2, 12, or 20 months	10000067	Mus musculus C57BL/6	2964	2, 12, or 20 month	2, 12, or 20 month		2	20				manual
week		6 and 8 weeks	10001438	Mus musculus BALB/cAnN	2985	6 and 8 week	6 and 8 week		6	8				manual
year		mean = 32.17±13.32 years	9606	Homo sapiens (human)	2997	mean = 32.17+/-13.32 year	mean = 32.17 +/- 13.32 year		18.85	45.49	32.17			manual
year		mean = 73±8.53 years	9606	Homo sapiens (human)	2998	mean = 73+/-8.53 year	mean = 73 +/- 8.53 year		64.47	81.53	73			manual
year		41 and 43 years	9606	Homo sapiens (human)	3123	41 and 43 year	41 and 43 year		41	43				manual
year		6 months to 14 years	9606	Homo sapiens (human)	3197	6 month to 14 year	6 month to 14 year		0.5	14				manual
month		6 to 8 weeks or 20 to 22 months	10000067	Mus musculus C57BL/6	3230	6 to 8 week or 20 to 22 month	6-8 week or 20-22 month		1.395	22				manual
week		7 days or 8-10 weeks	10000216	Mus musculus C57BL/6 X BALB/c	3276	7 day or 8-10 week	7 day or 8-10 week		1	10				manual
week		Adult (6 weeks)	10000669	Cavia porcellus Hartley	3283	adult (6 weeks)	adult (6 weeks)	6					adult	manual
year		26 and 54 years	9606	Homo sapiens (human)	3357	26 and 54 year	26 and 54 year		26	54				manual
week		15 or 24 weeks	10000576	Mus musculus HLA-A*02:01 Tg	3364	15 or 24 week	15 or 24 week		15	24				manual
year		29 years ± 6.5	9606	Homo sapiens (human)	3372	29 year +/- 6.5	29 year +/- 6.5		22.5	35.5				manual
year		30 years or younger	9606	Homo sapiens (human)	3386	30 year or younger	30 year or younger			30				manual
year		32-66 years (mean = 50.3 year)	9606	Homo sapiens (human)	3394	32-66 year (mean = 50.3 year)	32-66 year (mean = 50.3 year)		32	66	50.3			manual
month		8 to 10 weeks or 21 months	10000067	Mus musculus C57BL/6	3397	8 to 10 week or 21 month	8-10 week or 21 month		1.86	21				manual
month		6 weeks to 22 months	10000067	Mus musculus C57BL/6	3412	6 week to 22 month	6 week to 22 month		1.395	22				manual
month		2-3 months and 18-22 months	10000067	Mus musculus C57BL/6	3420	2-3 month and 18-22 month	2-3 month and 18-22 month		2	22				manual
day		4 days to 5 weeks	10000067	Mus musculus C57BL/6	3433	4 day to 5 week	4 day to 5 week		4	35				manual
month		2-3 months or 18-20 months	10001383	Mus musculus Clone 4 TCR Tg	3457	2-3 month or 18-20 month	2-3 month or 18-20 month		2	20				manual
month		6 weeks to 22 months	10000287	Mus musculus P14 TCR Tg	3472	6 week to 22 month	6 week to 22 month		1.395	22				manual
week		6 to 8 weeks or > 18 months	10001438	Mus musculus BALB/cAnN	3498	6 to 8 week or > 18 month	6-8 week or >18 month		6					manual
year		18 to 35, or 65 to 95 years.	9606	Homo sapiens (human)	3557	18 to 35, or 65 to 95 year.	18-35, or 65-95 year		18	95				manual
month		6 to 8 weeks or 18 to 24 months	10000000	Mus musculus BALB/c	3560	6 to 8 week or 18 to 24 month	6-8 week or 18-24 month		1.395	24				manual
week		at least 7 weeks	10000576	Mus musculus HLA-A*02:01 Tg	3586	at least 7 week	at least 7 week		7					manual
week		at least 7 weeks	10000615	Mus musculus HLA-DRB1*01:01 Tg	3587	at least 7 week	at least 7 week		7					manual
year		6 motnhs to 15 years	9606	Homo sapiens (human)	3600	6 motnhs to 15 year	6 motnhs to 15 year		0.5	15				manual
year	27	median age = 27 years	9606	Homo sapiens (human)	3618	median age = 27 year	median age = 27 year							manual
year		2 years 8 months to 3 years 9 months	9544	Macaca mulatta (rhesus macaque)	3671	2 year 8 month to 3 year 9 month	2 year 8 month to 3 year 9 month		2.667	3.75				manual
week		4 and 12 weeks	10002071	Mus musculus LLO56 TCR Tg	3753	4 and 12 week	4 and 12 week		4	12				manual
week		4 and 12 weeks	10002072	Mus musculus LLO118 TCR Tg	3754	4 and 12 week	4 and 12 week		4	12				manual
week		10 weeks or 23 weeks	10000067	Mus musculus C57BL/6	3777	10 week or 23 week	10 week or 23 week		10	23				manual
month		8-10 weeks or 18-22 months	10000067	Mus musculus C57BL/6	3784	8-10 week or 18-22 month	8-10 week or 18-22 month		1.841	22				manual
day		embryonic day 15	10000067	Mus musculus C57BL/6	3797	embryonic day 15	embryonic day 15	15					embryonic	manual
year		18-40 years, 65 years and over.	9606	Homo sapiens (human)	3805	18-40 year, 65 year and over.	18-40 year, 65 year and over		18					manual
day		1 day, 7-8 days or adult	10000067	Mus musculus C57BL/6	3821	1 day, 7-8 day or adult	1 day, 7-8 day or adult		1					manual
year		6 months to 18 years	9606	Homo sapiens (human)	3833	6 month to 18 year	6 month to 18 year		0.5	18				manual
year		13 and 21 years	9606	Homo sapiens (human)	3834	13 and 21 year	13 and 21 year		13	21				manual
year		22 and 68 years	9606	Homo sapiens (human)	3841	22 and 68 year	22 and 68 year		22	68				manual
year		9 months to 81 years	9606	Homo sapiens (human)	3894	9 month to 81 year	9 month to 81 year		0.75	81				manual
year		18+ years	9606	Homo sapiens (human)	3910	18+ year	18+ year		18					manual
year	41.7	median 41.7 years	9606	Homo sapiens (human)	3919	median 41.7 year	median 41.7 year							manual
week		6 and 12 weeks	10000632	Mus musculus NOD	3969	6 and 12 week	6 and 12 week		6	12				manual
year		≥ 18 years	9606	Homo sapiens (human)	3987	 18 year	 18 year	18						manual
day		Neonates (3 or 7 days)	10000067	Mus musculus C57BL/6	4077	neonates (3 or 7 days)	neonates (3 or 7 days)		3	7			neonate	manual
day		Neonates (3 days)	10000067	Mus musculus C57BL/6	4083	neonates (3 days)	neonates (3 days)	3					neonate	manual
year		29 and 53 years	9606	Homo sapiens (human)	4094	29 and 53 year	29 and 53 year		29	53				manual
week		6 yo 8 weeks	10000000	Mus musculus BALB/c	4107	6 yo 8 week	6 yo 8 week		6	8				manual
week		6 yo 8 weeks	10000067	Mus musculus C57BL/6	4108	6 yo 8 week	6 yo 8 week		6	8				manual
